Real Sto Return,Running Env Steps,Itration,Reward Loss,Real Det Return,Running Forward KL,Running Reverse KL,Running Update Time
-92.56,0,0,80.94913482666016,391.23,75.2255,25.8139,0
-69.63,5000,1,59.425697326660156,416.86,73.8144,25.6199,1
-53.43,10000,2,43.45866012573242,395.68,73.1618,26.3984,2
-3.34,15000,3,31.185686111450195,541.34,72.3464,27.3993,3
5.03,20000,4,15.807269096374512,562.73,71.9461,27.8704,4
41.91,25000,5,2.642892360687256,550.36,70.4575,27.7025,5
90.55,30000,6,-11.417928695678711,586.69,71.1002,30.0719,6
120.35,35000,7,-24.308568954467773,678.91,70.808,30.1738,7
108.33,40000,8,-37.76580810546875,748.8,72.8523,31.8504,8
101.75,45000,9,-54.982200622558594,753.34,72.8328,31.9107,9
147.22,50000,10,-70.10028076171875,787.88,72.6876,31.3816,10
203.83,55000,11,-82.83171081542969,687.86,69.8498,31.2108,11
230.0,60000,12,-94.35587310791016,927.66,72.7365,31.8984,12
194.25,65000,13,-107.87459564208984,613.44,72.9745,32.0507,13
160.02,70000,14,-128.60702514648438,748.08,70.1982,31.047,14
161.09,75000,15,-137.4265899658203,760.26,71.2222,31.6165,15
219.99,80000,16,-151.79684448242188,780.47,72.8455,31.3079,16
210.13,85000,17,-169.24378967285156,808.57,73.0265,32.2068,17
219.18,90000,18,-180.3582763671875,851.31,71.5715,31.1735,18
186.57,95000,19,-197.02658081054688,749.63,72.8369,31.7205,19
230.62,100000,20,-210.09970092773438,866.86,70.2186,31.3023,20
221.41,105000,21,-226.42552185058594,700.22,72.7792,31.789,21
216.75,110000,22,-237.09188842773438,693.56,71.8275,30.5848,22
223.27,115000,23,-258.37335205078125,795.87,74.103,32.3462,23
206.95,120000,24,-273.2868347167969,884.91,72.1369,31.0808,24
204.52,125000,25,-284.0516662597656,870.52,72.0093,31.4908,25
235.09,130000,26,-299.6667785644531,808.49,71.0833,31.4969,26
216.22,135000,27,-316.693359375,740.97,72.6885,31.6966,27
192.35,140000,28,-332.9706726074219,814.6,72.9276,31.9471,28
209.22,145000,29,-349.51544189453125,920.87,72.7635,31.395,29
221.29,150000,30,-369.8427429199219,902.4,73.0385,31.9729,30
234.21,155000,31,-379.9133605957031,949.66,71.353,31.5878,31
195.86,160000,32,-399.4412536621094,862.35,73.4008,31.7326,32
174.16,165000,33,-416.78094482421875,751.88,73.706,32.0033,33
222.02,170000,34,-429.2138366699219,915.71,72.599,31.5696,34
203.91,175000,35,-446.14605712890625,857.51,72.4358,31.6112,35
234.67,180000,36,-464.10089111328125,927.46,73.3504,32.3491,36
227.49,185000,37,-480.7342529296875,791.22,73.6302,32.1342,37
219.64,190000,38,-499.3575134277344,591.41,73.8702,32.006,38
239.54,195000,39,-519.4500732421875,890.29,74.6053,32.2144,39
242.9,200000,40,-525.8203735351562,810.52,70.3646,31.4282,40
275.4,205000,41,-548.4141845703125,866.08,71.5516,31.8262,41
255.4,210000,42,-567.85693359375,729.86,73.4303,31.6415,42
214.31,215000,43,-584.0103759765625,855.22,73.0816,31.8692,43
210.13,220000,44,-606.159423828125,937.32,75.4274,32.5024,44
256.91,225000,45,-620.4940185546875,880.15,74.647,32.2044,45
204.21,230000,46,-637.629150390625,782.08,73.7674,31.7423,46
257.93,235000,47,-650.5890502929688,847.69,70.8286,31.4707,47
254.95,240000,48,-670.2199096679688,941.28,72.2154,31.6539,48
279.71,245000,49,-691.2760620117188,966.73,73.7952,31.6686,49
229.45,250000,50,-707.8271484375,865.63,71.7077,32.0919,50
238.68,255000,51,-721.2833862304688,851.61,72.3034,31.0357,51
261.83,260000,52,-739.2569580078125,862.96,71.2801,31.1637,52
243.13,265000,53,-762.1690063476562,908.73,72.0645,31.5626,53
280.58,270000,54,-785.7154541015625,734.07,73.435,32.1235,54
251.13,275000,55,-806.1563720703125,740.63,76.0756,32.578,55
245.37,280000,56,-823.7588500976562,666.37,73.6675,32.2303,56
213.59,285000,57,-845.2384033203125,804.66,74.1731,32.1194,57
278.61,290000,58,-860.7344360351562,885.61,72.8544,31.7231,58
246.86,295000,59,-880.29052734375,903.3,72.9776,31.905,59
232.1,300000,60,-905.7860107421875,887.6,74.8068,31.9506,60
268.53,305000,61,-916.3426513671875,742.12,72.7235,31.3547,61
265.55,310000,62,-944.7963256835938,948.71,72.9874,31.6728,62
264.23,315000,63,-961.12060546875,859.55,72.5174,31.4465,63
290.6,320000,64,-974.0643310546875,745.63,71.9008,30.8678,64
273.7,325000,65,-999.5332641601562,955.14,72.5515,31.7227,65
245.41,330000,66,-1027.6234130859375,794.8,74.4122,31.6262,66
231.53,335000,67,-1053.2166748046875,760.48,73.7224,31.9029,67
266.19,340000,68,-1074.58349609375,743.51,73.2842,31.6024,68
259.35,345000,69,-1092.2889404296875,851.67,72.1939,31.8707,69
288.9,350000,70,-1110.5986328125,904.5,72.3045,31.0943,70
195.55,355000,71,-1132.191650390625,747.45,74.0114,31.3719,71
226.64,360000,72,-1161.648193359375,818.22,73.7249,31.7286,72
263.41,365000,73,-1187.6357421875,950.07,72.8886,31.9118,73
285.95,370000,74,-1202.9686279296875,936.57,73.1473,31.729,74
217.51,375000,75,-1228.1435546875,799.66,73.5371,31.586,75
308.49,380000,76,-1254.0533447265625,1011.45,73.4719,31.6674,76
254.47,385000,77,-1284.4031982421875,835.89,74.5324,31.863,77
257.63,390000,78,-1294.6826171875,994.65,71.2966,31.0738,78
305.06,395000,79,-1312.673583984375,1009.93,71.8556,31.1666,79
279.63,400000,80,-1362.4564208984375,939.02,73.7965,32.2668,80
260.29,405000,81,-1383.505615234375,877.2,74.5599,31.6718,81
268.49,410000,82,-1401.505859375,897.65,73.9507,31.7566,82
350.89,415000,83,-1433.7318115234375,951.66,73.3136,31.242,83
302.33,420000,84,-1456.0081787109375,923.59,73.3716,31.3783,84
320.06,425000,85,-1463.8660888671875,958.64,70.2633,31.2281,85
251.66,430000,86,-1518.9317626953125,959.99,73.7085,31.5261,86
253.91,435000,87,-1539.28369140625,904.32,74.0623,31.4892,87
295.0,440000,88,-1566.47216796875,861.92,72.0373,31.2043,88
296.68,445000,89,-1593.0367431640625,951.4,73.3208,31.2696,89
269.79,450000,90,-1611.35009765625,999.66,71.3973,31.2754,90
319.48,455000,91,-1629.9451904296875,970.73,71.1323,31.169,91
295.45,460000,92,-1667.7725830078125,942.41,74.4866,31.6426,92
273.34,465000,93,-1686.2637939453125,817.85,71.0959,30.6558,93
246.41,470000,94,-1729.591064453125,915.84,72.9158,30.9654,94
317.2,475000,95,-1775.8994140625,900.94,73.3457,31.5692,95
289.12,480000,96,-1778.9732666015625,885.6,72.1515,31.0241,96
297.14,485000,97,-1811.11279296875,961.94,73.0061,31.2117,97
327.64,490000,98,-1848.997314453125,838.27,71.8981,30.9521,98
265.19,495000,99,-1885.7037353515625,1002.97,73.2483,31.3404,99
281.89,500000,100,-1906.423583984375,917.0,72.896,31.3209,100
352.75,505000,101,-1947.903564453125,959.82,72.5158,31.3097,101
227.23,510000,102,-1944.5765380859375,949.02,70.7103,30.9237,102
350.83,515000,103,-2023.091796875,989.32,72.7548,31.7227,103
337.96,520000,104,-2052.850341796875,966.17,74.0667,31.4159,104
254.63,525000,105,-2066.658447265625,820.7,72.6512,30.9902,105
269.03,530000,106,-2101.567626953125,968.41,73.7328,31.2402,106
299.14,535000,107,-2162.033447265625,1005.25,74.2266,31.672,107
259.1,540000,108,-2186.194091796875,925.86,72.4358,31.454,108
289.56,545000,109,-2227.229248046875,878.5,73.2743,31.4534,109
282.32,550000,110,-2261.639404296875,949.42,73.9962,31.4934,110
292.35,555000,111,-2280.59375,812.5,73.1675,31.2809,111
276.73,560000,112,-2333.174560546875,964.96,71.7335,31.4947,112
278.08,565000,113,-2346.367919921875,1012.32,73.1595,31.3009,113
298.69,570000,114,-2390.64306640625,963.1,72.8719,31.0406,114
303.92,575000,115,-2445.866943359375,974.36,72.3983,31.3579,115
299.91,580000,116,-2453.44091796875,946.19,72.8077,31.148,116
320.74,585000,117,-2505.739990234375,1002.94,72.7449,31.1199,117
313.93,590000,118,-2510.166015625,868.5,70.9147,30.6806,118
327.02,595000,119,-2604.9013671875,864.37,73.994,31.8471,119
351.4,600000,120,-2655.910888671875,1015.3,73.5181,31.9781,120
308.4,605000,121,-2654.282470703125,904.03,72.973,31.0585,121
321.96,610000,122,-2723.6630859375,756.55,73.4244,31.1308,122
287.53,615000,123,-2732.072998046875,805.82,73.6158,31.3869,123
328.49,620000,124,-2780.364990234375,943.61,73.028,31.1063,124
253.53,625000,125,-2829.3525390625,838.61,73.6491,31.0517,125
318.02,630000,126,-2848.789794921875,945.3,73.6764,31.1338,126
302.09,635000,127,-2931.218017578125,1011.84,73.4937,31.7131,127
292.05,640000,128,-2940.6474609375,903.97,72.3611,31.339,128
331.66,645000,129,-2999.159912109375,953.22,73.921,31.5514,129
292.55,650000,130,-3074.0361328125,945.28,73.4377,31.9574,130
284.64,655000,131,-3104.695068359375,957.99,73.2275,31.1135,131
272.19,660000,132,-3126.693359375,951.27,71.9661,31.4887,132
336.13,665000,133,-3197.667724609375,907.73,73.6542,31.4082,133
300.57,670000,134,-3284.21728515625,1008.05,74.5077,31.6794,134
