Itration,Real Sto Return,Reward Loss,Real Det Return,Running Env Steps,Running Update Time,Running Reverse KL,Running Forward KL
0,302.85,504.3877868652344,322.0,0,0,13.7112,49.3791
1,293.91,222.13552856445312,310.36,5000,1,14.7636,50.1711
2,330.81,274.8275451660156,321.42,10000,2,26.5957,51.6683
3,372.9,321.15618896484375,707.96,15000,3,19.0996,50.0244
4,386.61,252.8512420654297,412.94,20000,4,12.7956,49.4692
5,472.41,245.10928344726562,416.38,25000,5,13.2595,49.4854
6,378.61,185.65830993652344,375.7,30000,6,12.8489,49.9596
7,416.74,106.3833236694336,418.83,35000,7,14.3486,49.4078
8,420.31,309.7219543457031,473.0,40000,8,13.6646,49.1414
9,390.46,244.35472106933594,395.31,45000,9,12.7995,48.8195
10,416.53,228.18087768554688,438.21,50000,10,13.0303,48.7928
11,424.2,218.28570556640625,486.03,55000,11,13.0655,49.2294
12,403.45,220.98175048828125,400.37,60000,12,12.7913,49.3283
13,473.01,169.0474090576172,588.42,65000,13,14.312,49.2482
14,540.84,78.8819808959961,537.59,70000,14,13.5805,47.9303
15,528.49,137.55667114257812,546.75,75000,15,13.5096,48.5724
16,596.83,145.76670837402344,637.27,80000,16,13.8816,47.8385
17,595.19,103.11564636230469,612.06,85000,17,13.3696,48.0867
18,585.28,122.63372802734375,614.04,90000,18,14.3433,47.9254
19,580.88,101.95240020751953,593.12,95000,19,15.8993,48.1794
20,631.62,96.37346649169922,698.18,100000,20,16.1387,47.6782
21,650.06,198.66600036621094,849.69,105000,21,17.7295,47.3551
22,672.38,136.76333618164062,667.54,110000,22,18.107,47.6224
23,724.7,72.02825164794922,726.55,115000,23,18.6978,46.7595
24,757.41,-9.189605712890625,738.76,120000,24,23.3028,47.4011
25,772.8,-34.638465881347656,714.27,125000,25,19.9114,47.0258
26,764.04,-40.800811767578125,671.91,130000,26,15.6793,47.1645
27,877.51,-33.36227035522461,1288.62,135000,27,15.6394,45.3749
28,789.04,-0.23475289344787598,943.16,140000,28,14.464,46.1187
29,1015.3,-35.83490753173828,1240.16,145000,29,14.6019,45.3924
30,1103.63,-18.183677673339844,1062.94,150000,30,13.519,44.9973
31,1776.31,-45.948326110839844,1753.82,155000,31,13.6034,44.136
32,1366.92,-121.66559600830078,1581.6,160000,32,16.6571,45.1577
33,963.57,-219.68182373046875,1210.09,165000,33,24.3773,45.6595
34,1278.61,-124.8551025390625,1360.83,170000,34,17.3379,44.7671
35,2266.9,-81.98481750488281,2760.46,175000,35,15.4654,42.3447
36,2482.55,-104.57500457763672,2215.56,180000,36,15.4918,43.1746
37,2785.71,-130.9765625,1999.49,185000,37,18.5683,44.0146
38,2412.36,-159.03213500976562,2582.69,190000,38,17.2166,43.6847
39,2868.41,-120.14329528808594,1918.81,195000,39,16.6506,43.2363
40,2362.84,-92.15062713623047,3329.8,200000,40,12.5958,42.6723
41,3082.51,-77.75008392333984,3298.5,205000,41,15.0539,43.4383
42,3301.45,-81.678955078125,3428.09,210000,42,14.5674,43.4889
43,3047.67,-92.02778625488281,3089.76,215000,43,14.672,43.8953
44,2949.46,-121.33848571777344,3065.97,220000,44,14.1664,42.7371
45,3109.68,-81.8218002319336,3104.22,225000,45,14.0315,42.4124
46,3656.15,-60.78046417236328,3755.74,230000,46,17.2669,43.5518
47,3961.48,-61.910926818847656,3953.39,235000,47,18.9375,43.1909
48,3753.63,-69.39494323730469,3196.93,240000,48,16.2954,42.7509
49,3791.15,-68.80020904541016,3918.92,245000,49,20.3279,42.8324
50,3899.58,-78.21214294433594,3822.34,250000,50,19.3852,42.8364
51,4093.37,-53.319515228271484,4021.35,255000,51,18.8994,43.1111
52,3941.1,-76.8805160522461,4002.22,260000,52,20.7789,43.7856
53,3988.11,-85.10977172851562,3962.37,265000,53,18.9603,43.0314
54,3952.41,-83.83863830566406,3987.16,270000,54,18.2959,43.2433
55,3992.83,-100.34477996826172,3956.09,275000,55,17.4402,41.8309
56,3866.51,-99.8321762084961,3837.4,280000,56,18.5974,42.8185
57,3979.35,-101.28557586669922,3963.7,285000,57,18.9143,42.4483
58,4027.94,-112.86103820800781,4007.2,290000,58,18.8073,42.7759
59,3952.43,-93.5094985961914,4000.58,295000,59,19.7674,43.7062
60,4069.87,-121.68455505371094,4037.33,300000,60,18.77,42.5678
61,4211.29,-117.36822509765625,4235.08,305000,61,18.2896,41.8567
62,3983.58,-133.6891632080078,3931.53,310000,62,18.882,42.3067
63,3925.13,-131.96163940429688,3892.68,315000,63,19.3919,43.3587
64,4042.31,-141.835693359375,3972.26,320000,64,18.8228,43.2403
65,3965.39,-152.45281982421875,3915.82,325000,65,19.0492,42.8973
66,4160.84,-126.74492645263672,4101.99,330000,66,18.7186,43.0346
67,4111.09,-145.98202514648438,4051.13,335000,67,18.2325,42.5784
68,4016.25,-165.39573669433594,3966.54,340000,68,18.4432,42.7779
69,4050.04,-167.90855407714844,4009.66,345000,69,17.5536,41.8132
70,4091.64,-167.51026916503906,4080.98,350000,70,18.9829,42.1484
71,4118.78,-172.1313018798828,4117.79,355000,71,18.2222,42.0003
72,4135.37,-171.96482849121094,4095.29,360000,72,16.6588,41.9223
73,4190.62,-192.29685974121094,4182.27,365000,73,17.8729,41.6948
74,4179.08,-176.78611755371094,4133.35,370000,74,17.9623,41.9703
75,4159.84,-177.19215393066406,4105.98,375000,75,17.6868,42.066
76,4173.95,-210.94381713867188,4112.89,380000,76,18.0685,41.1666
77,4191.2,-200.90699768066406,4167.15,385000,77,17.8665,41.5277
78,4229.1,-200.0942840576172,4212.31,390000,78,16.9596,41.6656
79,4300.29,-206.14671325683594,4305.14,395000,79,16.5329,41.2128
80,4146.71,-215.03961181640625,4204.06,400000,80,17.6748,42.0944
81,4021.0,-225.64822387695312,4103.13,405000,81,16.6789,41.494
82,4252.86,-213.48434448242188,4234.41,410000,82,18.4928,41.6069
83,4234.68,-249.27174377441406,4247.63,415000,83,17.2816,41.9059
84,4272.43,-205.3648223876953,4250.31,420000,84,18.6363,42.4071
85,4274.67,-229.41940307617188,4221.12,425000,85,18.8554,41.7052
86,4295.91,-238.3406219482422,4238.18,430000,86,17.4506,41.6487
87,4283.82,-227.6022491455078,4317.21,435000,87,17.4454,41.5231
88,4271.72,-226.63938903808594,4264.28,440000,88,17.6598,42.0316
89,4219.58,-237.08230590820312,4171.21,445000,89,18.4224,41.9597
90,4431.21,-229.35580444335938,4340.41,450000,90,18.7525,41.2648
91,4392.23,-240.81211853027344,4354.74,455000,91,18.5793,41.8614
92,4262.56,-249.150634765625,4230.18,460000,92,16.6825,40.8375
93,4309.95,-254.4983673095703,4267.94,465000,93,16.4826,41.0472
94,4320.84,-274.9945983886719,4335.95,470000,94,17.6067,41.5073
95,4405.56,-255.58746337890625,4366.03,475000,95,17.5191,41.2914
96,4317.2,-280.1276550292969,4263.66,480000,96,18.6996,41.0625
97,4235.58,-293.2281494140625,4233.1,485000,97,15.8662,40.8241
98,4435.83,-259.6551818847656,4404.64,490000,98,18.1278,40.9005
99,4533.83,-269.0083312988281,4575.17,495000,99,18.7716,40.9293
100,4332.66,-292.09912109375,4332.85,500000,100,16.6056,40.2205
101,4374.89,-286.3690185546875,4479.13,505000,101,16.809,40.6362
102,4417.12,-283.0344543457031,4448.35,510000,102,18.2644,41.337
103,4402.19,-287.739501953125,4415.59,515000,103,17.3055,40.445
104,4424.84,-306.20770263671875,4397.24,520000,104,17.2027,41.2119
105,4332.15,-292.8411865234375,4377.28,525000,105,16.6424,41.3465
106,4356.29,-294.88433837890625,4402.01,530000,106,16.5299,41.0837
107,4042.38,-288.449951171875,4445.58,535000,107,17.5474,41.5161
108,4265.84,-308.4758605957031,4447.49,540000,108,16.285,40.3387
109,4473.1,-302.2734375,4498.96,545000,109,16.8236,40.6703
110,4420.48,-308.0766296386719,4469.0,550000,110,17.0558,40.6777
111,4506.94,-294.7236328125,4571.02,555000,111,16.2923,40.4862
112,4436.03,-321.627685546875,4515.96,560000,112,16.7515,40.5414
113,4473.77,-326.22283935546875,4672.33,565000,113,14.9612,40.2233
114,4452.55,-344.47491455078125,4558.29,570000,114,15.7874,40.0165
115,4466.72,-332.08221435546875,4513.15,575000,115,15.359,39.9916
116,4344.73,-349.713623046875,4399.1,580000,116,16.0499,40.6071
117,4360.28,-357.0810546875,4357.86,585000,117,15.7275,40.1527
118,4476.92,-354.1685485839844,4557.19,590000,118,16.2479,40.5722
119,4435.2,-356.3657531738281,4451.35,595000,119,16.1744,40.4135
120,4432.16,-361.709228515625,4544.74,600000,120,16.4101,41.4663
121,4458.87,-374.1854553222656,4517.86,605000,121,17.128,40.8643
122,4510.23,-358.0747985839844,4556.39,610000,122,16.8673,40.387
123,4338.74,-393.478759765625,4360.17,615000,123,15.8619,39.8554
124,4466.34,-392.58587646484375,4459.53,620000,124,15.8208,40.2298
125,4560.1,-371.6925964355469,4647.63,625000,125,16.7789,40.8392
126,4518.5,-356.1943054199219,4593.3,630000,126,16.2918,40.1015
127,4463.03,-372.23858642578125,4472.05,635000,127,15.496,40.7081
128,4491.62,-398.3318176269531,4489.12,640000,128,17.1781,40.9517
