Real Sto Return,Running Env Steps,Reward Loss,Running Update Time,Running Reverse KL,Running Forward KL,Itration,Real Det Return
9724.91,315000,-7629.2939453125,63,16.9008,146.9774,63,10311.01
9316.35,320000,-7699.81640625,64,16.3789,146.5625,64,9786.64
9302.78,325000,-8064.11669921875,65,18.5914,147.7721,65,9706.79
8979.13,330000,-7980.0654296875,66,15.67,146.7433,66,9683.23
9746.12,335000,-8034.06640625,67,16.1415,146.0157,67,10179.52
9897.17,340000,-7915.2490234375,68,16.4557,145.9917,68,10445.69
9933.26,345000,-8016.4443359375,69,16.356,146.3393,69,10350.15
10045.55,350000,-8292.39453125,70,15.9433,146.4353,70,10287.32
9727.1,355000,-8141.46826171875,71,16.918,146.8773,71,10152.71
9666.94,360000,-8759.666015625,72,15.4593,146.3428,72,9985.2
10098.32,365000,-8341.646484375,73,17.5415,146.4042,73,10492.42
10255.89,370000,-8264.876953125,74,16.4522,145.6219,74,10637.14
10105.26,375000,-8233.3828125,75,17.6238,145.8737,75,10431.76
9605.03,380000,-8878.2236328125,76,17.2587,146.6055,76,9214.84
9800.75,385000,-8595.470703125,77,16.5662,144.6461,77,10082.23
10029.47,390000,-8443.76171875,78,16.1734,145.7892,78,10373.92
10404.25,395000,-8967.189453125,79,16.5523,145.3612,79,10793.75
10332.54,400000,-8985.830078125,80,16.5266,145.6981,80,10046.69
10121.09,405000,-8545.197265625,81,15.9842,144.0344,81,10970.82
10327.37,410000,-9015.0068359375,82,16.4114,144.6317,82,10709.41
10234.44,415000,-8866.4013671875,83,17.9312,145.2737,83,10589.6
10240.99,420000,-8927.203125,84,16.5873,144.1419,84,10673.08
9981.61,425000,-9787.9755859375,85,16.5204,144.9377,85,10905.44
10450.67,430000,-9281.1513671875,86,16.3732,144.5444,86,10950.47
10603.59,435000,-9108.078125,87,16.3073,144.3306,87,10955.38
10452.65,440000,-9580.8662109375,88,16.7099,144.2137,88,10776.31
10523.56,445000,-9444.0556640625,89,16.9209,143.8877,89,10927.41
10634.75,450000,-9463.546875,90,17.2575,143.8464,90,11001.84
10341.55,455000,-9380.9287109375,91,17.9422,144.3314,91,10632.62
10726.27,460000,-10013.107421875,92,17.1775,143.9689,92,10888.72
8762.76,465000,-11772.400390625,93,13.9834,145.0709,93,7268.31
10792.27,470000,-9980.8740234375,94,17.1621,143.8898,94,11209.98
