Real Det Return,Real Sto Return,Running Env Steps,Itration,Running Forward KL,Running Update Time,Running Reverse KL,Reward Loss
286.49,283.05,0,0,448.7056,0,255.1901,90.94476318359375
245.46,278.05,5000,1,451.6909,1,395.9901,380.4130554199219
339.73,340.02,10000,2,445.4979,2,310.1316,-792.6774291992188
496.06,363.21,15000,3,412.4606,3,259.9416,-1039.3638916015625
386.07,395.34,20000,4,419.9421,4,314.8174,-1195.1126708984375
508.39,437.16,25000,5,427.4289,5,264.1683,-1336.1844482421875
346.74,375.91,30000,6,436.0903,6,271.7107,-1458.097412109375
490.47,476.82,35000,7,427.7532,7,288.6207,-1777.22216796875
499.76,498.09,40000,8,436.3879,8,264.6036,-1948.4658203125
513.54,527.64,45000,9,421.3008,9,263.2006,-2178.745361328125
532.64,534.7,50000,10,411.0118,10,283.7131,-2260.58056640625
468.03,571.64,55000,11,400.7667,11,281.8897,-2492.36572265625
577.98,685.33,60000,12,408.1975,12,382.7616,-2434.55322265625
500.84,614.33,65000,13,395.7521,13,514.1912,-2604.8359375
520.75,590.73,70000,14,401.9212,14,304.1622,-2235.224365234375
462.1,533.33,75000,15,407.1919,15,271.9704,-2381.89697265625
644.09,658.31,80000,16,418.8028,16,258.6628,-2858.09521484375
521.96,599.48,85000,17,420.8106,17,273.9794,-3074.042236328125
726.02,766.72,90000,18,401.9741,18,265.6785,-2829.294677734375
592.19,637.74,95000,19,399.3046,19,274.0839,-3578.313232421875
608.31,794.74,100000,20,394.8148,20,269.6397,-3635.750732421875
478.21,861.84,105000,21,404.1019,21,291.9364,-3876.540771484375
1050.61,1001.92,110000,22,383.1574,22,279.4642,-3827.43505859375
926.21,1310.35,115000,23,382.6614,23,235.5762,-3661.690673828125
4288.91,1706.19,120000,24,369.9448,24,210.1891,-3142.90234375
1968.43,1640.47,125000,25,373.9503,25,268.2443,-4060.683837890625
3949.28,1449.41,130000,26,383.9844,26,353.2748,-2888.283203125
3735.45,1743.57,135000,27,374.0651,27,255.305,-3540.29931640625
1410.26,1742.9,140000,28,379.4376,28,432.2167,-3208.282958984375
898.27,1683.78,145000,29,387.066,29,255.1922,-4141.587890625
1773.68,1757.76,150000,30,375.315,30,266.2172,-2981.742431640625
1216.74,1721.87,155000,31,386.9191,31,412.7877,-3554.64501953125
1456.33,1176.0,160000,32,412.224,32,516.4409,-3856.946533203125
2504.79,2930.51,165000,33,376.5727,33,437.3142,-3056.647705078125
2651.18,3575.83,170000,34,365.9291,34,318.1402,-1964.367431640625
3377.08,3751.17,175000,35,365.4443,35,186.8572,-2357.58935546875
3586.82,2265.87,180000,36,358.8626,36,186.9494,-2373.38818359375
4436.08,3627.72,185000,37,363.6124,37,195.6105,-2584.3720703125
4736.0,3667.38,190000,38,361.8327,38,186.1836,-2415.28466796875
4832.77,3546.28,195000,39,359.9156,39,191.1935,-3062.286865234375
3760.27,3616.96,200000,40,362.2578,40,190.2429,-1917.94580078125
4729.77,4496.77,205000,41,360.8236,41,183.5313,-2194.60302734375
4927.24,3870.88,210000,42,358.3938,42,182.3358,-2352.017333984375
4600.75,3792.55,215000,43,353.0113,43,184.7998,-2487.56982421875
4635.19,4414.43,220000,44,361.7894,44,195.3237,-2093.3251953125
4239.37,4476.53,225000,45,359.6944,45,187.3969,-1919.6849365234375
3987.64,3581.89,230000,46,373.2759,46,198.2084,-3402.03955078125
5223.42,4696.68,235000,47,367.9592,47,192.7264,-2872.4755859375
5074.2,4536.44,240000,48,361.2874,48,193.2582,-2373.990966796875
4055.73,4601.77,245000,49,367.6405,49,195.1587,-3046.09814453125
5094.02,4549.58,250000,50,360.53,50,185.8639,-2533.070068359375
4761.38,4057.28,255000,51,372.3061,51,208.0257,-3673.598876953125
2141.37,2482.13,260000,52,386.8217,52,211.8909,-5374.85791015625
4884.99,4644.2,265000,53,369.6821,53,198.073,-2771.474853515625
5182.16,3858.86,270000,54,374.6072,54,194.2236,-4436.8955078125
5054.36,4948.21,275000,55,360.1629,55,185.204,-3072.2021484375
4547.23,4418.23,280000,56,361.3922,56,189.7011,-2919.466064453125
4088.57,4688.85,285000,57,352.6323,57,176.3533,-3318.47900390625
3871.62,4803.92,290000,58,362.5437,58,190.1163,-3838.615478515625
4970.42,4887.11,295000,59,354.2246,59,172.5097,-3420.769287109375
5054.99,3514.97,300000,60,362.2962,60,199.6365,-4504.8857421875
4786.28,4453.37,305000,61,359.8101,61,188.4139,-3909.29833984375
5215.16,4523.85,310000,62,361.841,62,200.5132,-3642.731689453125
4492.72,4225.73,315000,63,350.2613,63,175.8607,-3688.41943359375
5079.86,4852.39,320000,64,355.0479,64,183.7878,-3847.93310546875
5061.7,4556.25,325000,65,354.0381,65,181.4488,-4468.2216796875
5180.57,4113.99,330000,66,364.3289,66,198.9058,-4192.294921875
4468.08,4728.11,335000,67,370.1328,67,191.9408,-4654.44287109375
5132.36,4358.23,340000,68,367.1562,68,190.776,-4776.89990234375
5107.31,4944.79,345000,69,360.052,69,189.1211,-4761.125
4056.48,3780.83,350000,70,375.1425,70,195.1377,-5674.95703125
4891.62,4628.03,355000,71,374.5307,71,198.6809,-5472.421875
2631.02,3036.02,360000,72,379.1965,72,198.8113,-6118.31640625
5203.44,4391.35,365000,73,362.4331,73,191.8502,-5501.4521484375
5038.61,4544.97,370000,74,356.2629,74,176.8722,-5288.892578125
