Real Sto Return,Running Update Time,Running Forward KL,Real Det Return,Itration,Running Reverse KL,Reward Loss,Running Env Steps
2301.77,88,25.5593,3113.08,88,21.5664,-1489.5185546875,440000
2800.54,89,25.2423,3100.1,89,16.8458,-1327.8282470703125,445000
2221.3,90,26.2885,3096.44,90,38.8865,-2638.954345703125,450000
2600.42,91,25.5841,3131.85,91,33.2831,-2391.212890625,455000
2537.04,92,25.6077,3116.49,92,19.8559,-1616.4189453125,460000
2860.69,93,25.8269,3144.92,93,23.7782,-1967.19580078125,465000
2571.08,94,25.6493,3097.31,94,18.4071,-1730.2767333984375,470000
2188.26,95,26.048,3146.46,95,44.165,-2507.1708984375,475000
2680.38,96,26.1789,3126.97,96,27.8083,-1920.9320068359375,480000
1874.87,97,26.7212,3025.01,97,29.8536,-2965.029296875,485000
2749.11,98,24.2958,3121.4,98,24.2079,-2193.187744140625,490000
1483.75,99,26.7565,2334.63,99,15.2819,-2448.480712890625,495000
1859.55,100,25.6902,3132.0,100,20.8608,-3281.259765625,500000
2185.24,101,26.1221,3134.13,101,45.6044,-2900.24462890625,505000
2385.59,102,26.1111,3151.15,102,16.7764,-1948.6007080078125,510000
2467.69,103,25.6604,3151.47,103,15.8377,-1879.21533203125,515000
2263.19,104,25.3579,3128.44,104,15.5113,-1746.8643798828125,520000
1864.15,105,25.958,3145.97,105,19.8706,-2363.742919921875,525000
2670.2,106,25.753,3133.98,106,14.133,-1558.375,530000
2781.57,107,25.357,3131.53,107,20.0368,-2110.019775390625,535000
2280.17,108,25.7001,3155.9,108,14.8424,-1946.0850830078125,540000
2551.05,109,25.5453,3134.54,109,17.1219,-2237.833740234375,545000
1677.97,110,26.7065,3156.14,110,14.8169,-2255.3349609375,550000
1999.52,111,25.6462,3139.52,111,16.476,-2217.217529296875,555000
2372.03,112,25.5569,3143.81,112,13.9334,-1755.7396240234375,560000
2212.64,113,25.0324,3122.32,113,13.7844,-1808.560302734375,565000
2479.24,114,25.0976,3132.82,114,14.8742,-1812.080322265625,570000
2624.38,115,25.4572,3116.54,115,17.5112,-2032.3798828125,575000
2141.89,116,25.362,3148.06,116,14.2549,-2260.887451171875,580000
2335.09,117,25.4223,3145.63,117,15.8682,-2151.71435546875,585000
2196.91,118,25.2055,3132.08,118,14.0867,-2147.131591796875,590000
2013.69,119,25.7404,3174.68,119,16.286,-2574.65087890625,595000
1733.62,120,25.8798,3137.51,120,17.3905,-2373.064208984375,600000
2189.62,121,25.9225,3143.37,121,14.3198,-2124.409912109375,605000
1158.26,122,27.0182,3044.09,122,16.3887,-2913.5771484375,610000
1716.73,123,26.3428,2951.23,123,13.7682,-2377.55859375,615000
1891.12,124,25.9463,3162.76,124,15.6031,-2478.925537109375,620000
2084.71,125,25.9987,3142.11,125,17.4674,-2785.294677734375,625000
1924.91,126,25.6581,3169.94,126,13.81,-2325.284912109375,630000
2401.64,127,24.7609,3135.42,127,13.8334,-2082.37744140625,635000
2278.35,128,26.1105,3040.02,128,15.2879,-2814.43115234375,640000
2373.67,129,25.7349,3144.02,129,13.3238,-2120.228515625,645000
2425.24,130,25.0241,3149.64,130,16.5582,-2387.562744140625,650000
1932.18,131,26.1069,3160.02,131,21.5939,-3013.874755859375,655000
3027.18,132,24.9125,3151.65,132,14.7032,-1709.3065185546875,660000
2200.94,133,25.7552,3139.91,133,18.9037,-2812.299560546875,665000
2817.7,134,24.3796,3137.81,134,14.1319,-1813.5557861328125,670000
2618.79,135,25.4787,3139.38,135,18.6235,-2368.115966796875,675000
2416.71,136,25.634,3178.56,136,14.6443,-2460.779296875,680000
1936.07,137,25.7795,3156.8,137,14.0093,-2586.462646484375,685000
2784.94,138,24.9047,3165.61,138,13.5692,-1899.02001953125,690000
2074.9,139,26.0517,3041.31,139,13.3986,-2678.26220703125,695000
2553.03,140,25.2519,3190.4,140,12.9827,-2090.68701171875,700000
2194.35,141,25.8782,3180.72,141,14.4189,-2862.716552734375,705000
1845.3,142,26.3672,3107.83,142,14.2946,-3069.92138671875,710000
1896.0,143,26.2911,3201.86,143,13.4442,-2849.49609375,715000
