Running Forward KL,Running Env Steps,Itration,Real Det Return,Running Update Time,Running Reverse KL,Reward Loss,Real Sto Return
32.9313,0,0,184.67,0,22.2303,352.19024658203125,189.87
32.6952,5000,1,250.4,1,20.7561,220.25062561035156,242.37
31.7263,10000,2,271.06,2,19.8195,187.70208740234375,268.72
31.2134,15000,3,294.76,3,33.2322,134.43045043945312,295.64
29.5364,20000,4,296.94,4,20.6755,175.25462341308594,321.75
29.0854,25000,5,416.43,5,33.2112,-8.588513374328613,408.54
30.1679,30000,6,455.64,6,32.2335,-21.606950759887695,452.43
28.3671,35000,7,482.7,7,34.8105,-122.58812713623047,458.09
29.5446,40000,8,504.11,8,32.8179,-176.30447387695312,491.52
29.6109,45000,9,471.05,9,26.7508,-197.71253967285156,457.27
28.5261,50000,10,449.29,10,29.6835,-275.7582092285156,449.21
28.3551,55000,11,532.56,11,26.3953,-347.9220275878906,529.43
28.6215,60000,12,544.05,12,24.1839,-346.41015625,542.96
29.0748,65000,13,531.69,13,22.5489,-407.6815490722656,522.93
28.1477,70000,14,590.56,14,22.0298,-462.1758117675781,552.35
28.5985,75000,15,565.27,15,23.9748,-574.7352294921875,546.32
27.4356,80000,16,673.23,16,20.7182,-571.0642700195312,607.97
28.3054,85000,17,647.76,17,20.8649,-636.2265625,625.49
26.8437,90000,18,996.07,18,15.4772,-530.3792724609375,786.1
25.4489,95000,19,1134.76,19,13.0307,-307.5054931640625,823.62
26.1021,100000,20,935.38,20,14.1912,-502.41729736328125,884.92
25.1549,105000,21,1181.82,21,13.6704,-378.64984130859375,939.43
25.5102,110000,22,1073.38,22,14.5214,-465.40069580078125,926.32
25.7364,115000,23,1074.9,23,16.6831,-702.0595703125,920.7
26.3865,120000,24,1042.12,24,16.3626,-721.8863525390625,902.93
25.9224,125000,25,1416.81,25,17.3194,-889.1001586914062,1087.55
24.9723,130000,26,3050.97,26,13.6677,-644.2203979492188,2134.74
24.7678,135000,27,2571.89,27,14.0546,-752.568603515625,1613.85
25.2099,140000,28,2915.41,28,12.7394,-654.8330688476562,2051.5
25.3719,145000,29,3080.99,29,13.6525,-678.6640014648438,1849.28
26.1296,150000,30,1444.64,30,15.0536,-928.0252075195312,1148.56
25.3327,155000,31,1845.24,31,14.0477,-769.1796875,1561.37
25.1276,160000,32,2465.67,32,15.8058,-665.8275756835938,1371.75
25.7668,165000,33,1201.6,33,20.9859,-1032.8660888671875,1326.57
25.4146,170000,34,1706.46,34,17.2341,-951.821533203125,1535.85
25.627,175000,35,3030.78,35,22.5985,-642.3565673828125,2239.35
25.8592,180000,36,3183.85,36,15.6469,-807.295166015625,2309.74
24.9288,185000,37,3134.72,37,15.4037,-922.9896240234375,2243.81
25.9315,190000,38,3096.42,38,14.622,-668.7706298828125,3110.61
24.6764,195000,39,3212.02,39,14.4226,-723.4262084960938,1784.55
25.4948,200000,40,3129.58,40,15.9759,-876.36669921875,2189.83
25.6718,205000,41,3270.76,41,15.2905,-684.9669189453125,2763.08
25.0895,210000,42,3265.57,42,16.3902,-913.836669921875,2536.69
25.7528,215000,43,3043.78,43,15.7144,-838.782470703125,2787.53
24.3603,220000,44,3107.43,44,14.4259,-827.5275268554688,2946.7
25.2743,225000,45,3179.04,45,15.4564,-1106.227783203125,2414.79
25.3924,230000,46,3194.75,46,15.218,-988.1130981445312,2491.37
25.6138,235000,47,3107.05,47,15.1509,-829.7145385742188,3038.56
25.0961,240000,48,3143.43,48,15.9987,-1098.5699462890625,2882.01
25.1454,245000,49,3153.24,49,18.044,-1122.3382568359375,3066.18
25.9832,250000,50,3167.95,50,15.1317,-929.7764892578125,2962.97
25.968,255000,51,3093.47,51,15.2185,-961.0714721679688,3107.18
26.1809,260000,52,3166.48,52,15.0878,-979.4351806640625,3100.46
25.2714,265000,53,3191.03,53,14.5708,-1013.9149780273438,2769.12
25.1061,270000,54,3157.51,54,14.4749,-973.8770141601562,2956.77
25.2429,275000,55,3176.0,55,15.4721,-1254.933837890625,1758.55
24.8454,280000,56,3200.46,56,13.7362,-1125.006103515625,2985.11
24.8261,285000,57,3158.67,57,19.0944,-1408.954833984375,2397.29
24.7251,290000,58,3135.39,58,16.5145,-1286.187255859375,2628.71
25.363,295000,59,3102.95,59,20.4238,-1485.911865234375,2489.46
24.942,300000,60,3158.02,60,14.179,-1107.5341796875,2994.15
25.1945,305000,61,3149.22,61,15.1378,-1234.7506103515625,2802.21
24.293,310000,62,3193.7,62,14.0041,-1120.366943359375,3110.22
24.1872,315000,63,3170.06,63,15.6194,-1336.726806640625,2481.2
25.1496,320000,64,3147.29,64,15.435,-1297.7425537109375,3064.86
24.966,325000,65,3150.46,65,15.6012,-1310.76953125,3105.21
25.0842,330000,66,3185.81,66,14.1862,-1217.033935546875,2816.89
25.2589,335000,67,3222.68,67,14.6599,-1191.43017578125,3119.73
24.8586,340000,68,3226.93,68,17.0507,-1403.161376953125,2769.5
24.9574,345000,69,3216.41,69,14.201,-1234.8699951171875,3087.61
23.8164,350000,70,3263.41,70,14.1442,-1436.631103515625,2700.52
25.2183,355000,71,3220.03,71,14.3542,-1284.0072021484375,2586.22
25.2329,360000,72,3222.97,72,14.5332,-1295.923828125,3223.51
24.7155,365000,73,3215.97,73,14.235,-1364.1961669921875,3118.92
23.7587,370000,74,3237.47,74,13.7276,-1290.81689453125,3230.58
23.8751,375000,75,3248.77,75,13.5442,-1365.903564453125,2707.18
25.1085,380000,76,3203.42,76,14.6986,-1408.9404296875,3226.84
23.7419,385000,77,3209.27,77,13.6287,-1340.4632568359375,2933.21
24.4616,390000,78,3241.52,78,14.5368,-1392.216064453125,3250.48
24.8416,395000,79,3251.61,79,14.2892,-1403.71923828125,2942.74
24.5296,400000,80,3247.94,80,13.9235,-1454.47509765625,3143.82
23.7296,405000,81,3278.63,81,15.2214,-1656.698486328125,2437.52
24.1429,410000,82,3251.6,82,14.0448,-1443.01806640625,3258.89
24.6419,415000,83,3259.28,83,14.5178,-1494.4742431640625,3265.42
24.3877,420000,84,3210.06,84,14.5443,-1478.572265625,3215.15
24.0687,425000,85,3244.51,85,14.505,-1496.2794189453125,3256.88
23.6601,430000,86,3238.86,86,14.2901,-1577.9971923828125,2700.95
23.7361,435000,87,3282.58,87,14.6727,-1626.32666015625,2767.13
24.4862,440000,88,3251.13,88,14.777,-1489.9993896484375,3167.35
24.1533,445000,89,3241.84,89,14.688,-1530.1737060546875,3265.62
24.1318,450000,90,3235.01,90,14.3406,-1574.7813720703125,3151.39
25.002,455000,91,3266.48,91,14.364,-1658.83740234375,3216.01
24.2026,460000,92,3234.6,92,14.1573,-1573.5284423828125,3242.84
23.957,465000,93,3261.41,93,15.062,-1842.3643798828125,2777.13
23.6284,470000,94,3226.78,94,14.8536,-1571.21044921875,3237.48
