Running Reverse KL,Running Update Time,Running Env Steps,Running Forward KL,Real Sto Return,Real Det Return,Reward Loss,Itration
18.983,0,0,34.0313,182.45,182.16,291.6251525878906,0
16.5013,1,5000,30.1591,304.45,298.25,174.8142852783203,1
16.1285,2,10000,30.2449,368.58,377.39,241.9496612548828,2
39.4191,3,15000,30.427,363.33,369.63,311.0997314453125,3
14.2306,4,20000,29.8407,368.03,408.4,362.3504333496094,4
33.1159,5,25000,27.2137,489.82,470.21,369.6259460449219,5
19.4471,6,30000,24.8662,541.9,667.95,37.37982177734375,6
18.511,7,35000,27.3532,533.07,474.0,-119.81794738769531,7
14.1696,8,40000,26.4015,484.48,375.89,232.0987091064453,8
13.2472,9,45000,24.7477,677.03,624.55,215.3155059814453,9
16.9009,10,50000,26.6725,311.56,309.03,-127.5679702758789,10
16.5129,11,55000,25.4541,746.34,624.11,-12.705059051513672,11
67.7669,12,60000,26.0342,934.77,402.04,-333.75079345703125,12
12.5099,13,65000,24.8087,1006.64,729.08,-7.107852935791016,13
11.9409,14,70000,24.6931,1482.17,1388.81,41.04166030883789,14
23.4714,15,75000,24.4913,1132.02,1762.42,98.89752197265625,15
15.9228,16,80000,24.6191,1441.57,2433.12,3.1254630088806152,16
11.8364,17,85000,22.9102,1758.21,2338.53,-21.219879150390625,17
13.853,18,90000,25.7712,2362.84,2354.47,-127.7013168334961,18
14.5163,19,95000,22.8668,2625.53,2380.81,-93.7393569946289,19
13.0088,20,100000,22.8955,2389.37,2896.3,-103.97174072265625,20
17.0886,21,105000,25.6939,2822.66,2793.73,-179.4054412841797,21
14.8662,22,110000,24.3293,2932.29,2920.89,-143.0274658203125,22
14.8447,23,115000,25.1842,2763.2,2721.22,-175.39114379882812,23
15.4489,24,120000,24.205,2921.34,2930.73,-209.7752227783203,24
17.654,25,125000,24.4649,3038.06,3045.41,-123.470703125,25
16.3212,26,130000,23.8521,3051.4,3041.37,-164.1058807373047,26
14.0868,27,135000,21.4857,3106.38,3151.18,-104.35877227783203,27
17.5119,28,140000,22.548,2817.93,3097.05,-143.06346130371094,28
