Running Reverse KL,Running Forward KL,Real Det Return,Itration,Running Update Time,Running Env Steps,Reward Loss,Real Sto Return
12.526,49.6908,328.07,0,0,0,-200.65016174316406,306.4
20.029,49.7912,330.32,1,1,5000,-254.83071899414062,300.77
16.2853,49.6869,303.76,2,2,10000,-176.4416046142578,330.06
13.3937,49.2981,350.66,3,3,15000,-248.40884399414062,415.73
12.3401,49.3342,313.07,4,4,20000,-364.2873229980469,293.11
12.4778,49.7775,377.62,5,5,25000,-317.9696960449219,393.92
13.6294,49.3415,453.48,6,6,30000,-257.7230224609375,382.16
12.7686,49.3423,367.43,7,7,35000,-331.6190185546875,419.16
31.2798,49.0405,462.92,8,8,40000,-184.86326599121094,428.38
32.9577,49.3987,662.33,9,9,45000,-204.82347106933594,610.34
40.666,48.5955,561.06,10,10,50000,-137.86024475097656,543.97
19.1795,47.6061,587.79,11,11,55000,-212.8987579345703,576.81
15.7777,46.8599,897.57,12,12,60000,-211.12564086914062,749.27
23.3862,48.3896,490.32,13,13,65000,-249.77989196777344,500.55
18.851,48.21,720.0,14,14,70000,-246.5035858154297,609.19
18.3071,47.4092,2247.88,15,15,75000,-242.46775817871094,807.99
20.1188,48.3344,739.36,16,16,80000,-224.02359008789062,663.18
19.4822,47.7385,669.08,17,17,85000,-199.8684539794922,700.04
15.6725,47.0161,397.42,18,18,90000,-227.2303466796875,1298.3
22.7143,47.3575,1065.6,19,19,95000,-209.27235412597656,1287.47
38.1322,48.443,947.57,20,20,100000,-177.5592041015625,688.14
15.416,47.4231,707.29,21,21,105000,-263.6783142089844,1389.52
22.1005,48.425,868.52,22,22,110000,-266.46136474609375,848.24
26.0022,46.7704,1776.85,23,23,115000,-212.7030792236328,981.42
31.4713,47.7912,1637.38,24,24,120000,-190.2265167236328,1161.04
16.9073,46.4976,1365.77,25,25,125000,-222.0468292236328,1846.14
33.7488,47.5432,1175.84,26,26,130000,-229.55796813964844,1026.39
48.0284,47.8724,993.3,27,27,135000,-232.03012084960938,945.82
36.8288,47.2887,1382.56,28,28,140000,-240.112060546875,962.69
35.4122,47.3809,1462.51,29,29,145000,-259.698486328125,1193.07
