Running Forward KL,Itration,Real Det Return,Running Env Steps,Real Sto Return,Running Reverse KL,Running Update Time,Reward Loss
158.6183,0,-98.66,0,-241.57,11.846,0,-34.240901947021484
158.2971,1,75.07,5000,-79.51,11.6464,1,-72.58185577392578
158.3355,2,322.74,10000,63.02,12.0896,2,-95.79530334472656
158.3999,3,711.87,15000,258.59,13.4383,3,-155.22756958007812
158.0966,4,910.23,20000,491.22,14.0556,4,-193.02830505371094
158.1642,5,1004.07,25000,603.89,14.3283,5,-201.98057556152344
157.8953,6,1120.86,30000,682.06,14.5294,6,-201.0341339111328
157.8118,7,1102.52,35000,725.75,14.0884,7,-242.43026733398438
158.0471,8,1146.67,40000,802.35,14.9673,8,-248.9249725341797
158.1685,9,1318.43,45000,939.14,15.7205,9,-267.6236267089844
158.1338,10,1388.46,50000,1034.55,16.2308,10,-299.219482421875
157.8938,11,1492.97,55000,1095.05,16.8671,11,-311.12945556640625
158.0484,12,1528.98,60000,1140.51,16.9455,12,-345.5203857421875
157.6838,13,1665.13,65000,1160.29,16.7528,13,-361.5619812011719
157.8217,14,1593.07,70000,1176.84,16.9775,14,-397.82781982421875
157.7162,15,1673.07,75000,1234.45,16.6534,15,-437.60400390625
157.826,16,1733.3,80000,1255.54,17.1554,16,-454.1100158691406
157.621,17,1708.32,85000,1257.65,16.2584,17,-478.2699890136719
157.5622,18,1833.52,90000,1385.27,16.6823,18,-504.0799255371094
157.4488,19,1866.82,95000,1433.8,16.5468,19,-515.3082275390625
157.8174,20,1799.89,100000,1430.09,16.3507,20,-540.3077392578125
157.6262,21,1830.53,105000,1457.45,16.2474,21,-566.3467407226562
157.5102,22,1847.0,110000,1498.06,16.3304,22,-602.1099243164062
157.7457,23,1909.8,115000,1476.5,16.3804,23,-620.6039428710938
157.4468,24,1915.2,120000,1507.14,16.4136,24,-649.1962890625
157.7235,25,1906.4,125000,1547.98,16.5528,25,-672.8599243164062
157.6792,26,1900.64,130000,1552.31,16.2167,26,-705.1395263671875
157.6338,27,1931.32,135000,1590.6,16.6486,27,-731.3546142578125
157.7234,28,1942.26,140000,1611.96,16.7039,28,-758.2611083984375
157.5654,29,1973.59,145000,1607.1,16.4924,29,-770.53125
157.5724,30,1983.34,150000,1617.92,16.8083,30,-796.9144897460938
157.4594,31,2034.56,155000,1626.77,16.8831,31,-830.3751220703125
157.4903,32,1931.2,160000,1610.86,16.2647,32,-838.705322265625
157.2961,33,1929.46,165000,1604.74,16.2926,33,-870.713134765625
157.284,34,2033.66,170000,1666.8,16.1809,34,-888.4674072265625
157.4097,35,1978.61,175000,1626.26,16.3817,35,-922.743896484375
157.1928,36,1990.2,180000,1654.5,16.3433,36,-943.6160278320312
157.4364,37,2072.65,185000,1712.54,16.8973,37,-979.303955078125
157.3503,38,1952.55,190000,1612.75,16.2666,38,-991.0309448242188
157.3112,39,2075.96,195000,1701.07,16.3946,39,-1033.6070556640625
157.607,40,2059.48,200000,1686.97,16.8043,40,-1061.3427734375
157.2136,41,2039.93,205000,1652.79,16.637,41,-1069.3599853515625
157.4057,42,2039.41,210000,1690.27,16.7499,42,-1121.8187255859375
157.2919,43,1975.04,215000,1661.73,16.3566,43,-1103.9366455078125
157.3697,44,2022.58,220000,1683.96,16.0951,44,-1154.807861328125
157.3137,45,2112.28,225000,1711.08,16.3301,45,-1186.990966796875
157.0315,46,2032.31,230000,1691.15,15.9421,46,-1200.663330078125
157.0946,47,2012.13,235000,1661.77,16.0213,47,-1219.8253173828125
157.0316,48,2024.45,240000,1712.5,16.023,48,-1253.6173095703125
157.3648,49,2060.5,245000,1705.52,16.3339,49,-1286.9068603515625
157.227,50,2082.79,250000,1708.17,16.4948,50,-1309.3779296875
157.2076,51,2008.63,255000,1642.48,15.8718,51,-1337.735595703125
157.0976,52,2019.62,260000,1693.48,15.6846,52,-1352.5802001953125
157.0568,53,2045.95,265000,1696.61,16.0592,53,-1382.44091796875
157.2002,54,2111.04,270000,1703.75,16.3581,54,-1423.663818359375
156.9147,55,2098.58,275000,1706.48,15.8553,55,-1437.6363525390625
157.1265,56,2094.84,280000,1703.02,16.2922,56,-1464.7314453125
156.9871,57,2108.12,285000,1742.13,15.801,57,-1482.5169677734375
157.1114,58,2122.19,290000,1719.65,16.2812,58,-1520.720947265625
157.0191,59,2089.13,295000,1726.79,15.9558,59,-1533.49951171875
157.1761,60,2063.2,300000,1708.5,15.9566,60,-1580.15673828125
156.8047,61,2039.38,305000,1706.58,15.5795,61,-1595.22705078125
156.938,62,2076.93,310000,1728.82,15.7476,62,-1621.6949462890625
157.0205,63,2115.14,315000,1741.39,16.0535,63,-1657.533203125
157.009,64,2092.4,320000,1728.19,15.8505,64,-1689.857421875
156.7986,65,2038.56,325000,1730.17,15.6993,65,-1719.035888671875
156.8755,66,2094.41,330000,1762.75,16.0047,66,-1736.6571044921875
156.9703,67,2071.34,335000,1751.23,15.8002,67,-1765.9478759765625
156.8926,68,2141.62,340000,1784.17,16.1999,68,-1800.3992919921875
156.9372,69,2155.28,345000,1786.35,15.8474,69,-1830.6309814453125
157.0077,70,2097.89,350000,1752.09,15.5983,70,-1849.7425537109375
156.7775,71,2059.7,355000,1735.95,15.6988,71,-1869.3475341796875
156.9103,72,2103.27,360000,1767.51,15.7841,72,-1906.173095703125
157.0672,73,2149.42,365000,1776.84,16.0437,73,-1938.8033447265625
156.8929,74,2143.0,370000,1774.21,15.5715,74,-1964.7947998046875
156.9582,75,2180.94,375000,1794.41,16.0622,75,-2010.3734130859375
156.8727,76,2127.97,380000,1787.9,16.0005,76,-2035.1004638671875
156.8805,77,2103.38,385000,1749.31,15.7489,77,-2049.246826171875
156.9156,78,2136.76,390000,1777.82,16.0202,78,-2100.922119140625
156.8874,79,2151.04,395000,1800.38,15.7923,79,-2119.6875
156.9557,80,2167.44,400000,1761.56,15.8836,80,-2170.745361328125
156.8799,81,2162.35,405000,1806.64,15.9894,81,-2170.509765625
156.8554,82,2140.19,410000,1776.86,15.8286,82,-2202.4736328125
156.7432,83,2160.85,415000,1795.17,15.9255,83,-2218.927001953125
157.2019,84,2164.96,420000,1786.76,16.1289,84,-2291.330078125
156.804,85,2118.99,425000,1778.91,15.5914,85,-2295.3291015625
156.8556,86,2199.97,430000,1805.89,15.9091,86,-2310.806396484375
156.7721,87,2183.52,435000,1821.33,15.7112,87,-2362.168701171875
156.9676,88,2166.43,440000,1798.02,15.8495,88,-2386.41455078125
156.9174,89,2206.07,445000,1861.06,15.9323,89,-2399.90380859375
156.8993,90,2162.95,450000,1777.4,15.8888,90,-2447.988037109375
156.8202,91,2184.73,455000,1833.0,15.8217,91,-2472.73583984375
156.9849,92,2136.16,460000,1799.1,15.8607,92,-2498.6865234375
156.7297,93,2141.55,465000,1783.89,15.5894,93,-2521.471435546875
156.9878,94,2127.7,470000,1805.72,15.6247,94,-2559.85546875
156.8572,95,2209.75,475000,1837.58,16.058,95,-2578.35498046875
157.0122,96,2161.32,480000,1816.33,16.1994,96,-2652.9765625
156.9424,97,2159.79,485000,1818.99,15.8205,97,-2684.63232421875
