Running Forward KL,Itration,Running Update Time,Real Det Return,Real Sto Return,Running Reverse KL,Running Env Steps,Reward Loss
32.5927,0,0,233.28,228.17,34.5423,0,5.864374160766602
32.2596,1,1,293.13,286.02,37.3627,5000,-20.32712173461914
31.8871,2,2,266.7,267.27,48.2771,10000,-30.59697151184082
31.9312,3,3,294.38,293.1,40.2948,15000,-43.1329460144043
31.8753,4,4,334.11,328.26,26.3452,20000,-37.44684982299805
31.5397,5,5,332.73,314.98,40.1547,25000,-44.93236541748047
31.5156,6,6,336.28,338.01,32.2074,30000,-58.601810455322266
31.0431,7,7,342.92,337.55,38.4256,35000,-61.88163757324219
30.9398,8,8,340.87,336.93,36.4608,40000,-69.91090393066406
31.0131,9,9,344.83,341.58,36.0832,45000,-82.42308807373047
31.3317,10,10,347.49,343.58,23.2953,50000,-87.1589584350586
31.0324,11,11,348.75,344.17,24.9541,55000,-124.2564926147461
30.872,12,12,348.11,345.4,36.1078,60000,-142.6509552001953
30.5774,13,13,405.09,382.78,28.2173,65000,-152.7914276123047
29.5579,14,14,242.02,245.36,25.4693,70000,-160.82955932617188
26.1735,15,15,335.57,485.85,30.5158,75000,-139.4000701904297
29.8417,16,16,423.31,282.96,93.3045,80000,-108.91908264160156
24.5492,17,17,762.17,486.08,34.5478,85000,-160.25735473632812
25.0974,18,18,937.98,892.3,31.6373,90000,-173.88999938964844
23.9886,19,19,1402.08,1170.34,31.9299,95000,-155.95448303222656
24.3741,20,20,2846.05,2052.75,17.5849,100000,-97.64616394042969
25.1465,21,21,1339.6,1191.62,61.6862,105000,-227.37940979003906
24.191,22,22,1596.26,1239.98,66.4745,110000,-228.23760986328125
24.6285,23,23,1204.93,1210.55,66.1288,115000,-248.22006225585938
24.035,24,24,917.18,1757.06,27.255,120000,-151.5810546875
24.6346,25,25,812.39,1216.98,75.7885,125000,-285.75762939453125
25.158,26,26,845.38,1164.37,39.4022,130000,-252.2819061279297
25.0747,27,27,926.57,1258.24,40.8274,135000,-249.9699249267578
24.7143,28,28,1115.22,1228.15,50.1145,140000,-253.08721923828125
23.1208,29,29,1521.44,1377.76,48.8296,145000,-259.1479187011719
23.6655,30,30,1381.21,1177.69,38.7279,150000,-273.1752014160156
22.934,31,31,1682.18,1401.65,37.0706,155000,-265.3656921386719
21.3525,32,32,2173.1,1520.56,44.0393,160000,-227.1632080078125
22.4205,33,33,1430.31,1338.54,41.3669,165000,-276.4333190917969
23.3469,34,34,2412.17,1478.54,23.9796,170000,-242.7150421142578
23.172,35,35,2117.97,1454.03,23.5422,175000,-264.377197265625
21.589,36,36,3263.49,2073.35,22.4907,180000,-154.80519104003906
23.3069,37,37,3153.36,3109.28,15.0066,185000,-86.12435913085938
21.8663,38,38,3208.75,2619.16,14.0502,190000,-138.00460815429688
21.7324,39,39,3230.59,2311.24,13.6954,195000,-141.31980895996094
22.2901,40,40,3171.88,2758.04,14.1822,200000,-86.5798568725586
22.3879,41,41,3147.38,3077.34,14.0757,205000,-89.44398498535156
21.4841,42,42,3275.35,2057.29,22.6724,210000,-200.29718017578125
22.3836,43,43,3343.92,1842.8,20.7456,215000,-233.04244995117188
21.1107,44,44,3247.02,2517.5,14.7713,220000,-102.6827392578125
21.2677,45,45,3170.15,3267.19,17.3211,225000,-99.61811065673828
21.4731,46,46,3084.92,3023.66,12.9744,230000,-102.32576751708984
20.6328,47,47,3204.96,2987.17,15.976,235000,-130.38729858398438
22.2375,48,48,3226.54,2584.17,15.9058,240000,-150.84817504882812
19.9321,49,49,3126.46,3143.39,12.4661,245000,-104.80579376220703
21.3345,50,50,3370.44,2322.36,17.1538,250000,-162.74020385742188
21.3707,51,51,3267.69,2827.56,13.8684,255000,-133.0557098388672
20.6056,52,52,3255.29,3191.68,13.5684,260000,-79.76805877685547
21.0179,53,53,3305.61,2921.04,18.2182,265000,-84.73583984375
21.1312,54,54,3322.35,3074.45,16.0855,270000,-124.78157806396484
20.9666,55,55,3360.85,2667.14,13.8441,275000,-152.35337829589844
20.9612,56,56,3205.93,1876.66,15.9214,280000,-231.1028594970703
20.066,57,57,3346.56,3170.49,12.9244,285000,-79.04130554199219
19.7735,58,58,3399.78,3179.05,13.798,290000,-90.61056518554688
20.0393,59,59,3409.11,2614.66,14.7963,295000,-103.02567291259766
20.0563,60,60,3335.08,3109.74,12.9882,300000,-89.39525604248047
19.0195,61,61,3379.78,3223.7,12.0873,305000,-76.69686889648438
19.3167,62,62,3400.63,2745.11,15.0636,310000,-104.82427215576172
20.2933,63,63,3422.47,2195.22,15.8412,315000,-216.85003662109375
19.3724,64,64,3415.63,2271.44,13.0012,320000,-126.50224304199219
22.3533,65,65,3098.78,1762.21,26.8,325000,-349.8802185058594
18.8152,66,66,3374.75,3291.85,13.0829,330000,-143.3408203125
18.9492,67,67,3435.79,2793.23,13.3624,335000,-145.71958923339844
