Running Update Time,Running Reverse KL,Reward Loss,Real Det Return,Real Sto Return,Running Forward KL,Itration,Running Env Steps
0,286.3112,-3221.86181640625,282.78,305.45,446.2342,0,0
1,309.0919,-4365.5556640625,263.39,286.0,462.9297,1,5000
2,266.5639,-4025.427734375,362.29,364.18,428.0933,2,10000
3,242.4134,-1713.295654296875,454.98,440.98,397.747,3,15000
4,253.3856,-1237.4945068359375,344.31,378.79,402.0705,4,20000
5,254.9556,-2272.208984375,544.85,492.15,383.084,5,25000
6,280.24,-4742.6357421875,591.5,480.8,380.471,6,30000
7,276.9602,-5175.42431640625,583.63,481.56,381.4903,7,35000
8,275.8854,-5163.57177734375,618.59,537.85,355.7281,8,40000
9,268.8682,-4182.2470703125,559.9,583.59,364.6004,9,45000
10,268.7514,-5593.37890625,885.65,577.01,351.3574,10,50000
11,320.3941,-5967.72314453125,664.72,592.53,355.7023,11,55000
12,336.1377,-6177.720703125,707.07,658.62,359.4005,12,60000
13,342.3178,-7095.10107421875,708.67,642.0,366.6476,13,65000
14,312.8336,-6127.85595703125,608.83,725.51,357.0415,14,70000
15,316.4247,-7000.4501953125,796.87,791.6,351.3806,15,75000
16,331.4945,-7409.56787109375,757.16,820.22,360.7957,16,80000
