Real Sto Return,Running Forward KL,Itration,Real Det Return,Running Reverse KL
-88.23,73.5804,0,554.51,24.4143
-74.86,74.2139,1,305.49,24.2676
-66.81,73.6413,2,523.21,26.4286
-9.9,74.273,3,651.19,26.9904
31.88,72.9632,4,646.18,29.159
79.0,73.0284,5,617.04,30.254
73.34,72.9974,6,755.71,29.166
129.74,72.3712,7,573.48,31.8731
198.54,70.7294,8,760.56,31.1323
175.05,73.6517,9,752.04,30.8274
167.99,74.2665,10,801.6,31.7695
207.31,71.9909,11,965.61,32.1082
184.84,70.1465,12,851.61,31.2063
178.94,71.5222,13,813.1,31.9705
273.65,71.4846,14,598.58,32.2296
271.7,69.8177,15,787.49,31.5523
297.5,68.0688,16,900.7,30.4736
192.7,70.1208,17,697.09,31.0132
104.06,72.7355,18,558.48,31.4374
34.38,75.9684,19,311.82,31.7579
59.89,73.1781,20,431.61,31.1952
95.12,73.3847,21,471.07,31.3267
63.09,73.7307,22,378.52,29.7787
-147.32,77.4891,23,-51.71,40.5019
-278.18,75.8421,24,84.69,36.0866
-110.66,74.6498,25,249.46,34.1381
-18.38,74.1574,26,173.24,27.4312
-10.99,73.657,27,238.18,27.4275
-45.36,73.3506,28,165.65,34.6089
36.99,69.818,29,285.65,27.8167
60.07,73.8766,30,138.89,29.604
77.48,70.6524,31,412.79,27.9779
67.49,70.0534,32,410.94,29.0688
62.37,71.9099,33,490.3,29.7571
62.46,72.9469,34,568.27,29.5851
83.15,74.6424,35,587.78,30.3988
110.74,72.5391,36,211.72,29.9261
105.25,73.5274,37,421.34,30.9852
139.23,71.9107,38,405.02,30.1161
129.36,74.0023,39,411.89,31.5882
88.75,72.7504,40,421.48,30.1965
129.18,72.6415,41,425.46,30.9364
96.99,70.3005,42,67.61,30.8788
83.63,71.0696,43,141.4,30.236
39.43,74.1622,44,388.94,37.3151
-41.28,72.7443,45,321.63,34.3276
50.92,71.8121,46,219.7,33.3742
79.6,67.5337,47,197.92,29.5691
75.3,70.9468,48,289.75,29.7783
80.25,72.7684,49,282.0,31.4426
97.29,72.5592,50,354.16,29.3915
100.56,69.963,51,360.11,28.5232
109.35,71.0259,52,413.55,28.8012
180.25,70.3636,53,556.85,29.0043
177.59,70.1071,54,586.98,29.7695
144.98,72.1431,55,469.75,30.1722
138.59,71.2397,56,531.35,28.8346
78.93,71.2916,57,407.72,29.033
75.99,72.4331,58,613.38,30.8047
79.28,71.859,59,497.92,29.567
96.56,70.566,60,548.58,30.2701
37.95,72.6701,61,420.58,32.5816
64.71,70.6386,62,388.56,31.0192
141.56,69.4231,63,511.94,28.7567
107.85,72.2207,64,386.63,29.2542
99.27,70.81,65,503.14,30.7311
84.23,70.9132,66,297.02,28.6759
124.36,69.9205,67,514.73,28.3243
148.22,71.3968,68,491.33,30.2864
157.46,68.675,69,570.5,29.2419
91.51,72.7069,70,538.48,29.3609
101.53,69.7566,71,495.2,30.3002
71.62,71.8338,72,450.66,30.7797
69.95,70.0322,73,558.29,28.4057
86.36,68.9961,74,493.27,28.3014
96.59,72.2494,75,425.61,30.475
113.94,72.1267,76,482.73,29.83
106.45,69.4396,77,602.41,27.2326
135.5,69.7417,78,456.47,30.2588
136.37,70.443,79,469.75,29.0378
134.45,70.9617,80,427.39,28.406
131.9,70.3893,81,370.31,28.8958
110.65,68.4538,82,317.36,27.7426
129.7,70.8929,83,478.01,29.5949
128.17,68.5289,84,548.13,28.7429
89.23,71.5322,85,357.68,28.1342
148.29,70.4734,86,512.32,28.9757
136.9,66.5432,87,667.37,28.8152
109.95,67.6709,88,342.86,26.8483
175.44,69.6012,89,343.65,28.7418
159.82,68.6237,90,589.16,28.6514
140.92,72.5319,91,706.92,29.8312
228.12,70.8786,92,577.58,28.5256
143.98,70.4849,93,483.86,30.1707
251.61,66.8463,94,822.05,28.2883
119.2,70.6386,95,324.01,31.3426
130.38,70.3144,96,465.58,30.4291
