Real Sto Return,Itration,Running Forward KL,Real Det Return,Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps
186.39,0,31.8714,184.19,0,135.52638244628906,15.2397,0
250.29,1,32.0235,259.18,1,69.0049819946289,21.7249,5000
307.3,2,29.4621,305.81,2,75.42549896240234,20.9999,10000
352.41,3,30.8988,352.69,3,193.14657592773438,15.1049,15000
381.99,4,31.1408,388.38,4,-104.13658905029297,17.9861,20000
364.97,5,31.3014,363.78,5,-146.37872314453125,23.3625,25000
398.18,6,30.7905,418.04,6,-298.63055419921875,18.2259,30000
413.27,7,30.0408,422.46,7,-479.4920959472656,15.8363,35000
474.09,8,25.5816,458.29,8,-404.95037841796875,15.8264,40000
458.62,9,28.1575,439.42,9,-543.8458251953125,17.867,45000
573.64,10,27.2111,403.38,10,-394.04779052734375,19.3395,50000
659.76,11,25.686,716.21,11,-445.6516418457031,16.4546,55000
628.76,12,25.365,643.74,12,-509.3839111328125,23.8111,60000
687.2,13,25.9165,670.58,13,-486.2315368652344,18.4324,65000
659.95,14,26.0344,665.94,14,-712.5138549804688,32.4488,70000
703.71,15,25.3341,803.33,15,-721.7307739257812,18.9414,75000
758.04,16,26.3549,802.21,16,-1338.8507080078125,45.0787,80000
676.95,17,24.9187,678.11,17,-966.0263671875,26.6146,85000
768.74,18,25.9453,813.66,18,-811.0055541992188,21.466,90000
856.72,19,25.1378,861.47,19,-994.7138061523438,25.2596,95000
920.82,20,25.1275,958.5,20,-850.6673583984375,20.0571,100000
844.44,21,25.2683,843.72,21,-918.173828125,25.7635,105000
857.55,22,25.3681,853.8,22,-938.281005859375,20.285,110000
927.68,23,25.1132,1044.32,23,-896.3133544921875,20.4457,115000
1541.12,24,23.7716,1495.76,24,-830.9822387695312,21.1792,120000
1969.18,25,23.0903,2074.52,25,-764.3291015625,23.3333,125000
1186.05,26,23.9228,1359.22,26,-945.115234375,23.6176,130000
2576.1,27,24.6256,2731.19,27,-482.8734130859375,12.7657,135000
1975.0,28,25.0671,2677.36,28,-886.7103881835938,17.5425,140000
986.27,29,25.3239,923.73,29,-1049.7115478515625,29.0563,145000
2375.86,30,23.2106,3106.86,30,-836.776123046875,18.7383,150000
1592.71,31,23.0966,3094.08,31,-988.2867431640625,16.5186,155000
1904.93,32,22.7837,2898.07,32,-715.1913452148438,16.4567,160000
1131.95,33,24.6438,1355.15,33,-1497.25390625,26.7904,165000
1269.14,34,24.0292,1931.74,34,-1273.2352294921875,15.325,170000
1227.45,35,23.9807,1275.97,35,-1229.1810302734375,21.7039,175000
1198.47,36,24.0386,1481.38,36,-1615.0675048828125,43.1411,180000
2746.16,37,22.9562,3065.25,37,-525.9134521484375,12.2201,185000
1413.22,38,24.3619,1672.51,38,-1088.7813720703125,23.0284,190000
1930.9,39,23.9625,1437.65,39,-1168.7447509765625,16.39,195000
3174.75,40,22.3167,3194.32,40,-458.2032470703125,13.8357,200000
1146.33,41,23.6003,1158.03,41,-1148.6158447265625,12.4736,205000
2969.21,42,23.4075,3050.31,42,-559.2147216796875,14.8924,210000
1212.8,43,24.6966,937.14,43,-1455.7926025390625,23.3248,215000
1196.85,44,24.1895,1609.0,44,-1215.545654296875,17.7558,220000
2186.27,45,24.117,3213.02,45,-723.7205200195312,12.7062,225000
1509.07,46,22.4689,2774.13,46,-682.7403564453125,11.9159,230000
1579.43,47,23.7022,2223.43,47,-1340.62841796875,34.4995,235000
3023.1,48,23.5099,3250.55,48,-825.8377685546875,16.8208,240000
1234.27,49,24.2571,1511.32,49,-1397.501953125,22.6778,245000
1515.79,50,22.6796,1982.83,50,-2373.81884765625,72.5144,250000
2101.88,51,22.2011,3251.69,51,-1791.9305419921875,48.9748,255000
3082.29,52,21.8857,3286.14,52,-1038.7733154296875,27.7438,260000
2952.28,53,23.2151,3195.78,53,-1453.4700927734375,52.2046,265000
2155.98,54,22.6491,3208.07,54,-1609.858642578125,37.5939,270000
2254.08,55,22.9008,3191.71,55,-1900.5028076171875,51.7759,275000
1815.4,56,22.698,3279.96,56,-1772.00634765625,35.7088,280000
2543.99,57,22.2978,3205.93,57,-1489.45703125,32.7132,285000
2362.03,58,21.1226,3312.21,58,-1412.41259765625,26.4499,290000
3181.37,59,22.3414,3160.81,59,-864.032470703125,22.6033,295000
2662.62,60,22.9898,3201.35,60,-830.8172607421875,20.6827,300000
2612.76,61,21.7399,3256.04,61,-1212.8787841796875,28.1801,305000
1553.88,62,21.895,1852.01,62,-1929.9774169921875,36.5602,310000
1386.4,63,23.355,3097.24,63,-3508.1533203125,99.4388,315000
3076.47,64,21.9372,3185.38,64,-1100.519287109375,18.713,320000
2774.42,65,21.9468,3184.78,65,-1046.890869140625,15.8706,325000
3113.73,66,21.4204,3078.92,66,-951.3807983398438,13.8508,330000
3079.75,67,21.7174,3186.83,67,-773.3271484375,13.4876,335000
3108.89,68,22.8252,3076.08,68,-987.764892578125,15.256,340000
3216.22,69,21.2338,3230.46,69,-700.8720092773438,13.1497,345000
3164.18,70,22.5419,3171.34,70,-820.101806640625,14.6485,350000
2295.4,71,22.8241,3169.91,71,-1241.705322265625,19.7018,355000
