Real Sto Return,Reward Loss,Running Update Time,Itration,Running Env Steps,Running Reverse KL,Real Det Return,Running Forward KL
323.75,137.42039489746094,0,0,0,266.059,359.71,443.724
324.92,-87.64385986328125,1,1,5000,264.0443,231.56,418.8146
433.42,-345.070068359375,2,2,10000,257.062,594.86,409.574
496.35,-648.17578125,3,3,15000,259.5804,563.07,423.7454
492.28,-942.8508911132812,4,4,20000,257.5525,590.38,410.6852
416.18,-1345.3504638671875,5,5,25000,261.0712,472.4,420.8554
418.17,-1339.3082275390625,6,6,30000,256.1516,386.47,419.2449
419.19,-1894.668701171875,7,7,35000,265.0397,511.82,414.899
404.51,-2085.381103515625,8,8,40000,279.4508,442.08,427.3806
429.09,-2400.074951171875,9,9,45000,294.7838,421.25,415.0239
425.96,-3004.3427734375,10,10,50000,314.3283,401.42,420.0884
446.8,-3096.363037109375,11,11,55000,291.1201,622.88,413.1552
379.23,-3335.544189453125,12,12,60000,274.3234,441.75,411.6999
424.37,-3008.152587890625,13,13,65000,270.0004,542.93,426.1393
458.05,-3104.912109375,14,14,70000,266.0171,672.79,399.4798
548.28,-3270.426513671875,15,15,75000,259.9252,602.57,392.7729
478.58,-4209.86865234375,16,16,80000,267.3088,580.58,404.7794
541.38,-3852.55029296875,17,17,85000,256.8357,686.66,386.3288
595.41,-4538.91796875,18,18,90000,258.4866,649.66,388.3157
584.08,-4596.65283203125,19,19,95000,259.3105,619.4,383.6174
591.25,-4886.361328125,20,20,100000,261.5258,595.2,394.9407
656.99,-5115.34765625,21,21,105000,272.1631,681.15,389.928
634.69,-5189.171875,22,22,110000,277.1892,603.38,396.7323
524.91,-5546.89404296875,23,23,115000,255.7078,511.5,382.6497
597.22,-5154.951171875,24,24,120000,271.0484,549.49,387.1142
554.73,-5867.5751953125,25,25,125000,267.9272,667.42,388.3226
577.31,-6480.259765625,26,26,130000,295.6812,530.69,381.755
582.25,-6317.2177734375,27,27,135000,267.8019,672.1,378.7367
569.42,-7431.7255859375,28,28,140000,334.445,697.41,376.1586
554.81,-6949.23388671875,29,29,145000,290.5875,512.29,388.0598
649.05,-7134.0126953125,30,30,150000,288.8493,732.95,369.8392
516.81,-7742.3798828125,31,31,155000,295.1177,475.02,389.1369
590.37,-7688.23974609375,32,32,160000,278.5701,481.07,380.5885
670.92,-7954.072265625,33,33,165000,288.0771,693.66,370.9619
627.07,-8019.2099609375,34,34,170000,285.2482,690.98,381.0249
629.72,-8443.455078125,35,35,175000,281.7817,610.09,388.2776
646.88,-8738.8154296875,36,36,180000,284.4566,791.16,382.2086
614.0,-8859.6572265625,37,37,185000,287.765,511.79,380.8621
548.34,-9849.6572265625,38,38,190000,338.3527,488.33,398.3424
712.46,-9178.458984375,39,39,195000,307.0235,690.76,393.8083
564.63,-9257.560546875,40,40,200000,311.0514,527.7,409.9086
674.85,-9102.07421875,41,41,205000,293.7393,559.76,366.0909
834.15,-9511.9404296875,42,42,210000,286.0143,702.79,375.5218
922.69,-8908.462890625,43,43,215000,258.1219,639.75,355.0974
1011.21,-8956.4716796875,44,44,220000,253.0847,785.43,365.1007
650.08,-9561.3408203125,45,45,225000,272.488,518.75,371.6587
868.12,-10160.25,46,46,230000,291.5695,564.0,368.8967
1008.34,-9768.37890625,47,47,235000,274.1439,590.93,350.9483
989.69,-11081.603515625,48,48,240000,326.8229,723.53,363.3058
