Running Update Time,Itration,Reward Loss,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return
0,0,-20.366310119628906,0,26.6472,75.6643,-59.34,377.98
1,1,-35.47888946533203,5000,25.5721,74.1835,-18.44,383.9
2,2,-44.68008804321289,10000,26.7214,75.1303,-27.77,581.0
3,3,-64.4696044921875,15000,27.6553,72.7478,28.61,685.02
4,4,-79.82168579101562,20000,29.0414,73.0713,55.24,620.95
5,5,-83.52212524414062,25000,28.7785,69.2774,128.65,834.89
6,6,-101.14325714111328,30000,29.9598,71.9317,187.15,862.12
7,7,-112.0193862915039,35000,31.0311,71.351,166.17,743.84
8,8,-122.24927520751953,40000,29.03,69.5453,120.9,619.84
9,9,-130.66030883789062,45000,28.5335,67.946,298.34,875.11
10,10,-140.63037109375,50000,28.8416,68.566,280.04,812.39
11,11,-138.55821228027344,55000,27.6606,65.3495,284.97,836.84
12,12,-133.18157958984375,60000,26.2822,62.8098,381.41,908.2
13,13,-160.4102020263672,65000,27.6322,64.5348,411.44,1051.44
14,14,-188.78765869140625,70000,29.3037,68.9241,294.53,627.25
15,15,-181.5739288330078,75000,27.4651,64.8388,378.34,905.16
16,16,-204.5852813720703,80000,27.7749,66.8132,341.62,833.14
17,17,-202.745849609375,85000,26.7908,65.8582,246.64,704.57
18,18,-225.65850830078125,90000,27.1727,66.593,285.57,770.09
19,19,-222.4243927001953,95000,27.0811,64.7956,414.85,1537.05
20,20,-235.57333374023438,100000,27.2051,65.3447,445.32,1159.79
21,21,-231.18780517578125,105000,26.9488,64.1896,622.59,1356.88
22,22,-271.7826232910156,110000,27.7273,66.4237,973.65,1894.11
23,23,-272.5340270996094,115000,27.262,66.0221,553.15,1183.27
24,24,-276.80572509765625,120000,26.4164,65.5211,701.52,1475.93
25,25,-281.2815246582031,125000,25.9329,65.1416,482.87,1043.87
26,26,-277.05438232421875,130000,27.373,65.0962,1092.63,2151.24
27,27,-254.3939971923828,135000,27.4839,64.0801,843.11,2120.2
28,28,-329.9729309082031,140000,26.5874,66.5717,765.49,2062.93
29,29,-271.251220703125,145000,27.8723,63.3709,979.26,2017.57
30,30,-344.7796325683594,150000,25.93,66.7162,702.55,1049.19
31,31,-322.38067626953125,155000,26.7328,64.878,793.0,2180.12
32,32,-288.042724609375,160000,29.7018,64.969,1284.39,2094.32
33,33,-308.05621337890625,165000,29.6805,65.7631,1700.35,2852.62
34,34,-280.5168762207031,170000,31.2793,65.3692,1422.43,3345.62
35,35,-298.12884521484375,175000,31.8868,64.707,1462.64,2024.57
36,36,-363.7394104003906,180000,25.4688,64.8162,1015.06,2221.81
37,37,-343.6973571777344,185000,28.3942,65.6315,1466.08,2842.55
38,38,-345.1124572753906,190000,29.356,65.9777,2115.32,2387.96
39,39,-380.5918273925781,195000,28.293,65.7949,1790.49,2197.3
40,40,-354.4223937988281,200000,31.6696,66.5155,2093.73,3172.1
41,41,-319.016357421875,205000,35.6936,67.0171,2212.93,3951.64
42,42,-330.3641357421875,210000,35.4134,66.7035,2235.26,3599.7
43,43,-417.88116455078125,215000,30.2945,66.5905,1747.75,2388.92
44,44,-306.5071716308594,220000,39.1789,69.1478,2424.23,3538.53
45,45,-329.1138000488281,225000,40.2258,69.542,3134.68,4159.75
46,46,-357.32159423828125,230000,40.014,69.4266,2885.66,3962.53
47,47,-311.26312255859375,235000,47.1701,72.6343,3276.99,4112.49
48,48,-353.4971008300781,240000,38.6218,67.526,2774.74,2265.72
49,49,-342.3794860839844,245000,40.2111,69.332,3559.73,3729.41
50,50,-429.2414245605469,250000,30.832,66.1477,1914.76,3740.67
51,51,-377.9356689453125,255000,35.8738,68.2777,1739.14,3498.22
52,52,-411.1551513671875,260000,36.0798,67.4693,3200.16,3234.83
53,53,-389.97784423828125,265000,40.1031,69.7795,3067.17,3148.3
54,54,-370.7871398925781,270000,42.9276,70.8992,2990.7,4095.8
55,55,-401.3535461425781,275000,40.5866,68.5972,2727.0,4341.18
56,56,-520.1774291992188,280000,30.438,66.4613,2391.9,3397.23
57,57,-383.08465576171875,285000,48.1519,72.0896,2879.53,3933.46
58,58,-423.7598876953125,290000,44.6843,70.5684,3669.36,4561.85
59,59,-431.7942810058594,295000,43.9338,70.6839,3593.62,4098.21
60,60,-446.3419494628906,300000,41.7698,68.8604,3085.22,3920.93
61,61,-439.0298767089844,305000,44.8194,71.0817,3245.58,3875.05
62,62,-491.503662109375,310000,39.7932,69.2146,2930.82,3885.72
63,63,-481.8702392578125,315000,42.9393,70.3487,3444.31,3490.23
64,64,-507.4804992675781,320000,41.934,69.6004,3763.12,4081.63
65,65,-544.2019653320312,325000,41.7817,69.8731,3703.64,3654.92
66,66,-517.8057250976562,330000,41.1427,68.288,3296.52,3451.4
67,67,-500.1265869140625,335000,49.6727,74.3672,3488.07,4886.87
68,68,-478.9788818359375,340000,51.8792,74.836,2834.5,4189.76
69,69,-514.3358154296875,345000,48.0798,70.234,3170.87,4598.18
70,70,-538.1799926757812,350000,47.2279,71.3402,3331.77,4705.42
71,71,-515.0308227539062,355000,53.9392,74.6195,3175.26,3481.65
72,72,-562.7620849609375,360000,46.1284,70.7091,3648.6,5040.44
73,73,-565.9730224609375,365000,53.6303,77.4223,3770.55,4848.78
74,74,-579.7411499023438,370000,53.751,72.3694,3074.43,3579.35
75,75,-580.8511962890625,375000,49.3861,74.8507,3451.93,4296.39
76,76,-601.070068359375,380000,51.354,72.6956,3246.6,4506.31
77,77,-616.03466796875,385000,46.7027,70.1901,2633.94,3027.67
78,78,-635.3798828125,390000,46.8201,69.0841,4442.77,5094.97
79,79,-656.4149780273438,395000,48.1032,71.5717,3821.19,4837.5
80,80,-654.3489990234375,400000,55.4428,76.0525,4076.23,5128.78
81,81,-698.8983154296875,405000,47.0976,69.1185,3368.96,4489.21
82,82,-699.9777221679688,410000,49.8444,70.6493,2664.3,3199.57
83,83,-721.756103515625,415000,55.2188,73.8451,4091.35,4947.85
84,84,-714.9386596679688,420000,54.9125,75.1811,3821.26,4308.85
85,85,-733.8856811523438,425000,55.6525,72.5145,4294.91,4452.14
86,86,-757.9443359375,430000,51.0158,71.3423,3941.39,4232.23
87,87,-759.98779296875,435000,53.6457,73.3826,3727.73,4648.22
88,88,-782.7732543945312,440000,59.3096,76.9825,4110.47,4871.46
89,89,-802.539794921875,445000,60.6635,76.4101,3850.87,4799.24
90,90,-829.3656616210938,450000,58.4171,73.5437,3584.74,4975.47
91,91,-853.5255737304688,455000,66.7454,80.4473,4597.8,5094.42
92,92,-862.0217895507812,460000,61.849,79.9892,4182.45,4818.51
93,93,-893.1355590820312,465000,61.4656,79.1935,4083.14,4475.25
94,94,-873.32666015625,470000,54.5576,72.6774,2376.19,4013.38
95,95,-909.4041748046875,475000,66.2201,80.3063,4016.64,4451.77
96,96,-941.410400390625,480000,68.3069,81.1045,4208.73,5038.22
97,97,-958.3157348632812,485000,65.4091,77.8619,4112.71,4776.61
98,98,-971.7014770507812,490000,62.1752,78.2197,3976.37,4818.15
99,99,-969.1304931640625,495000,60.2525,74.5694,3887.77,4454.55
100,100,-1001.1385498046875,500000,59.8029,74.2721,4010.0,4840.17
101,101,-1012.5850219726562,505000,64.8691,78.9872,4488.0,4592.46
102,102,-1052.530517578125,510000,62.5751,77.8488,4662.15,5313.31
103,103,-1039.6949462890625,515000,65.5531,78.972,4013.37,3997.36
104,104,-1077.733154296875,520000,56.0838,72.8523,3927.84,4392.98
105,105,-1093.975830078125,525000,56.1701,71.0526,3207.42,4620.76
106,106,-1123.2398681640625,530000,64.3209,74.0713,3871.6,5233.33
107,107,-1140.6756591796875,535000,67.0626,77.9103,4232.6,4997.13
108,108,-1144.78955078125,540000,66.1225,75.6207,3831.84,4421.1
109,109,-1193.80419921875,545000,60.8271,71.7057,4760.01,5436.69
110,110,-1229.1324462890625,550000,70.1515,78.7454,5202.45,5216.82
111,111,-1256.78955078125,555000,63.741,78.9647,4368.29,5045.61
112,112,-1279.187255859375,560000,62.2117,76.9634,4874.32,5575.72
113,113,-1290.041259765625,565000,62.5923,78.7699,4405.36,4295.49
114,114,-1299.9835205078125,570000,62.5497,78.5151,3301.38,4897.33
115,115,-1344.982177734375,575000,69.028,80.6245,4325.13,4955.36
116,116,-1328.2384033203125,580000,58.2619,73.2626,3362.83,4711.44
117,117,-1382.47265625,585000,70.6373,79.7908,4724.16,5656.55
118,118,-1424.673828125,590000,69.0529,78.2858,5343.61,5448.75
119,119,-1437.071533203125,595000,69.5878,79.1179,4363.36,4782.9
120,120,-1438.3665771484375,600000,58.3695,71.541,4734.78,4352.48
121,121,-1469.12109375,605000,65.5225,75.4312,4548.98,5620.59
