Itration,Running Forward KL,Running Reverse KL,Reward Loss,Running Env Steps,Running Update Time,Real Sto Return,Real Det Return
0,49.9773,13.6699,379.4901428222656,0,0,284.06,271.58
1,50.6905,19.4614,268.18341064453125,5000,1,353.7,334.86
2,49.8524,16.671,334.6346130371094,10000,2,288.24,295.38
3,49.1369,15.1272,503.4437255859375,15000,3,270.59,223.06
4,49.9165,37.3127,61.84440994262695,20000,4,317.28,360.52
5,49.2712,22.8057,489.563232421875,25000,5,302.34,310.94
6,49.7445,34.6764,450.7009582519531,30000,6,347.51,324.81
7,49.6316,26.581,302.7784729003906,35000,7,259.07,216.35
8,49.9394,37.8314,20.0625057220459,40000,8,435.28,423.9
9,48.2052,16.3578,150.41944885253906,45000,9,450.94,511.11
10,48.5125,12.3623,182.45974731445312,50000,10,432.98,512.46
11,48.965,16.8909,301.6597595214844,55000,11,452.3,612.25
12,49.1862,16.8684,365.25421142578125,60000,12,460.0,451.91
13,48.3004,13.2486,396.520263671875,65000,13,403.0,360.53
14,48.5134,14.341,421.5037841796875,70000,14,494.74,507.53
15,48.2178,13.6868,401.3539733886719,75000,15,487.74,563.54
16,48.2024,13.597,392.2367248535156,80000,16,556.86,585.55
17,47.9536,13.1129,352.9695739746094,85000,17,507.22,599.64
18,47.6161,12.2681,262.24053955078125,90000,18,619.63,654.67
19,47.9853,13.5384,325.0437927246094,95000,19,609.85,578.46
20,47.7405,13.0271,270.57305908203125,100000,20,586.0,649.86
21,47.0064,12.1165,116.08323669433594,105000,21,920.73,772.22
22,47.5197,12.9063,-14.089048385620117,110000,22,835.96,1217.31
23,47.2911,14.9399,-17.37371063232422,115000,23,701.89,814.79
24,45.8606,14.9271,-32.92748260498047,120000,24,1686.24,2081.66
25,46.7886,13.8099,-50.92334747314453,125000,25,1264.2,1166.62
26,46.1536,13.1369,127.4651870727539,130000,26,1121.66,950.95
27,47.0795,15.0585,294.1472473144531,135000,27,896.8,870.33
28,46.568,14.9782,100.7578353881836,140000,28,1377.02,2130.67
29,46.8139,15.0531,54.867088317871094,145000,29,958.35,1255.83
30,47.2359,16.9515,-38.827537536621094,150000,30,793.97,869.71
31,45.7707,18.3137,-141.22116088867188,155000,31,1702.93,2564.46
32,46.3188,21.7958,-155.74436950683594,160000,32,1096.64,1468.4
33,46.5496,22.8141,-113.73779296875,165000,33,1571.44,2172.25
34,45.5523,15.3309,-112.06597137451172,170000,34,1450.88,2353.58
