Running Reverse KL,Real Sto Return,Running Update Time,Itration,Reward Loss,Running Env Steps,Real Det Return,Running Forward KL
11.2419,-198.64,0,0,20.49323844909668,0,6.36,158.3452
12.7854,17.35,1,1,-24.7103271484375,5000,-4.85,158.6437
11.74,29.27,2,2,-75.40959167480469,10000,44.77,158.236
12.4842,226.81,3,3,-107.91459655761719,15000,685.99,157.9875
13.1221,362.38,4,4,-181.21434020996094,20000,750.58,158.0727
13.2394,479.01,5,5,-230.692626953125,25000,821.55,157.7897
13.6091,571.55,6,6,-278.70062255859375,30000,980.58,157.8816
13.9754,643.92,7,7,-327.03704833984375,35000,911.14,157.8892
14.3632,691.22,8,8,-378.547119140625,40000,876.52,157.9592
14.478,760.89,9,9,-397.185791015625,45000,1124.34,157.7788
15.2966,874.58,10,10,-455.831298828125,50000,1251.6,157.6727
15.2298,985.9,11,11,-502.2287902832031,55000,1278.88,157.8189
15.9239,1084.77,12,12,-531.3577270507812,60000,1460.53,157.8912
16.4936,1172.3,13,13,-577.518798828125,65000,1551.4,157.9318
16.4402,1141.13,14,14,-613.1324462890625,70000,1585.74,157.8594
16.5326,1269.78,15,15,-653.4229125976562,75000,1679.38,157.6121
16.1423,1262.83,16,16,-695.141845703125,80000,1680.05,157.6918
16.0847,1307.03,17,17,-728.4168701171875,85000,1709.75,157.6596
16.5519,1412.37,18,18,-757.527587890625,90000,1782.15,157.6315
16.6749,1409.76,19,19,-801.8705444335938,95000,1789.71,157.6831
16.3743,1428.85,20,20,-844.6986694335938,100000,1850.96,157.7045
16.9386,1475.02,21,21,-871.8943481445312,105000,1886.4,157.7251
16.303,1472.69,22,22,-917.7852783203125,110000,1891.68,157.4173
16.4327,1497.72,23,23,-942.5096435546875,115000,1897.87,157.3574
16.2475,1504.78,24,24,-988.982421875,120000,1911.08,157.6196
16.8612,1511.13,25,25,-1028.89990234375,125000,1964.34,157.2865
16.7295,1576.79,26,26,-1069.6683349609375,130000,1851.43,157.6544
17.039,1615.64,27,27,-1111.6494140625,135000,1998.42,157.5195
16.7433,1584.09,28,28,-1142.504150390625,140000,1962.51,157.646
16.1574,1581.8,29,29,-1178.3843994140625,145000,1912.32,157.4686
16.4665,1567.67,30,30,-1218.4085693359375,150000,1877.55,157.6999
16.5558,1648.11,31,31,-1240.7283935546875,155000,1971.87,157.3659
16.5731,1581.56,32,32,-1285.2135009765625,160000,1959.9,157.4347
16.5395,1654.66,33,33,-1316.2823486328125,165000,1965.88,157.3334
16.0131,1599.29,34,34,-1359.87109375,170000,1939.83,157.4067
16.7156,1666.14,35,35,-1391.296142578125,175000,2047.22,157.419
16.4514,1630.46,36,36,-1423.151611328125,180000,1955.5,157.613
16.2968,1637.09,37,37,-1465.6416015625,185000,1982.2,157.3793
16.0909,1665.54,38,38,-1509.5198974609375,190000,1972.72,157.3918
16.136,1652.86,39,39,-1548.5992431640625,195000,2022.28,157.4834
16.3956,1644.73,40,40,-1577.9425048828125,200000,2003.09,157.2571
16.3364,1688.25,41,41,-1611.9813232421875,205000,2047.13,157.3889
15.9422,1672.58,42,42,-1666.104736328125,210000,2008.22,157.1532
16.3175,1678.11,43,43,-1677.3060302734375,215000,2077.93,156.989
16.1993,1693.49,44,44,-1721.97216796875,220000,2031.81,157.0896
16.2394,1727.57,45,45,-1764.74951171875,225000,2085.04,157.2904
16.3156,1700.17,46,46,-1814.8519287109375,230000,2078.17,157.3007
15.7478,1660.34,47,47,-1846.3668212890625,235000,2015.27,157.0636
15.6646,1678.62,48,48,-1869.510986328125,240000,2012.08,157.1397
15.933,1676.1,49,49,-1919.306640625,245000,2051.67,156.9839
15.7244,1712.08,50,50,-1953.07421875,250000,2064.52,157.0254
16.0434,1700.67,51,51,-1984.9522705078125,255000,2007.94,157.2183
15.9868,1701.95,52,52,-2028.5811767578125,260000,2072.78,157.16
15.7603,1708.12,53,53,-2054.79443359375,265000,2025.45,156.9681
15.7933,1707.38,54,54,-2100.36767578125,270000,2030.21,157.0195
15.8414,1714.27,55,55,-2156.08642578125,275000,2073.64,156.9977
15.9373,1729.91,56,56,-2184.758544921875,280000,2054.85,157.2489
15.6996,1726.12,57,57,-2215.750732421875,285000,2086.7,156.9939
15.9275,1750.34,58,58,-2256.59033203125,290000,2091.45,156.9262
16.4005,1774.54,59,59,-2310.836181640625,295000,2132.9,156.9597
15.716,1758.56,60,60,-2307.215087890625,300000,2072.91,156.6562
15.7075,1752.82,61,61,-2363.696533203125,305000,2130.03,156.8499
16.2987,1743.6,62,62,-2423.9912109375,310000,2105.25,157.152
15.8378,1747.47,63,63,-2457.7802734375,315000,2070.99,157.1144
15.608,1728.67,64,64,-2468.092041015625,320000,2079.42,156.7857
15.8642,1755.69,65,65,-2533.32958984375,325000,2083.76,156.9951
16.1871,1756.82,66,66,-2569.68310546875,330000,2091.46,157.0142
15.8438,1758.5,67,67,-2609.392578125,335000,2071.46,156.9492
15.834,1763.42,68,68,-2637.564208984375,340000,2127.48,157.0477
15.727,1743.12,69,69,-2682.2197265625,345000,2085.66,157.1715
15.7208,1781.72,70,70,-2704.95068359375,350000,2132.15,156.9212
15.4223,1758.12,71,71,-2747.144287109375,355000,2112.02,156.8683
15.8677,1784.07,72,72,-2801.9287109375,360000,2158.33,156.8015
15.1995,1745.58,73,73,-2831.390625,365000,2092.24,156.7262
15.8129,1773.53,74,74,-2884.4521484375,370000,2106.86,157.0311
15.6429,1765.44,75,75,-2920.179931640625,375000,2123.25,156.7753
15.6138,1745.81,76,76,-2951.630615234375,380000,2131.11,156.8538
16.0976,1808.89,77,77,-3015.489013671875,385000,2186.22,156.9673
15.4509,1767.42,78,78,-3026.235595703125,390000,2123.4,156.8128
15.3993,1740.4,79,79,-3073.10546875,395000,2084.82,156.7315
15.2873,1777.68,80,80,-3115.588623046875,400000,2088.24,156.7534
15.7288,1807.12,81,81,-3189.77783203125,405000,2117.69,156.8064
15.4088,1776.61,82,82,-3158.503173828125,410000,2095.06,156.8109
15.9215,1776.97,83,83,-3227.498291015625,415000,2136.2,156.7261
15.331,1743.88,84,84,-3258.316650390625,420000,2086.27,156.7697
15.9421,1827.77,85,85,-3302.231689453125,425000,2157.93,156.894
15.6751,1804.34,86,86,-3346.1298828125,430000,2160.7,156.7682
15.492,1778.44,87,87,-3362.074462890625,435000,2129.01,156.7802
15.3507,1782.7,88,88,-3421.1728515625,440000,2091.37,156.8508
15.9682,1834.54,89,89,-3491.162841796875,445000,2199.31,156.6473
15.4214,1730.62,90,90,-3528.9345703125,450000,2083.78,156.7666
15.6025,1769.33,91,91,-3560.486572265625,455000,2119.56,156.7206
15.555,1746.4,92,92,-3589.5,460000,2077.02,156.8755
15.5428,1740.25,93,93,-3628.229248046875,465000,2126.7,156.7007
15.992,1761.87,94,94,-3734.446044921875,470000,2094.05,156.8818
15.4659,1745.51,95,95,-3743.9580078125,475000,2086.03,156.7644
16.5539,1566.16,96,96,-3909.368408203125,480000,1744.73,157.0152
16.2339,1590.2,97,97,-3871.37451171875,485000,1843.73,156.8533
16.1013,1664.66,98,98,-3929.595947265625,490000,1865.61,156.8231
16.3514,1657.65,99,99,-3916.474365234375,495000,2024.32,157.0129
16.2592,1671.05,100,100,-3967.32275390625,500000,2000.62,156.9216
16.1432,1661.66,101,101,-4005.6201171875,505000,2048.51,156.8127
17.1122,1573.63,102,102,-4187.7841796875,510000,1908.26,157.0869
16.8902,1611.79,103,103,-4157.96826171875,515000,2026.89,157.2274
17.0186,1512.56,104,104,-4329.03857421875,520000,1799.1,157.395
17.0688,1529.85,105,105,-4282.0439453125,525000,1722.3,157.1627
15.5826,1453.02,106,106,-4162.64404296875,530000,1808.38,156.9154
16.1947,-21.23,107,107,-4175.6142578125,535000,96.17,158.9885
26.6624,-224.9,108,108,-4415.00830078125,540000,-356.3,160.0866
18.3629,52.92,109,109,-4325.205078125,545000,98.64,160.2316
19.3294,-120.35,110,110,-4464.5400390625,550000,-92.74,160.3345
14.7209,-174.22,111,111,-4485.11328125,555000,-498.4,159.1118
14.6692,159.56,112,112,-4472.51123046875,560000,232.73,158.838
13.6026,428.96,113,113,-4422.96826171875,565000,190.82,157.648
14.0352,418.36,114,114,-4410.9189453125,570000,456.04,158.119
16.472,216.69,115,115,-4710.21533203125,575000,-308.26,158.7535
13.8536,402.16,116,116,-4712.65966796875,580000,106.77,157.2408
13.4454,404.03,117,117,-4526.107421875,585000,-149.07,157.3629
14.2187,906.92,118,118,-4786.14794921875,590000,1002.39,156.9007
15.881,365.02,119,119,-4880.3125,595000,140.29,158.5335
13.1407,792.55,120,120,-4841.3798828125,600000,648.27,156.9674
13.6479,229.12,121,121,-4821.93603515625,605000,22.6,158.5651
15.5861,28.76,122,122,-4995.71142578125,610000,-53.45,159.1876
15.3492,-251.6,123,123,-5125.541015625,615000,-282.06,159.1842
15.9784,211.81,124,124,-5019.1865234375,620000,-153.92,158.9079
