Real Det Return,Real Sto Return,Running Env Steps,Reward Loss,Itration,Running Update Time,Running Reverse KL,Running Forward KL
207.32,210.16,0,509.310302734375,0,0,17.6292,32.5876
294.31,274.32,5000,245.4932098388672,1,1,42.8899,31.1222
303.91,277.76,10000,267.9208068847656,2,2,26.3978,30.7089
323.68,307.55,15000,208.0701446533203,3,3,25.7984,30.755
341.74,339.89,20000,155.77821350097656,4,4,25.257,30.5213
297.09,334.12,25000,136.72703552246094,5,5,24.3189,30.4637
474.6,447.19,30000,110.36615753173828,6,6,21.4667,29.695
212.75,312.94,35000,-16.99004554748535,7,7,24.3448,27.7111
674.6,619.7,40000,-76.49696350097656,8,8,25.0141,25.856
708.39,719.43,45000,-140.5327606201172,9,9,31.9129,26.0559
308.19,781.09,50000,-135.69515991210938,10,10,29.0727,24.6252
683.35,730.43,55000,-152.29135131835938,11,11,22.1359,26.4358
862.2,781.64,60000,-97.29325103759766,12,12,26.0478,24.6541
1294.08,1096.03,65000,99.15436553955078,13,13,39.4124,24.6448
1708.99,1525.4,70000,-38.25283432006836,14,14,27.4889,24.3717
1239.72,1317.39,75000,8.421675682067871,15,15,28.1605,24.5574
1197.12,1161.62,80000,-46.12828063964844,16,16,34.9748,22.9523
1119.65,1159.61,85000,-42.97248458862305,17,17,39.7211,24.0486
1733.18,1421.92,90000,-100.02642822265625,18,18,34.783,23.8207
1649.39,1537.69,95000,-72.5505142211914,19,19,34.5013,23.4313
3243.87,2534.45,100000,-122.26679229736328,20,20,21.7812,23.0064
1826.27,2190.77,105000,-267.34906005859375,21,21,22.0095,22.1746
2398.0,2437.03,110000,-146.32101440429688,22,22,17.0382,22.8201
3329.8,3091.44,115000,-143.44715881347656,23,23,12.5428,21.4028
3199.86,2769.88,120000,-182.4916229248047,24,24,10.6993,21.2926
1489.2,1933.24,125000,-169.08016967773438,25,25,26.5629,23.2397
3359.33,3102.61,130000,-219.6752471923828,26,26,10.3252,20.0609
1407.97,2067.18,135000,-427.04290771484375,27,27,26.3756,21.3738
1233.87,1683.9,140000,-487.30267333984375,28,28,39.1268,22.2146
2704.12,2465.42,145000,-381.50799560546875,29,29,19.6524,19.8084
3163.19,2470.52,150000,-272.5163879394531,30,30,19.4747,19.2578
1522.48,2038.09,155000,-406.8964538574219,31,31,19.3481,21.7562
2593.45,2016.04,160000,-586.1932373046875,32,32,24.017,22.5527
3362.53,2767.73,165000,-382.9906311035156,33,33,29.014,21.9167
3181.27,2705.6,170000,-368.7054443359375,34,34,14.3626,19.6615
3129.41,2787.12,175000,-343.4294738769531,35,35,12.5388,19.3432
1365.04,2278.69,180000,-549.8070678710938,36,36,14.5393,19.6291
3390.13,3023.61,185000,-288.96929931640625,37,37,10.6946,20.2298
1731.68,2914.89,190000,-365.6887512207031,38,38,17.276,18.6804
3297.22,2792.07,195000,-518.6499633789062,39,39,17.8424,19.9413
3461.73,2976.32,200000,-430.5953674316406,40,40,13.8968,20.4169
3398.55,2921.83,205000,-394.2542724609375,41,41,16.3277,20.959
3463.04,2837.84,210000,-515.4818725585938,42,42,15.66,20.7393
3403.46,2923.62,215000,-348.93255615234375,43,43,10.5166,20.1745
3400.41,3324.17,220000,-330.2408142089844,44,44,11.1572,19.5281
3304.04,3190.53,225000,-453.23681640625,45,45,10.6688,19.3818
3105.55,1885.67,230000,-814.5313110351562,46,46,27.5057,19.2109
3369.19,3335.57,235000,-420.2092590332031,47,47,11.3265,20.2488
3352.75,3355.06,240000,-476.4283142089844,48,48,11.147,20.33
3364.87,3083.12,245000,-582.092529296875,49,49,17.1219,18.7325
3454.94,3292.28,250000,-513.9892578125,50,50,13.0389,20.2609
3439.11,3320.09,255000,-422.9943542480469,51,51,11.4509,20.0637
3400.78,3298.12,260000,-504.23614501953125,52,52,10.6196,18.0719
3240.19,3262.14,265000,-504.7459411621094,53,53,16.4987,17.9707
3451.42,3371.8,270000,-536.1004028320312,54,54,13.0442,19.0954
3385.27,3348.04,275000,-453.0462951660156,55,55,8.713,17.4912
3409.36,3388.79,280000,-423.7391357421875,56,56,10.589,18.2846
3487.82,3451.71,285000,-542.022216796875,57,57,13.4069,18.9393
3434.95,3420.93,290000,-517.4136962890625,58,58,9.6137,17.848
3485.99,3343.52,295000,-507.501220703125,59,59,10.2956,17.7769
3453.74,3414.69,300000,-515.3700561523438,60,60,9.5224,17.8733
3411.25,3293.07,305000,-511.3951110839844,61,61,9.0915,17.4775
3475.93,3441.53,310000,-531.6275634765625,62,62,9.7214,17.6584
3441.07,3347.68,315000,-441.55517578125,63,63,9.4874,17.3472
3473.17,3340.06,320000,-498.99481201171875,64,64,10.1598,17.701
3500.36,3478.69,325000,-484.670166015625,65,65,11.3516,18.1962
3506.49,3469.84,330000,-587.242919921875,66,66,10.7229,18.6547
3489.33,2955.77,335000,-528.3377075195312,67,67,8.5501,17.0563
3406.5,3162.23,340000,-721.5157470703125,68,68,10.4779,16.8507
3503.69,3500.6,345000,-465.26873779296875,69,69,8.8876,16.6362
3475.52,3352.21,350000,-611.2049560546875,70,70,16.908,17.0451
3498.83,3488.05,355000,-503.9137268066406,71,71,9.6149,16.7623
3522.29,3505.82,360000,-631.9660034179688,72,72,10.2564,17.7379
3507.38,3467.54,365000,-635.6024169921875,73,73,10.1263,18.0927
3441.23,3227.82,370000,-519.21826171875,74,74,9.6016,16.7775
3552.13,3532.01,375000,-658.1455688476562,75,75,11.6664,18.9562
3524.3,3494.84,380000,-623.4703979492188,76,76,10.079,17.2579
3519.16,3177.89,385000,-588.6280517578125,77,77,9.1087,16.1111
3549.75,3518.6,390000,-589.1566162109375,78,78,9.2955,16.6563
3532.62,3515.34,395000,-605.9583740234375,79,79,10.4941,17.4691
3534.67,3511.55,400000,-557.2316284179688,80,80,8.6482,15.9945
3569.83,3542.15,405000,-577.546142578125,81,81,9.7747,17.1848
3527.09,3503.53,410000,-624.4185791015625,82,82,8.8878,16.384
3445.81,3457.45,415000,-577.9818725585938,83,83,8.4164,15.7666
3560.21,3283.02,420000,-674.9528198242188,84,84,8.9186,16.9051
3460.04,3511.38,425000,-678.3751220703125,85,85,12.0181,16.2713
3562.06,3449.31,430000,-732.3739624023438,86,86,10.12,17.6579
3502.42,3328.13,435000,-732.0541381835938,87,87,9.2097,17.0478
3481.17,3510.87,440000,-610.0802001953125,88,88,8.9108,16.1802
3536.96,3511.78,445000,-716.7944946289062,89,89,9.0106,16.5429
3526.73,3520.87,450000,-668.74755859375,90,90,10.3311,17.0529
3535.55,3370.6,455000,-786.4827270507812,91,91,8.6131,16.3915
3512.72,3166.69,460000,-734.5855102539062,92,92,8.5198,16.368
3508.24,3521.74,465000,-774.7953491210938,93,93,10.8498,16.45
3581.47,3569.31,470000,-771.5292358398438,94,94,12.3252,19.4083
3520.05,3528.1,475000,-894.8028564453125,95,95,13.5306,17.3902
3563.7,3380.26,480000,-773.5343017578125,96,96,8.9466,17.0067
3564.91,3232.11,485000,-844.1329345703125,97,97,8.8912,17.5746
