Itration,Real Sto Return,Reward Loss,Running Forward KL,Running Update Time,Running Env Steps,Running Reverse KL,Real Det Return
0,-60.32,13.989992141723633,74.5719,0,0,26.7898,156.15
1,-71.19,-11.853792190551758,74.4117,1,5000,25.7924,304.45
2,-19.85,-13.790510177612305,73.5948,2,10000,27.3963,303.83
3,-38.68,-34.42398452758789,75.1319,3,15000,27.0176,506.51
4,-15.28,-51.50859069824219,73.6368,4,20000,28.8824,493.51
5,22.25,-69.66130828857422,73.3646,5,25000,29.6268,470.68
6,39.6,-78.12904357910156,74.0208,6,30000,29.3316,446.05
7,75.54,-97.37420654296875,75.0218,7,35000,30.8937,677.82
8,113.12,-110.68009948730469,75.5015,8,40000,32.0,624.56
9,158.42,-117.38141632080078,74.2302,9,45000,32.3404,618.27
10,104.2,-139.3068389892578,74.7399,10,50000,32.5493,584.3
11,111.29,-152.6651153564453,74.5353,11,55000,32.5895,484.95
12,113.83,-162.26451110839844,75.0517,12,60000,31.7789,779.61
13,179.52,-174.9608154296875,74.8836,13,65000,31.9707,586.71
14,229.36,-191.4488983154297,76.0018,14,70000,32.8587,842.06
15,104.94,-196.74757385253906,73.9361,15,75000,31.813,807.85
16,180.8,-207.11642456054688,75.2572,16,80000,32.2505,441.37
17,166.17,-226.3746337890625,73.4276,17,85000,31.9825,641.41
18,213.91,-238.26283264160156,74.3544,18,90000,33.5515,833.46
19,212.18,-245.17771911621094,72.7525,19,95000,32.0531,945.96
20,256.91,-269.0442810058594,74.6479,20,100000,33.5953,823.14
21,182.66,-276.08270263671875,74.8842,21,105000,32.021,860.93
22,205.9,-288.3635559082031,73.9243,22,110000,32.1742,957.45
23,215.67,-300.155517578125,72.1286,23,115000,32.9652,695.35
24,153.64,-322.2046203613281,75.382,24,120000,31.9482,529.73
25,146.27,-325.9010314941406,73.6208,25,125000,31.327,583.49
26,41.75,-338.234375,75.133,26,130000,31.9363,374.79
27,-117.68,-361.2106628417969,77.4629,27,135000,39.125,-715.11
28,-2581.95,-417.1613464355469,125.8091,28,140000,389.6629,-2753.96
29,-2082.57,-418.3033142089844,91.0029,29,145000,134.0818,-2291.21
30,-1766.4,-407.8222351074219,85.2446,30,150000,114.6865,-2206.08
31,-542.43,-333.749755859375,78.6878,31,155000,34.6014,-681.44
32,-1085.6,-432.2165222167969,87.7875,32,160000,313.0141,-1506.89
33,-272.2,-455.01922607421875,82.4466,33,165000,82.6754,-410.89
34,-570.97,-489.1514892578125,83.6606,34,170000,94.4932,-725.48
35,-1168.2,-515.5778198242188,86.6893,35,175000,114.1797,-1032.72
36,-339.79,-536.696533203125,82.2664,36,180000,70.7466,-565.74
37,-261.94,-532.0889892578125,81.8916,37,185000,131.5732,-392.3
38,-140.49,-528.8866577148438,79.6959,38,190000,44.4604,-761.64
39,-250.01,-544.5087280273438,77.9563,39,195000,44.0693,-409.39
40,-274.57,-569.50244140625,79.6268,40,200000,50.8626,-743.56
41,-638.7,-562.731201171875,76.3967,41,205000,74.8161,-1070.04
42,-178.22,-592.0940551757812,76.865,42,210000,41.5131,173.96
43,-238.2,-621.9495239257812,78.0512,43,215000,81.2935,-331.5
44,-175.49,-593.7843017578125,75.9376,44,220000,38.2878,-245.26
45,-261.71,-615.453125,76.3326,45,225000,41.998,156.13
46,-109.43,-639.0267944335938,77.0718,46,230000,42.6588,-36.24
47,-3.38,-632.9788208007812,74.7891,47,235000,34.035,-19.96
48,24.14,-655.1160888671875,77.2737,48,240000,38.4011,408.75
49,10.05,-654.9556274414062,74.7415,49,245000,31.0111,362.19
50,-22.21,-685.5501098632812,75.366,50,250000,35.8424,-197.37
51,27.85,-698.7277221679688,77.3035,51,255000,37.2518,134.75
52,48.22,-710.3396606445312,75.553,52,260000,30.7784,280.9
53,119.28,-711.9509887695312,74.0791,53,265000,30.1356,721.41
54,62.72,-740.027099609375,74.9427,54,270000,31.086,704.36
55,127.29,-760.1859741210938,75.6634,55,275000,33.1678,836.9
56,236.95,-779.290771484375,75.3565,56,280000,33.7869,594.64
57,154.62,-738.6541748046875,72.0885,57,285000,34.6672,181.84
58,106.39,-789.9508666992188,74.9553,58,290000,35.2792,25.1
59,-20.52,-839.0933227539062,77.4473,59,295000,35.9106,-177.18
60,36.88,-845.7257690429688,75.3593,60,300000,31.0756,208.83
61,17.72,-845.8960571289062,75.7665,61,305000,30.0106,191.46
62,100.62,-863.6450805664062,75.8127,62,310000,30.25,294.3
63,257.87,-896.3785400390625,75.5979,63,315000,33.2533,589.82
64,195.8,-915.034912109375,75.0913,64,320000,33.7152,438.83
65,158.76,-936.0128784179688,75.3424,65,325000,33.3127,484.23
66,98.27,-934.4889526367188,74.7084,66,330000,33.243,-418.38
67,198.9,-963.0723876953125,75.256,67,335000,31.8678,386.39
68,175.2,-995.131591796875,75.9995,68,340000,33.606,548.79
69,332.57,-1007.700439453125,74.56,69,345000,33.7829,849.69
70,119.8,-1032.3560791015625,74.7734,70,350000,34.8545,271.71
71,117.58,-1051.1107177734375,75.8513,71,355000,31.938,90.96
72,111.72,-1051.3255615234375,73.9255,72,360000,34.1171,388.99
73,100.48,-1093.884033203125,75.3108,73,365000,34.3345,352.16
74,342.28,-1105.516845703125,74.3923,74,370000,34.4907,490.81
75,119.37,-1128.2017822265625,74.5376,75,375000,32.8258,386.68
76,165.57,-1143.978271484375,74.8783,76,380000,34.1645,440.97
77,377.46,-1168.35009765625,75.2478,77,385000,33.8327,671.07
78,384.56,-1178.689697265625,73.9822,78,390000,34.4678,935.09
79,248.73,-1202.83251953125,74.0798,79,395000,33.1337,883.37
80,108.92,-1199.3035888671875,75.4866,80,400000,35.4251,267.8
81,112.76,-1241.5731201171875,75.1105,81,405000,32.6012,328.29
82,169.93,-1282.7403564453125,75.1053,82,410000,33.2349,518.31
83,241.81,-1303.6092529296875,74.6907,83,415000,33.252,898.0
84,-7.65,-1300.355224609375,75.7475,84,420000,34.3006,18.82
85,203.94,-1322.4239501953125,75.1688,85,425000,33.8586,228.57
86,337.18,-1374.0308837890625,74.5901,86,430000,34.5856,396.31
87,399.69,-1396.989990234375,75.6462,87,435000,33.9093,719.63
88,192.86,-1426.7288818359375,76.3934,88,440000,33.7068,305.35
89,81.68,-1409.5777587890625,74.614,89,445000,30.9133,472.93
90,319.3,-1478.986083984375,75.5942,90,450000,34.0666,511.81
91,304.59,-1480.6881103515625,74.6677,91,455000,33.4261,734.8
92,212.96,-1477.3919677734375,74.7239,92,460000,31.5102,496.68
93,357.49,-1551.2353515625,75.4056,93,465000,34.6707,601.22
94,325.53,-1546.8673095703125,74.3234,94,470000,33.4775,823.61
95,92.02,-1596.3277587890625,76.9718,95,475000,33.7068,-472.55
96,68.42,-1587.6800537109375,76.8798,96,480000,31.9095,266.51
97,136.68,-1618.731201171875,74.4016,97,485000,30.1598,462.01
98,225.14,-1656.7216796875,74.9599,98,490000,31.9904,560.05
99,356.47,-1704.1378173828125,75.0602,99,495000,35.2066,713.11
100,295.75,-1729.3856201171875,74.9109,100,500000,34.0612,663.7
101,392.63,-1732.6614990234375,74.4442,101,505000,34.2922,792.51
102,382.49,-1759.423583984375,73.6915,102,510000,35.6082,647.98
103,412.86,-1798.9505615234375,73.8165,103,515000,34.3504,749.0
104,405.66,-1821.5693359375,74.2337,104,520000,36.3715,993.69
105,343.15,-1821.6773681640625,73.3243,105,525000,32.1308,819.57
106,-240.19,-1830.6190185546875,75.6449,106,530000,38.6083,-1218.52
107,116.02,-1897.5465087890625,75.9209,107,535000,31.2197,478.96
108,186.95,-1944.9122314453125,74.579,108,540000,32.2582,450.16
109,235.69,-1957.5030517578125,73.3488,109,545000,32.399,591.64
110,313.06,-2009.5552978515625,73.6712,110,550000,35.1854,820.7
111,343.5,-2018.4600830078125,74.1468,111,555000,32.3479,823.4
112,275.03,-2038.1741943359375,73.8086,112,560000,32.7188,751.18
113,-328.29,-2063.561767578125,81.1119,113,565000,78.8246,-1138.12
114,215.94,-2125.744873046875,75.8727,114,570000,33.9264,698.63
115,313.17,-2179.0771484375,74.5209,115,575000,35.3075,816.27
116,335.59,-2203.840576171875,73.3095,116,580000,34.4774,818.76
