Real Sto Return,Reward Loss,Running Forward KL,Running Update Time,Running Env Steps,Itration,Running Reverse KL,Real Det Return
184.82,-1276.911376953125,33.3844,0,0,0,28.6786,185.26
206.91,-1605.166259765625,32.906,1,5000,1,28.6206,218.0
223.76,-1422.006591796875,30.7474,2,10000,2,23.115,230.68
328.65,-1314.7374267578125,28.7014,3,15000,3,18.2327,316.4
542.39,-994.2230224609375,25.7378,4,20000,4,13.7543,604.02
242.66,-1447.0648193359375,28.8707,5,25000,5,25.7414,224.08
351.11,-1497.837158203125,28.5577,6,30000,6,46.5392,374.6
481.58,-1523.25732421875,27.4735,7,35000,7,45.4791,468.3
754.4,-1504.8341064453125,28.1506,8,40000,8,42.3898,687.37
734.64,-1523.2181396484375,27.6193,9,45000,9,42.7921,793.17
526.43,-1501.630126953125,27.8609,10,50000,10,39.0514,371.61
820.95,-1139.7117919921875,27.1632,11,55000,11,28.8941,667.58
797.86,-1488.2850341796875,28.2245,12,60000,12,31.0713,830.98
708.25,-1522.0460205078125,28.3596,13,65000,13,30.1758,737.09
733.85,-1747.1490478515625,27.8566,14,70000,14,39.2862,771.02
459.76,-1704.01171875,27.9592,15,75000,15,33.1317,336.79
664.73,-1801.412109375,28.3645,16,80000,16,30.2795,697.87
785.22,-1240.225341796875,27.173,17,85000,17,13.158,797.6
796.82,-1254.30126953125,25.9329,18,90000,18,13.501,775.61
846.81,-1721.3082275390625,26.2044,19,95000,19,18.2579,837.25
819.75,-1693.85888671875,25.9398,20,100000,20,18.7169,841.44
835.41,-1895.1636962890625,26.4121,21,105000,21,28.3113,825.98
874.15,-1582.84326171875,25.6463,22,110000,22,12.5679,901.06
1016.39,-1460.5030517578125,24.7336,23,115000,23,13.0978,1054.28
1090.76,-1447.7979736328125,24.4208,24,120000,24,13.0125,1074.75
1227.23,-1337.7821044921875,25.7904,25,125000,25,12.4626,1042.09
1024.22,-1284.78076171875,25.2896,26,130000,26,15.5665,728.47
1435.12,-1591.011474609375,25.4126,27,135000,27,16.5371,1602.86
1119.22,-1158.843017578125,24.0797,28,140000,28,16.8716,771.95
1514.07,-1405.2755126953125,24.8953,29,145000,29,23.3288,1695.39
1752.86,-1077.3243408203125,23.8762,30,150000,30,12.5282,2253.62
1723.99,-1109.1658935546875,24.4083,31,155000,31,12.8832,1938.07
1926.33,-1294.0986328125,25.2408,32,160000,32,13.805,2293.33
1626.79,-1092.5155029296875,23.4139,33,165000,33,12.3854,1861.67
1725.83,-1212.2198486328125,24.7225,34,170000,34,13.6596,1653.72
2609.27,-1024.750244140625,24.1569,35,175000,35,14.6912,2801.72
2866.87,-815.166259765625,23.5149,36,180000,36,14.935,2968.15
2584.31,-869.9451293945312,24.5578,37,185000,37,15.7638,2941.37
1352.98,-1643.35400390625,24.6915,38,190000,38,12.7033,1972.44
2014.13,-1244.540771484375,23.8475,39,195000,39,13.1603,2861.87
2591.05,-988.1038818359375,23.3345,40,200000,40,16.1861,3094.86
2568.43,-1252.860107421875,23.7598,41,205000,41,15.5076,2891.28
2104.47,-1274.8275146484375,24.5951,42,210000,42,14.8396,2683.07
2300.32,-1039.787841796875,25.4576,43,215000,43,16.2421,2804.35
1915.55,-1572.21923828125,24.0305,44,220000,44,20.9808,2104.59
1894.47,-1715.1142578125,23.9978,45,225000,45,22.8219,2025.54
2480.97,-1082.160888671875,23.9777,46,230000,46,15.6751,3164.05
1450.32,-1805.0413818359375,24.6703,47,235000,47,19.2802,962.34
2103.55,-1907.4937744140625,24.4632,48,240000,48,22.2779,2696.22
2018.35,-1642.3594970703125,24.4192,49,245000,49,16.9067,2396.3
1997.79,-1790.292724609375,23.9242,50,250000,50,18.6359,2118.38
719.38,-944.3952026367188,25.3627,51,255000,51,18.8913,647.35
2194.78,-1505.8304443359375,23.9187,52,260000,52,21.5951,2701.22
2057.02,-1862.9434814453125,23.3498,53,265000,53,19.4305,2170.45
1535.05,-1081.270751953125,23.3515,54,270000,54,15.4953,3115.25
2743.6,-1085.1505126953125,23.1558,55,275000,55,17.0356,3130.87
2629.51,-1572.1942138671875,22.6361,56,280000,56,18.4629,3326.76
2436.4,-1437.5023193359375,23.1838,57,285000,57,17.9886,2931.13
2609.42,-1254.8319091796875,22.4307,58,290000,58,15.4119,3142.33
2804.65,-1022.6259765625,22.2026,59,295000,59,15.1288,3129.69
2881.48,-957.4027709960938,22.4327,60,300000,60,14.6709,2920.17
2383.51,-1695.9307861328125,22.6294,61,305000,61,18.6616,3272.08
2822.33,-1285.8448486328125,22.8493,62,310000,62,16.0823,3084.29
2577.03,-1632.2987060546875,22.4549,63,315000,63,16.8728,3144.25
2345.18,-1425.100341796875,23.4692,64,320000,64,16.1878,3319.39
2932.53,-1144.2574462890625,22.5534,65,325000,65,15.5248,3118.73
3107.67,-1045.0458984375,24.7464,66,330000,66,17.4056,3065.1
1977.38,-1653.559326171875,22.631,67,335000,67,17.403,2858.73
2015.33,-1860.023193359375,22.2992,68,340000,68,21.1625,2264.22
3117.36,-1163.6749267578125,25.0398,69,345000,69,16.8397,3144.84
2142.08,-1529.24072265625,22.6812,70,350000,70,18.1244,2397.46
3213.85,-1132.6192626953125,23.9005,71,355000,71,16.3989,3142.12
2739.93,-1292.5294189453125,22.6054,72,360000,72,16.7987,3039.82
3055.7,-1183.445068359375,23.0872,73,365000,73,18.7764,3168.29
2336.45,-1528.713623046875,22.8609,74,370000,74,16.668,3194.56
2743.95,-1323.66357421875,23.5833,75,375000,75,17.546,3224.42
2644.66,-1697.091552734375,22.1632,76,380000,76,17.1908,3219.35
3150.7,-1265.4930419921875,23.8396,77,385000,77,15.9989,3094.69
2653.72,-1452.2987060546875,22.4954,78,390000,78,15.0936,3195.57
2532.78,-2035.94677734375,22.891,79,395000,79,19.2256,3176.59
1774.95,-2184.406005859375,23.0838,80,400000,80,27.935,3293.49
2634.94,-1773.928466796875,23.1597,81,405000,81,16.1468,3168.88
2575.44,-1636.58544921875,22.5271,82,410000,82,15.7297,3251.68
3036.45,-1237.057861328125,25.1882,83,415000,83,18.2211,3182.93
3180.31,-1223.1348876953125,24.4334,84,420000,84,16.9713,3179.04
3000.73,-1290.1136474609375,23.5427,85,425000,85,16.4378,3144.48
3199.98,-1329.8826904296875,24.3946,86,430000,86,16.821,3105.68
