Running Forward KL,Running Reverse KL,Running Update Time,Real Det Return,Reward Loss,Real Sto Return,Itration,Running Env Steps
49.5423,11.4222,0,262.12,-85.32987213134766,253.46,0,0
49.8078,13.3288,1,369.48,-112.07887268066406,288.49,1,5000
49.7265,13.2373,2,376.0,-224.99497985839844,332.79,2,10000
49.5709,16.1369,3,363.8,-172.958251953125,338.59,3,15000
49.7109,20.0551,4,426.08,-157.88555908203125,409.88,4,20000
49.4491,14.6249,5,406.25,-214.13339233398438,412.87,5,25000
49.5227,27.0795,6,424.23,-249.81759643554688,394.36,6,30000
47.8203,12.574,7,1736.44,-179.57205200195312,536.65,7,35000
48.4383,16.5611,8,1397.85,-189.95838928222656,822.08,8,40000
47.2506,21.1518,9,1421.57,-135.07888793945312,1482.61,9,45000
48.6554,33.7541,10,1687.58,-157.54180908203125,1154.23,10,50000
45.7569,20.8036,11,2390.43,-221.7513427734375,1491.23,11,55000
47.1977,21.3318,12,1034.87,-204.69058227539062,632.3,12,60000
47.1114,23.252,13,706.71,-265.470458984375,825.19,13,65000
47.8608,29.6442,14,1118.6,-249.73675537109375,1137.41,14,70000
46.0189,13.5004,15,2174.46,-229.2161865234375,1560.76,15,75000
45.2846,16.2921,16,2301.99,-131.18214416503906,2519.37,16,80000
45.2205,13.1312,17,2402.12,-135.34730529785156,2404.18,17,85000
44.9522,13.7491,18,2711.87,-169.73818969726562,2247.38,18,90000
44.372,14.0081,19,2892.22,-139.75633239746094,2906.49,19,95000
43.8344,14.5863,20,2491.79,-187.84494018554688,2752.84,20,100000
43.8079,15.1884,21,3130.46,-201.57276916503906,2888.28,21,105000
42.8759,15.2902,22,3415.9,-161.39796447753906,3258.87,22,110000
42.6821,15.983,23,3305.2,-125.28340148925781,3448.98,23,115000
42.7411,17.7143,24,3371.52,-149.0853271484375,3305.52,24,120000
44.0889,18.6091,25,3639.59,-171.66200256347656,3317.39,25,125000
41.9078,17.6956,26,3481.42,-131.9054718017578,3411.29,26,130000
42.7379,15.4579,27,3454.18,-177.94027709960938,3290.41,27,135000
41.8772,16.7196,28,2296.98,-169.04481506347656,3633.71,28,140000
40.5125,16.7217,29,3458.45,-146.26922607421875,3817.99,29,145000
41.8249,15.6106,30,3648.21,-158.75564575195312,3334.93,30,150000
41.9741,15.3654,31,3645.11,-166.3863983154297,3710.5,31,155000
41.3833,16.1293,32,3741.69,-180.19509887695312,3774.96,32,160000
39.8816,17.2806,33,4091.01,-152.2040557861328,4086.0,33,165000
40.6292,15.426,34,3786.46,-167.88766479492188,3776.86,34,170000
41.5895,16.6677,35,3733.89,-201.9458770751953,3825.73,35,175000
41.4888,17.612,36,4002.54,-211.9771270751953,3078.2,36,180000
39.5701,15.0944,37,4049.44,-177.48599243164062,4085.69,37,185000
41.4291,15.6742,38,3735.35,-204.02931213378906,3832.89,38,190000
41.8969,17.8273,39,3969.28,-202.72723388671875,3853.11,39,195000
41.1513,15.5029,40,3969.08,-194.99234008789062,3886.33,40,200000
40.7793,17.0887,41,4158.74,-194.83731079101562,4036.74,41,205000
