Running Env Steps,Real Sto Return,Running Reverse KL,Itration,Real Det Return,Running Forward KL,Reward Loss,Running Update Time
0,233.86,15.5942,0,239.56,30.2267,58.63368606567383,0
5000,185.18,35.2373,1,152.11,29.7202,28.540103912353516,1
10000,345.07,20.196,2,336.89,29.0925,14.636367797851562,2
15000,440.73,21.2705,3,456.84,27.6644,5.496963977813721,3
20000,375.7,24.0434,4,429.07,27.9987,-12.344256401062012,4
25000,638.87,21.5106,5,651.47,26.6403,-19.319101333618164,5
30000,1010.72,16.9735,6,915.82,23.9837,-16.252822875976562,6
35000,1577.92,13.0595,7,1603.8,23.0292,-11.18356704711914,7
40000,1161.72,15.3889,8,2605.38,24.5771,-22.256803512573242,8
45000,802.04,13.998,9,848.49,24.9206,-29.658658981323242,9
50000,898.64,13.571,10,827.47,24.6023,-33.854408264160156,10
55000,1237.22,11.2043,11,2224.18,22.5697,-26.270366668701172,11
60000,1687.83,12.6138,12,1633.75,23.3254,-30.79836654663086,12
65000,1255.42,16.1132,13,1620.38,22.5737,-45.685829162597656,13
70000,981.96,17.4669,14,1128.26,23.8995,-37.702171325683594,14
75000,981.32,13.1197,15,975.6,23.3793,-25.9139461517334,15
80000,2731.11,12.0582,16,2415.18,22.2978,-47.59539794921875,16
85000,2628.32,14.6856,17,2978.62,23.4142,-53.05445861816406,17
90000,2311.73,12.1891,18,3059.81,22.4397,-49.72148895263672,18
95000,2332.78,13.6092,19,942.17,22.6514,-53.133358001708984,19
100000,2992.95,12.111,20,2933.46,22.2864,-60.34442138671875,20
105000,2304.04,14.8572,21,881.92,24.0146,-70.80818176269531,21
110000,1833.17,11.2238,22,910.97,22.9695,-63.258888244628906,22
115000,1428.25,14.7815,23,2431.28,23.2721,-78.8611831665039,23
120000,2482.47,11.4543,24,3149.63,21.4177,-67.12117767333984,24
125000,2373.36,12.0028,25,2930.64,21.6125,-70.5805892944336,25
130000,2564.36,12.7054,26,3090.12,22.6689,-80.63900756835938,26
135000,2544.69,11.3561,27,2562.9,21.3641,-77.18568420410156,27
140000,2121.96,11.7458,28,2683.66,21.623,-75.91433715820312,28
145000,1668.44,14.7103,29,1157.57,21.6624,-102.38355255126953,29
150000,2486.58,11.1444,30,3133.97,21.3478,-88.82218933105469,30
155000,2759.02,11.3681,31,2304.84,21.2232,-82.60148620605469,31
160000,2832.44,11.5568,32,2166.14,22.116,-89.67543029785156,32
165000,2246.4,12.6852,33,3074.09,22.2524,-105.96129608154297,33
170000,1847.91,12.4308,34,3132.36,22.1367,-109.825927734375,34
175000,2707.54,12.6791,35,3157.74,21.7714,-86.80130767822266,35
180000,2866.22,14.1785,36,3117.23,23.0229,-94.66761016845703,36
185000,2712.35,12.0556,37,2209.34,22.3306,-112.15924072265625,37
190000,2410.04,12.1479,38,1654.07,22.0449,-97.56510162353516,38
195000,2163.53,11.8055,39,2207.92,22.3011,-117.36643981933594,39
200000,2333.47,12.519,40,2972.44,22.4968,-115.73543548583984,40
205000,2726.64,11.8925,41,2835.52,22.3864,-117.30000305175781,41
210000,2994.21,13.8647,42,3117.07,21.9475,-120.5461196899414,42
215000,2627.51,13.087,43,1268.63,22.1387,-128.09732055664062,43
220000,2406.67,19.5177,44,2726.6,23.1234,-158.62890625,44
225000,3003.28,12.7041,45,2112.22,22.1823,-107.22528076171875,45
230000,3122.73,14.0298,46,3153.14,22.6265,-116.41876220703125,46
235000,2702.07,21.3537,47,2178.06,22.7664,-172.2175750732422,47
240000,3149.39,12.1125,48,3189.84,21.2035,-113.87105560302734,48
245000,2431.42,22.8928,49,958.71,22.4513,-193.0812530517578,49
250000,3086.27,13.9901,50,3056.43,22.461,-123.20430755615234,50
255000,2879.33,13.3439,51,3084.76,22.1034,-127.38513946533203,51
260000,2650.93,12.1415,52,3160.22,22.0143,-129.0846710205078,52
265000,2947.2,14.0077,53,3165.47,22.0288,-150.5266876220703,53
270000,3017.25,12.2083,54,3022.42,21.8954,-148.82119750976562,54
275000,2887.96,12.0266,55,3105.31,21.3841,-148.21066284179688,55
280000,3136.05,12.5182,56,3150.56,21.4857,-128.10995483398438,56
285000,3029.13,12.596,57,3175.71,21.252,-131.3421173095703,57
290000,2496.6,13.3702,58,3195.81,22.394,-136.28863525390625,58
295000,2881.47,12.4197,59,1637.07,22.2771,-157.5648193359375,59
300000,3144.06,13.8227,60,3157.13,22.2784,-142.46018981933594,60
305000,3128.78,14.3984,61,3130.06,22.4368,-142.8190460205078,61
310000,3131.04,14.111,62,3130.45,22.101,-143.07962036132812,62
315000,3136.29,13.5167,63,3124.95,21.7347,-147.79502868652344,63
320000,2942.17,13.3128,64,3146.44,21.6502,-146.38632202148438,64
325000,3105.87,12.2329,65,3045.01,21.774,-153.45655822753906,65
330000,3148.22,12.9941,66,3165.89,21.7571,-155.31002807617188,66
335000,3102.11,13.2232,67,3175.19,22.0169,-170.6232452392578,67
340000,3080.93,12.4722,68,3075.67,21.6739,-163.62551879882812,68
345000,3085.53,14.2465,69,3196.91,21.6398,-165.54066467285156,69
350000,3141.57,12.6011,70,3131.79,21.0908,-157.79754638671875,70
355000,3150.67,13.1455,71,3140.66,21.7264,-159.50306701660156,71
360000,3139.94,13.3356,72,3132.04,21.845,-162.62852478027344,72
365000,3166.78,13.4851,73,3177.01,21.7914,-163.80038452148438,73
370000,3137.61,13.1046,74,3130.51,21.624,-163.9197540283203,74
375000,3165.62,13.5915,75,3158.23,21.6403,-169.0603485107422,75
380000,3170.63,13.2803,76,3167.49,21.58,-171.07847595214844,76
385000,3155.76,12.847,77,3160.08,21.0226,-166.71803283691406,77
390000,3188.42,12.3158,78,3200.36,20.8759,-175.5680389404297,78
395000,3166.31,12.6401,79,3175.41,20.9913,-170.7550506591797,79
400000,3166.1,13.516,80,3167.72,21.9099,-164.45999145507812,80
405000,3149.93,13.9938,81,3156.27,22.277,-187.19210815429688,81
410000,3103.77,12.582,82,3087.26,21.4854,-189.0559844970703,82
415000,3163.42,13.0093,83,3161.71,21.115,-166.73988342285156,83
420000,3167.15,12.6303,84,3168.39,21.0888,-187.65504455566406,84
425000,3020.7,12.4095,85,3211.43,21.0054,-187.57241821289062,85
430000,3027.6,11.4339,86,3112.11,20.4856,-186.4955596923828,86
435000,3144.93,11.874,87,3149.73,20.9187,-176.06869506835938,87
440000,3173.61,12.3781,88,3178.55,20.8388,-192.45579528808594,88
445000,3173.37,11.6025,89,3163.2,20.3149,-191.88487243652344,89
450000,3192.37,11.4886,90,3203.16,19.6946,-172.38922119140625,90
455000,3174.57,12.204,91,3174.84,20.3377,-180.93028259277344,91
460000,3187.18,12.4422,92,3190.72,20.8172,-191.39993286132812,92
465000,3167.42,11.6076,93,3180.07,20.405,-195.41729736328125,93
470000,3171.42,12.2395,94,3171.67,20.6074,-196.47854614257812,94
475000,3154.48,11.5081,95,3221.79,20.0613,-188.82485961914062,95
480000,3182.1,13.2057,96,3168.83,20.9543,-203.96063232421875,96
485000,3185.57,12.4606,97,3223.91,20.5102,-182.75930786132812,97
490000,3170.12,12.4144,98,3178.85,20.7819,-216.17755126953125,98
495000,3195.08,12.961,99,3193.01,20.6306,-199.3010711669922,99
500000,3201.35,12.2902,100,3213.35,20.2734,-204.25192260742188,100
505000,3183.59,12.3165,101,3190.58,20.564,-214.9275665283203,101
