Real Det Return,Running Forward KL,Itration,Real Sto Return,Running Reverse KL
-52.87,158.5356,0,-210.75,11.9542
-26.21,158.473,1,-49.51,12.0112
27.51,158.0768,2,38.21,10.9657
843.67,158.0636,3,176.71,11.3855
1008.43,157.6447,4,339.41,11.6812
1542.33,157.2964,5,993.59,11.8954
1870.68,157.1185,6,1184.79,12.0885
1768.77,157.0556,7,1030.59,13.2659
2127.65,157.1295,8,1747.55,14.5336
2858.12,156.5013,9,2211.59,14.2859
3258.73,156.4875,10,2610.72,15.4507
3583.12,155.7379,11,3053.79,14.8566
3908.93,156.0377,12,3531.16,15.9289
4582.23,155.0417,13,4085.62,15.7684
5049.0,154.7422,14,4105.34,16.2204
5087.54,155.1166,15,4425.9,17.1952
5450.8,154.6284,16,4907.61,16.495
5579.38,154.0656,17,5170.86,16.2872
5952.04,153.8232,18,5028.14,15.8565
6524.63,153.2106,19,5907.81,16.5226
6687.62,152.6031,20,6204.02,16.4335
6782.53,151.8993,21,6451.41,17.2438
6963.05,151.9944,22,6036.54,16.5375
7558.5,150.9151,23,6833.37,17.3001
7776.7,150.9858,24,6624.73,17.7755
7849.72,150.3187,25,7369.77,17.6105
7998.08,150.3016,26,7430.47,17.8613
7940.02,150.4542,27,7558.53,17.4825
7848.93,150.8281,28,7477.73,17.4068
8404.07,149.5751,29,8002.01,18.1286
8679.06,148.8238,30,7511.7,17.6933
8125.72,148.8766,31,8274.18,18.4262
8740.83,149.1709,32,8249.35,17.384
8642.39,149.4339,33,7928.89,18.6186
9180.05,148.4135,34,8413.45,19.0207
8982.61,148.8575,35,8501.83,18.6307
9432.09,147.8276,36,8862.65,18.2228
9265.92,148.3301,37,8851.75,18.7989
8923.8,148.5896,38,8768.29,18.4811
8933.61,148.6916,39,8654.75,18.6296
8457.05,148.3765,40,6787.74,15.6903
9578.32,147.9678,41,8501.37,18.3991
8847.6,147.8762,42,8630.15,17.7311
9465.26,146.5871,43,9490.51,18.0388
9933.54,147.042,44,8939.87,16.9818
8792.03,147.3767,45,8643.37,18.8893
9731.96,147.3602,46,8998.49,19.0555
9752.53,146.2846,47,9406.32,17.9529
9864.57,147.77,48,9314.95,18.647
9662.97,148.0535,49,9318.92,18.9382
10053.04,146.4853,50,9596.97,16.612
9891.06,147.5455,51,8831.47,18.6544
10152.37,146.1209,52,9283.45,18.4541
9519.44,147.6234,53,9317.54,19.2047
9681.96,146.9761,54,9500.98,18.9373
10019.52,146.9705,55,9611.74,18.4315
10239.63,145.5535,56,9745.96,18.6765
10158.53,146.7509,57,9728.67,18.7971
10008.83,146.4267,58,9488.57,18.7919
10201.67,145.9865,59,9634.5,18.5669
10106.67,146.2905,60,9754.0,18.8929
10332.49,145.9926,61,9761.13,18.2792
10326.2,145.7321,62,9964.62,19.2866
9507.87,146.6185,63,9294.74,19.2192
10389.08,145.4917,64,10028.32,18.8512
10503.94,145.7199,65,9689.39,18.8719
10696.65,146.2323,66,10110.58,18.657
10483.43,146.3466,67,9207.02,16.4979
10543.48,144.9156,68,9869.48,18.3322
10439.14,145.1753,69,10108.26,18.4628
10596.68,143.6192,70,9355.02,17.5853
10740.47,143.568,71,10308.24,18.5417
10488.94,145.3331,72,9635.52,17.4712
10635.45,145.2445,73,9828.43,17.8257
9972.07,144.9297,74,8206.27,15.9284
10425.03,145.6806,75,10088.28,18.675
10649.96,144.3864,76,10255.33,18.7172
10826.19,144.8262,77,10328.93,18.7092
10152.82,144.4603,78,9201.17,17.0675
10860.89,143.7924,79,10365.38,18.2121
10853.55,144.0493,80,9435.83,17.2269
10485.52,144.1244,81,10170.57,18.8771
10579.04,144.0322,82,9975.96,16.5277
10235.0,143.8706,83,9769.02,16.5929
10854.2,144.1429,84,10241.21,17.5842
9244.88,143.832,85,9251.16,15.2691
9990.88,144.2075,86,9287.8,16.388
10951.82,144.6587,87,9807.55,17.5989
10863.34,144.2384,88,9600.37,17.7834
10544.08,144.2841,89,10241.67,18.5827
10387.76,143.6319,90,10247.16,17.8217
11043.7,144.2601,91,10567.44,16.9531
10884.88,143.4175,92,9678.4,17.7947
10704.21,144.1401,93,10433.87,17.4067
10639.1,143.4759,94,9667.48,16.6165
10710.26,144.064,95,10337.04,19.0879
10010.67,144.3798,96,9264.32,16.6831
11185.63,143.8784,97,10543.5,18.1466
10685.85,144.591,98,10360.77,18.1924
11129.5,143.4502,99,10727.8,18.0419
11021.3,143.5368,100,10595.97,18.5307
10766.19,144.4195,101,10600.98,19.0779
11061.85,144.1964,102,10494.82,15.8881
10803.94,144.6947,103,10429.26,18.7333
11213.77,143.0402,104,10660.05,18.1584
10946.02,143.6445,105,10607.69,18.5399
10997.56,143.2462,106,10728.52,17.9556
10967.78,144.2233,107,10380.0,18.8847
10989.32,143.2847,108,9953.13,17.8275
11222.58,143.4695,109,10794.99,17.3541
11106.2,142.9875,110,10653.32,17.6596
11380.46,143.1459,111,10954.59,17.3063
11102.8,143.7017,112,10657.9,18.3418
11069.03,143.8816,113,10631.52,17.9256
11010.56,143.5575,114,10545.64,18.5494
10626.53,143.9424,115,10374.6,16.6812
10386.07,143.2265,116,10628.43,16.8668
11079.61,143.7571,117,10595.91,17.4679
11235.29,144.0189,118,10810.68,17.6687
10295.45,144.6791,119,9661.22,14.6825
11166.2,142.9751,120,10609.18,18.044
11163.36,142.5825,121,10755.55,17.5096
10957.61,142.5216,122,9305.65,18.6013
11148.68,143.344,123,10824.29,18.728
11306.87,142.9585,124,10860.07,18.6741
11378.04,143.8125,125,10887.58,18.0317
10882.75,142.7608,126,9459.58,17.4104
11425.45,143.3931,127,10991.94,18.3786
11195.3,142.1992,128,10444.17,17.738
10990.35,143.398,129,10321.65,17.7232
11334.51,142.967,130,9656.68,17.6284
11091.81,143.0642,131,10801.92,18.9968
11428.97,142.812,132,10901.23,18.0416
11474.17,142.916,133,11019.85,18.4315
11381.68,142.602,134,11190.06,18.6057
11308.1,142.7709,135,10505.12,18.8585
