Itration,Running Env Steps,Running Forward KL,Running Update Time,Real Det Return,Reward Loss,Real Sto Return,Running Reverse KL
0,0,441.7571,0,284.28,106.51493072509766,326.49,268.7977
1,5000,453.5153,1,321.44,236.4149169921875,321.01,341.8645
2,10000,439.622,2,292.69,-432.6620178222656,323.65,329.8556
3,15000,427.2118,3,362.39,-727.914794921875,374.39,267.6903
4,20000,408.202,4,410.46,-727.6339721679688,407.94,268.4871
5,25000,414.0546,5,379.54,-745.4819946289062,389.3,296.6263
6,30000,407.3918,6,361.7,-1245.3470458984375,446.05,268.7824
7,35000,418.8718,7,557.93,-1336.5350341796875,485.18,277.201
8,40000,420.2637,8,399.9,-1853.179931640625,384.33,275.6303
9,45000,417.4054,9,570.24,-1616.9986572265625,437.0,269.3332
10,50000,393.1883,10,439.39,-2012.948486328125,455.94,259.5353
11,55000,409.1301,11,565.05,-2044.9609375,478.5,259.5799
12,60000,418.1758,12,541.47,-2050.244384765625,474.88,282.3003
13,65000,408.3767,13,571.13,-2743.87548828125,474.84,284.1499
14,70000,391.993,14,472.89,-2456.474853515625,446.13,262.7108
15,75000,403.9806,15,438.81,-2918.999755859375,493.56,269.354
16,80000,397.4451,16,557.03,-2617.358642578125,519.46,279.4856
17,85000,413.0156,17,587.55,-2526.18798828125,512.58,278.4709
18,90000,417.995,18,626.79,-3571.277099609375,479.13,290.2929
19,95000,405.2146,19,677.13,-2748.910888671875,542.22,292.7975
20,100000,424.0814,20,475.33,-3378.183837890625,492.02,276.5233
21,105000,423.0414,21,550.34,-3022.30126953125,528.09,290.7605
22,110000,397.7707,22,557.9,-3146.48291015625,495.27,277.5983
23,115000,406.5482,23,481.66,-3411.918212890625,471.66,267.3837
24,120000,414.3157,24,447.47,-3596.833740234375,528.25,261.2108
25,125000,398.1922,25,519.67,-4063.435546875,482.68,243.0816
26,130000,407.9973,26,438.32,-3847.670654296875,471.97,291.2438
27,135000,405.6235,27,554.16,-4268.2685546875,570.97,252.0788
28,140000,413.2647,28,542.4,-4267.6875,571.91,257.3262
29,145000,407.1313,29,495.79,-4334.6806640625,551.18,249.1929
30,150000,399.6872,30,600.09,-4276.90380859375,612.35,242.9183
31,155000,407.3936,31,504.78,-5179.61328125,623.29,263.7036
32,160000,394.9762,32,582.95,-4752.78369140625,563.65,257.0194
33,165000,399.8994,33,660.33,-4590.08203125,645.13,279.8368
34,170000,388.336,34,533.44,-4958.41552734375,656.26,250.8806
35,175000,400.2774,35,704.78,-4915.0390625,630.94,240.3862
36,180000,382.743,36,780.38,-5370.55859375,591.99,254.1882
37,185000,395.0352,37,538.54,-5187.84423828125,638.6,243.5306
38,190000,399.1447,38,695.52,-5518.42724609375,622.89,244.2189
39,195000,384.567,39,695.74,-5151.33984375,638.73,245.7929
40,200000,394.2593,40,689.84,-5236.12158203125,656.89,240.0382
41,205000,383.3702,41,708.95,-5415.25830078125,736.79,241.1654
42,210000,393.9705,42,650.05,-5793.3291015625,724.93,248.1738
43,215000,387.7559,43,600.14,-5770.3203125,638.26,280.1388
44,220000,405.7118,44,723.86,-5967.79443359375,659.13,277.3155
45,225000,386.4902,45,661.57,-5647.89794921875,758.5,266.047
46,230000,374.2386,46,643.22,-6019.00048828125,740.44,271.9101
47,235000,395.6793,47,691.41,-6364.30029296875,759.73,270.5081
48,240000,393.8396,48,691.95,-6164.64013671875,784.29,264.2606
49,245000,387.7768,49,566.67,-6491.43505859375,734.0,287.0617
50,250000,378.798,50,646.45,-6936.734375,723.51,284.0155
51,255000,392.3675,51,602.62,-6675.123046875,725.48,281.3569
52,260000,384.3985,52,563.01,-7634.61474609375,805.6,319.6526
53,265000,383.2618,53,614.91,-7536.310546875,813.8,292.7476
54,270000,399.9895,54,786.77,-7700.0068359375,731.3,279.0322
55,275000,381.149,55,636.01,-6707.98681640625,665.49,256.7508
56,280000,388.858,56,771.95,-7866.76171875,770.8,253.9282
57,285000,384.7054,57,464.83,-6490.69873046875,716.53,251.3658
58,290000,391.6762,58,759.25,-7721.12841796875,784.77,273.8063
59,295000,380.7342,59,651.96,-7997.05615234375,860.99,271.6888
60,300000,384.565,60,640.45,-7985.48876953125,919.38,265.1738
61,305000,372.2384,61,673.03,-8477.7578125,799.6,303.6083
