Real Sto Return,Running Update Time,Running Forward KL,Itration,Running Env Steps,Running Reverse KL,Reward Loss,Real Det Return
338.0,0,49.32,0,0,13.4488,-139.85833740234375,359.31
203.11,1,49.5892,1,5000,19.8457,-92.11454010009766,260.71
291.8,2,49.9441,2,10000,20.9306,-155.04115295410156,337.96
424.16,3,50.0609,3,15000,17.3178,-236.79180908203125,480.69
271.09,4,49.6194,4,20000,22.1364,-180.33018493652344,269.12
334.3,5,49.2815,5,25000,12.8065,-279.22467041015625,370.55
-13.47,6,53.8039,6,30000,35.9316,-235.8024139404297,-15.64
283.69,7,51.6555,7,35000,23.8754,-241.71595764160156,338.68
392.18,8,50.7532,8,40000,21.911,-275.6711730957031,191.87
336.74,9,50.0312,9,45000,21.3104,-284.6063232421875,471.29
259.41,10,48.6967,10,50000,16.2571,-263.64007568359375,262.47
389.94,11,50.9887,11,55000,17.0841,-394.08123779296875,393.16
269.56,12,51.5339,12,60000,26.6329,-207.83323669433594,538.53
214.68,13,51.6474,13,65000,29.212,-243.5528106689453,108.68
803.86,14,53.4647,14,70000,49.2896,-8.765717506408691,879.11
-8.58,15,53.7262,15,75000,22.1256,-373.9097595214844,-9.39
15.93,16,54.7293,16,80000,38.5377,-211.2217254638672,2.35
770.45,17,51.5445,17,85000,18.992,-187.68008422851562,693.14
158.56,18,53.4764,18,90000,18.2013,-564.7057495117188,631.1
1031.35,19,54.755,19,95000,36.6985,-82.12935638427734,1048.51
1003.97,20,53.5226,20,100000,28.524,-94.9649658203125,1003.31
609.81,21,52.3182,21,105000,49.5425,-165.13912963867188,1024.38
1040.21,22,55.169,22,110000,36.3997,-103.7613525390625,1026.6
548.13,23,50.5606,23,115000,23.0158,-313.66986083984375,1169.1
496.63,24,49.5414,24,120000,38.1169,-81.41380310058594,511.46
815.51,25,50.6709,25,125000,43.9134,-98.8384017944336,1062.99
714.53,26,51.3027,26,130000,33.1611,-238.1380615234375,823.0
1035.41,27,51.8524,27,135000,32.9548,-219.9278564453125,1038.75
780.5,28,53.4144,28,140000,38.6053,-226.25262451171875,662.08
734.0,29,51.5682,29,145000,23.0308,-314.3982849121094,634.13
859.42,30,51.7173,30,150000,28.1543,-255.02745056152344,1051.2
488.02,31,51.502,31,155000,24.4025,-504.4598693847656,404.94
297.23,32,51.9655,32,160000,38.6858,-499.80352783203125,-8.55
93.88,33,52.1203,33,165000,51.9181,-487.0187683105469,135.75
551.14,34,54.307,34,170000,44.1374,-261.18182373046875,521.53
310.97,35,52.885,35,175000,80.8276,-363.7701721191406,117.68
-8.56,36,54.6759,36,180000,66.2478,-710.0079345703125,-9.03
29.76,37,53.2088,37,185000,79.1398,-317.059814453125,24.36
40.0,38,55.0003,38,190000,54.6774,-658.222900390625,49.63
38.53,39,54.9641,39,195000,56.3425,-826.9122924804688,25.3
770.24,40,51.0815,40,200000,35.0403,-310.47003173828125,709.05
847.95,41,52.6287,41,205000,27.5545,-368.1174621582031,749.67
583.07,42,48.2343,42,210000,16.8378,-396.1047668457031,657.1
1058.31,43,55.8444,43,215000,46.9841,-216.72116088867188,1051.35
1015.7,44,57.2036,44,220000,54.7454,-226.1295166015625,1015.7
592.77,45,52.7585,45,225000,51.0164,-244.36386108398438,745.42
-17.88,46,55.6023,46,230000,77.3096,-771.0114135742188,-20.82
425.09,47,52.0646,47,235000,36.4668,-257.50677490234375,320.98
252.12,48,49.3105,48,240000,20.0655,-427.7552795410156,240.21
754.96,49,48.1327,49,245000,17.7875,-527.6950073242188,1004.85
1296.96,50,52.6689,50,250000,27.4079,-360.2938537597656,1480.89
1033.79,51,56.5638,51,255000,40.5056,-251.96856689453125,1029.96
1034.03,52,57.0048,52,260000,49.7421,-265.1644592285156,1033.72
1035.13,53,55.4602,53,265000,39.3481,-342.55157470703125,1035.98
-5.48,54,55.7481,54,270000,37.175,-978.845703125,-6.39
637.68,55,55.4543,55,275000,36.3949,-409.01092529296875,774.69
954.19,56,51.1125,56,280000,30.7737,-389.0924987792969,1049.73
130.34,57,52.8945,57,285000,71.0579,-642.9332275390625,201.5
925.12,58,53.86,58,290000,43.7878,-349.6700439453125,1052.66
704.47,59,52.7449,59,295000,48.6945,-362.5421447753906,256.87
1043.23,60,55.8911,60,300000,49.1924,-358.6025085449219,1043.17
813.69,61,53.1238,61,305000,46.5631,-377.2347717285156,1052.86
944.2,62,54.0581,62,310000,32.2383,-573.7974853515625,190.08
741.01,63,52.896,63,315000,38.4568,-446.4801940917969,799.27
838.7,64,55.1278,64,320000,41.1538,-444.8374328613281,1007.35
998.75,65,56.7742,65,325000,52.1977,-411.8221130371094,999.64
1005.11,66,56.9348,66,330000,55.8725,-413.28509521484375,1006.21
262.64,67,55.5214,67,335000,72.6287,-695.6264038085938,416.47
