Running Update Time,Running Env Steps,Running Forward KL,Itration,Running Reverse KL,Reward Loss,Real Det Return,Real Sto Return
0,0,158.6406,0,11.8005,2151.007080078125,-2.02,-175.25
1,5000,158.4611,1,12.0302,1933.5252685546875,12.45,-33.7
2,10000,158.4122,2,12.9307,1878.4925537109375,770.31,204.43
3,15000,158.3277,3,13.5818,1873.8973388671875,839.0,413.67
4,20000,158.0227,4,13.8652,1686.4923095703125,921.95,538.99
5,25000,158.1214,5,14.4773,1539.612548828125,878.25,595.65
6,30000,157.8024,6,14.9226,1361.677978515625,989.58,661.35
7,35000,157.6709,7,14.6686,1064.31884765625,1273.34,851.94
8,40000,157.769,8,15.0123,922.5572509765625,1208.28,867.42
9,45000,157.7817,9,15.4893,726.9249877929688,1426.68,952.0
10,50000,157.8057,10,15.3765,528.1776733398438,1381.4,926.68
11,55000,157.7215,11,16.4614,90.48857116699219,1526.6,1131.55
12,60000,157.9653,12,16.4695,-17.150705337524414,1436.82,1081.26
13,65000,157.579,13,16.4839,-22.697452545166016,1645.62,1176.25
14,70000,157.7893,14,16.3749,-355.5852355957031,1570.1,1201.38
15,75000,157.8492,15,16.8278,-572.2779541015625,1597.49,1224.93
16,80000,157.5811,16,16.3327,-568.227294921875,1690.26,1271.4
17,85000,157.805,17,16.6163,-800.47607421875,1717.67,1295.21
18,90000,157.6433,18,16.089,-1063.5523681640625,1626.69,1317.14
19,95000,157.8063,19,15.574,-1345.921875,1676.07,1340.95
20,100000,157.6969,20,16.2893,-1426.5400390625,1793.65,1371.9
21,105000,157.6836,21,15.9627,-1610.838134765625,1773.82,1392.88
22,110000,157.668,22,15.6665,-1921.268798828125,1851.39,1364.49
23,115000,157.621,23,16.5122,-2040.0108642578125,1858.58,1486.72
24,120000,157.7695,24,15.9812,-2371.918212890625,1845.05,1437.62
25,125000,157.6257,25,16.1247,-2541.983642578125,1845.07,1413.77
26,130000,157.7605,26,16.3152,-2811.08349609375,1833.95,1513.83
27,135000,157.4732,27,16.193,-2970.9326171875,1892.97,1464.86
28,140000,157.6008,28,16.4001,-3188.944091796875,1951.0,1545.31
29,145000,157.3691,29,16.1885,-3306.484130859375,1940.55,1580.36
30,150000,157.4683,30,16.2927,-3599.613037109375,1979.49,1590.69
31,155000,157.5283,31,16.1251,-3772.3125,1951.65,1603.54
32,160000,157.6126,32,16.4567,-4025.691650390625,1973.2,1617.69
33,165000,157.7076,33,16.6967,-4247.79931640625,1974.17,1612.44
34,170000,157.2954,34,16.0125,-4483.703125,1986.8,1633.72
35,175000,157.394,35,15.4155,-4660.60546875,2004.34,1638.0
36,180000,157.5401,36,16.8219,-4929.42919921875,2000.78,1653.15
37,185000,157.3017,37,16.3843,-5074.44873046875,2030.41,1670.04
38,190000,157.2748,38,16.3682,-5312.27734375,2044.9,1655.55
39,195000,157.2188,39,16.2605,-5476.119140625,2005.67,1655.8
40,200000,157.3479,40,16.3,-5694.37158203125,1962.63,1652.38
41,205000,157.1804,41,16.0806,-5968.578125,2024.88,1660.19
42,210000,157.1366,42,16.3887,-6078.0673828125,2096.01,1673.26
43,215000,157.25,43,16.148,-6360.57861328125,2036.17,1680.14
44,220000,157.39,44,16.1733,-6514.73779296875,2019.71,1635.77
45,225000,157.3017,45,16.1887,-6798.6064453125,2017.48,1663.36
46,230000,157.1863,46,16.4208,-6967.87353515625,2026.34,1681.79
47,235000,157.3015,47,16.2323,-7060.7978515625,2104.89,1707.8
48,240000,157.0878,48,16.2196,-7348.5947265625,2088.32,1732.42
49,245000,157.2451,49,16.1839,-7554.1953125,1999.32,1664.33
50,250000,157.3463,50,16.1738,-7864.06884765625,2048.04,1674.77
51,255000,157.1156,51,15.9984,-7977.68115234375,2053.66,1688.62
52,260000,157.0786,52,16.4718,-8099.31640625,2116.36,1726.48
53,265000,157.1736,53,16.1607,-8431.4755859375,2049.22,1677.14
54,270000,157.238,54,16.4837,-8510.03515625,2120.85,1724.96
55,275000,156.9949,55,15.8736,-8763.962890625,2005.69,1702.09
56,280000,157.0402,56,15.6485,-8983.263671875,2071.34,1730.28
57,285000,156.8746,57,16.0585,-9197.3681640625,2094.43,1738.58
58,290000,157.0901,58,16.1214,-9405.1640625,2105.46,1723.01
59,295000,157.2019,59,16.2443,-9600.3759765625,2065.71,1707.52
60,300000,157.0234,60,16.3986,-9859.8369140625,2115.55,1721.37
61,305000,157.1552,61,16.2343,-10129.28515625,2051.2,1724.45
62,310000,157.1017,62,16.0406,-10227.51953125,2102.83,1770.14
63,315000,157.1807,63,16.1367,-10542.92578125,2070.57,1759.04
64,320000,157.1043,64,15.9595,-10728.5390625,2087.21,1747.67
65,325000,156.9549,65,16.5133,-10751.4501953125,2178.92,1793.82
66,330000,157.0989,66,16.3546,-11239.080078125,2117.89,1783.91
