Running Update Time,Real Det Return,Itration,Reward Loss,Real Sto Return,Running Forward KL,Running Reverse KL,Running Env Steps
0,514.38,0,11.66220760345459,-61.5,73.3688,27.0278,0
1,445.29,1,9.301453590393066,-12.35,72.9063,27.2538,5000
2,281.29,2,1.431502342224121,-23.89,71.8005,28.0448,10000
3,162.2,3,-11.943817138671875,57.14,70.4794,28.6371,15000
4,550.93,4,-21.45787239074707,49.5,72.3758,29.9,20000
5,535.73,5,-30.56110382080078,57.19,69.9428,29.3771,25000
6,423.12,6,-45.279762268066406,83.63,72.4611,31.0098,30000
7,344.69,7,-48.671546936035156,146.71,66.9111,29.8001,35000
8,572.31,8,-67.32669830322266,171.23,71.1341,31.3209,40000
9,641.21,9,-76.23246002197266,221.47,69.2037,30.1411,45000
10,926.81,10,-89.3037109375,158.32,66.6355,30.0363,50000
11,708.51,11,-97.93212890625,229.77,65.6551,29.6343,55000
12,1023.97,12,-111.22736358642578,238.87,64.2103,28.6347,60000
13,809.0,13,-107.54878234863281,297.79,62.894,28.3594,65000
14,871.65,14,-128.90023803710938,358.95,63.6933,28.4087,70000
15,885.85,15,-138.854736328125,473.36,65.2851,29.3023,75000
16,865.32,16,-155.25753784179688,296.61,65.3538,28.7274,80000
17,1038.9,17,-160.92088317871094,439.85,66.3369,29.7405,85000
18,1137.43,18,-173.15756225585938,421.87,64.8951,29.1121,90000
19,887.39,19,-192.4010772705078,288.58,64.7792,28.4254,95000
20,979.54,20,-199.77053833007812,343.22,62.9637,26.9362,100000
21,1122.62,21,-200.1834259033203,608.22,63.121,26.6985,105000
22,1163.19,22,-210.61056518554688,440.63,60.3135,25.2403,110000
23,961.87,23,-230.67352294921875,562.64,62.8719,26.8233,115000
24,1115.98,24,-243.03038024902344,711.54,64.0359,27.3533,120000
25,1308.18,25,-243.6209716796875,477.92,62.3988,26.1296,125000
26,797.42,26,-277.76837158203125,255.85,66.2578,28.6967,130000
27,1113.97,27,-258.5462951660156,312.15,60.9792,24.559,135000
28,1317.0,28,-270.6288757324219,571.36,61.188,25.3656,140000
29,1308.96,29,-300.9918212890625,656.68,62.4256,25.6825,145000
30,1633.27,30,-283.4321594238281,888.81,61.3397,24.5399,150000
31,1436.31,31,-283.8704528808594,802.28,59.9146,23.9345,155000
32,2042.25,32,-297.7131652832031,1152.03,61.4106,26.3342,160000
33,1773.4,33,-300.3292541503906,941.34,61.3098,25.2397,165000
34,1968.51,34,-316.9578552246094,1291.04,61.0543,25.0047,170000
35,2575.12,35,-319.3701477050781,1504.42,59.3527,26.1333,175000
36,1549.05,36,-339.7333679199219,686.61,60.8108,25.1722,180000
37,2580.23,37,-312.10845947265625,1424.3,59.4224,25.84,185000
38,753.45,38,-379.7006530761719,580.23,61.517,24.4215,190000
39,2767.3,39,-334.3906555175781,1282.46,58.9967,25.1303,195000
40,2917.4,40,-288.1018371582031,2015.74,62.1302,35.7953,200000
41,2215.76,41,-350.589599609375,1492.97,61.9067,27.0226,205000
42,2990.23,42,-375.6795654296875,1974.03,61.7359,27.1759,210000
43,2704.88,43,-310.30157470703125,1841.79,62.8086,34.4182,215000
44,2910.58,44,-347.4232177734375,1964.86,61.8644,32.5557,220000
45,2490.24,45,-429.4859619140625,1041.05,62.3438,25.0053,225000
46,3183.16,46,-346.5072937011719,2111.43,62.5043,32.7177,230000
47,2866.78,47,-388.2335205078125,2326.1,61.4138,29.8004,235000
48,3338.15,48,-393.7767639160156,2009.84,62.295,30.7589,240000
49,3517.57,49,-403.9010009765625,2016.29,63.2728,31.7287,245000
50,3435.53,50,-372.5705261230469,2453.91,63.0304,36.1685,250000
51,2711.86,51,-398.1223449707031,2382.01,61.6707,29.8197,255000
52,2972.26,52,-365.03570556640625,2655.8,64.1578,37.7538,260000
53,3557.11,53,-425.8316650390625,2177.5,62.2575,29.4645,265000
54,3259.57,54,-418.3704528808594,2098.02,63.3212,34.7935,270000
55,3102.44,55,-485.3270568847656,1700.48,62.7804,28.4499,275000
