Real Sto Return,Running Forward KL,Itration,Real Det Return,Running Reverse KL
-64.97,75.8358,0,163.08,26.3632
-43.58,74.1425,1,350.93,25.4392
-39.5,73.7117,2,543.19,26.551
-27.8,72.5962,3,645.44,26.6342
23.26,72.1947,4,675.77,28.2806
64.49,72.9094,5,661.15,29.2856
106.08,72.0195,6,682.76,29.9733
116.84,69.4478,7,728.9,30.3054
106.32,68.3999,8,734.19,29.8976
122.87,70.4759,9,635.53,30.288
123.37,70.5123,10,693.23,30.9187
108.46,71.5941,11,777.66,31.4332
139.34,71.5086,12,773.12,31.8995
130.19,74.2601,13,681.36,33.1102
129.77,73.6591,14,783.34,32.2778
157.0,72.5909,15,559.54,31.0848
136.33,69.7658,16,633.5,29.2036
81.83,71.5602,17,700.13,30.5196
52.18,76.206,18,234.7,31.6264
-32.12,74.5782,19,145.5,35.5842
-258.79,78.4383,20,-248.56,39.6217
-192.6,83.1189,21,-125.26,61.8102
-268.53,75.0138,22,-318.94,54.4261
-229.7,74.2537,23,-169.17,29.391
-222.7,73.4987,24,-113.75,26.9605
-116.02,74.2912,25,-12.72,25.9566
-118.8,72.5374,26,-49.26,27.2686
-179.2,75.3243,27,-116.29,31.5878
-157.66,73.2676,28,139.5,26.9349
-85.32,73.7001,29,256.24,29.0833
-42.07,76.0575,30,119.38,29.5129
-64.17,74.3926,31,14.06,29.4233
-74.02,72.2411,32,216.61,28.3064
-71.61,74.1881,33,79.29,28.6381
-42.81,73.9638,34,285.87,28.0495
-61.34,75.6346,35,200.65,30.7313
-48.26,72.0711,36,144.51,28.3138
-6.62,75.132,37,281.62,29.0
-43.94,74.0983,38,149.25,28.603
-36.14,73.475,39,274.05,28.8776
-28.94,74.5994,40,185.93,29.5352
-19.65,73.5396,41,281.72,30.3856
-26.39,73.4484,42,207.26,31.2687
-23.72,74.3231,43,252.18,30.7579
-125.16,73.6195,44,210.27,34.4792
-108.69,75.2902,45,158.21,36.9832
-49.89,73.5523,46,172.74,30.9563
-15.59,73.6221,47,188.39,29.1892
-36.24,74.1984,48,71.55,30.1758
-14.89,75.6886,49,15.09,33.3459
-18.75,74.7884,50,136.96,31.1165
-8.87,74.9928,51,200.32,32.148
-93.53,74.6724,52,152.24,36.0769
-47.89,72.879,53,20.83,37.5183
-82.86,74.8789,54,156.22,40.1601
12.27,74.8393,55,293.12,31.4202
-35.28,74.154,56,143.01,35.1069
1.0,75.1795,57,157.19,30.2014
-76.03,73.497,58,-295.72,32.2012
-19.61,74.218,59,170.84,30.8935
-17.49,70.721,60,-328.47,31.4206
-103.35,72.9435,61,127.46,30.8258
-183.72,74.9999,62,-154.38,36.0808
-109.16,69.0512,63,-296.71,30.8899
-7.39,73.0565,64,174.32,27.3875
-32.5,72.5408,65,180.4,28.0234
-2.2,73.2234,66,74.17,30.0578
-28.26,74.8677,67,269.61,27.0772
19.39,74.3601,68,458.84,30.9171
-6.01,71.6965,69,197.19,28.1363
-22.4,73.6168,70,234.75,31.825
4.81,73.9717,71,94.72,36.2926
-8.59,73.3808,72,107.32,30.0384
7.58,73.3675,73,81.41,29.9891
-11.31,74.2811,74,194.35,30.1391
-12.46,73.4414,75,188.74,30.371
1.12,73.5043,76,249.95,30.7493
-1.48,73.8704,77,211.73,29.3832
-88.97,75.5436,78,50.63,37.7642
-54.08,75.3799,79,206.56,31.623
-42.9,71.3965,80,102.97,29.791
-79.87,75.1691,81,-38.58,41.1035
-47.57,74.5514,82,126.17,33.7362
-93.21,73.3105,83,-136.38,34.2904
-7.16,74.5485,84,226.39,31.3859
-39.53,72.5592,85,-44.85,29.538
-70.43,71.8379,86,234.11,28.3542
-13.84,73.2762,87,121.71,29.1015
-68.29,71.1956,88,250.31,30.2074
-7.74,73.5592,89,348.95,29.1329
-19.55,74.6648,90,294.91,31.7041
12.09,73.1245,91,170.11,30.1282
-34.94,75.2197,92,245.47,35.5508
-31.5,73.3087,93,306.86,28.6489
-7.57,73.8244,94,269.57,28.9167
-25.09,73.2283,95,108.04,28.1792
-8.93,74.7838,96,202.68,31.2318
21.09,73.7563,97,229.87,30.3922
-0.78,72.7849,98,156.49,30.154
-11.35,72.5846,99,290.68,28.5219
30.05,74.1649,100,146.38,31.5338
61.82,73.7102,101,329.48,31.8113
24.46,71.9414,102,226.29,29.5813
7.3,70.3322,103,45.45,31.1217
-32.0,72.2422,104,100.97,29.2648
-25.64,72.2736,105,49.75,31.254
5.8,72.0625,106,150.34,28.6602
-4.41,71.5206,107,206.42,28.6231
-14.43,72.7394,108,154.41,27.2615
-19.55,75.1667,109,133.05,32.4337
9.16,71.9786,110,233.9,30.9169
-37.25,70.71,111,69.62,34.935
-49.12,71.6137,112,46.01,36.8758
-5.09,73.6424,113,128.13,32.6318
-6.32,72.5682,114,283.96,30.2332
-4.36,74.9259,115,345.3,31.873
-35.11,74.174,116,149.03,29.3072
-32.33,73.7476,117,180.19,29.9531
14.51,73.6955,118,129.45,30.3609
-13.91,72.8041,119,209.86,29.2669
-29.76,73.917,120,8.64,32.6729
-16.62,74.1988,121,232.94,27.5611
-29.54,74.1559,122,131.66,32.3344
-8.54,71.2169,123,270.9,29.108
-23.72,73.6906,124,152.12,28.1642
1.07,74.4999,125,-263.16,34.2758
-1.8,73.5106,126,256.23,32.0535
-110.29,71.9943,127,-20.65,29.7909
-22.74,73.2031,128,112.52,32.7
-12.99,72.0794,129,315.92,29.0628
-66.77,74.2541,130,-299.56,31.9237
-11.78,75.3752,131,116.08,33.9552
5.59,75.0066,132,104.57,31.0149
-52.7,73.0073,133,109.6,31.434
11.4,74.1867,134,160.02,29.4377
-31.79,72.4195,135,284.26,30.9181
9.88,73.712,136,278.36,34.1457
-79.56,73.7241,137,183.69,30.5219
-28.88,72.2435,138,203.17,31.622
-166.8,72.7039,139,52.34,32.6909
-40.16,72.1223,140,76.32,29.7989
-21.83,73.0768,141,118.34,29.4268
-73.57,74.6662,142,172.31,30.3085
-65.55,72.3888,143,18.16,31.9796
-28.18,72.1939,144,231.41,29.7092
-33.81,71.2785,145,207.31,31.3744
7.37,70.1528,146,-167.85,29.6962
-14.83,72.5901,147,299.8,26.2513
13.31,73.4929,148,151.85,30.5939
6.48,73.4698,149,461.17,28.3367
-53.61,76.6621,150,258.11,35.3413
-7.75,71.553,151,164.85,29.0748
-22.65,74.2331,152,15.82,30.276
-20.23,73.8631,153,187.97,31.7007
-8.98,74.0607,154,50.75,33.4727
-93.58,72.5965,155,194.03,27.8168
-3.67,72.5073,156,242.83,29.2344
-24.4,72.9391,157,290.27,31.0206
-7.91,72.4061,158,310.28,31.2217
-9.35,71.4105,159,271.15,31.4638
-28.31,74.1132,160,339.05,32.2867
-5.88,72.424,161,266.59,28.8359
-17.36,72.4521,162,405.88,29.7798
-133.27,74.4815,163,56.75,42.6514
-53.71,73.2233,164,111.54,34.829
-93.84,72.6158,165,152.95,39.8152
5.16,74.7476,166,184.94,30.3384
7.88,73.5917,167,101.65,32.747
-24.75,74.6382,168,276.89,31.8481
-6.27,72.6147,169,35.84,30.5517
-30.83,72.3304,170,88.86,31.5207
36.61,72.9328,171,350.58,30.2566
-10.09,72.7182,172,-37.85,30.7538
13.16,72.6146,173,273.58,35.8562
-33.16,71.5627,174,345.44,30.048
15.39,72.7257,175,389.01,31.5264
43.12,73.7221,176,335.36,30.212
-6.86,74.5922,177,201.32,32.1658
-12.77,74.4763,178,358.17,30.48
50.6,71.7299,179,334.92,29.1405
80.33,71.3729,180,223.7,32.809
-11.58,72.1448,181,46.71,30.8931
12.47,70.8395,182,165.07,31.5204
48.75,72.8332,183,460.73,30.6534
43.32,73.7156,184,298.32,29.0404
30.17,73.7482,185,522.46,29.9407
-2.9,72.2804,186,140.53,33.4026
39.25,72.6471,187,335.94,30.5886
42.28,73.9858,188,453.4,32.9753
64.77,71.4066,189,479.54,31.1823
65.02,70.9382,190,392.66,30.4807
63.69,71.2838,191,588.78,29.7238
82.06,70.9397,192,333.79,29.6859
67.27,71.6071,193,531.27,29.7423
119.83,69.3856,194,235.62,29.2673
47.01,72.1427,195,341.12,29.5648
79.67,72.2004,196,537.78,31.1875
67.96,72.9297,197,289.8,29.474
69.78,71.9566,198,358.1,29.1004
73.06,72.8776,199,432.44,30.7194
5.0,72.4878,200,252.34,30.5364
24.72,72.2179,201,283.44,31.1412
-2.77,73.4463,202,231.82,30.4926
-14.5,71.4327,203,408.59,29.3145
-30.89,72.35,204,62.95,29.2093
-77.82,72.5368,205,115.79,30.9446
-75.55,73.7602,206,104.62,31.2308
-48.16,74.2977,207,121.71,32.1575
-43.82,74.4578,208,64.29,31.0595
-44.25,74.8945,209,37.78,30.9507
-29.38,72.2798,210,182.15,28.8735
-45.09,71.1258,211,114.05,26.9277
-23.51,74.2066,212,72.37,28.5801
-99.34,73.825,213,51.96,31.7296
-37.11,71.9741,214,166.82,27.8278
-20.38,72.4628,215,136.99,27.7967
