Real Det Return,Running Update Time,Reward Loss,Running Reverse KL,Itration,Running Env Steps,Running Forward KL,Real Sto Return
9.11,0,0.894662618637085,10.4911,0,0,39.4625,8.04
9.74,1,1.0232447385787964,13.8199,1,50,39.7307,9.33
9.67,2,0.9231820702552795,13.7505,2,100,39.7697,9.24
9.98,3,0.9084072113037109,12.1465,3,150,38.9492,9.53
10.27,4,1.1128758192062378,10.557,4,200,38.4746,9.85
