Running Forward KL,Real Det Return,Reward Loss,Running Env Steps,Real Sto Return,Running Update Time,Itration,Running Reverse KL
158.5165,-183.02,215.3261260986328,0,-190.46,0,0,11.6347
158.5029,23.48,-87.95254516601562,5000,-112.83,1,1,11.8534
158.3053,693.46,49.071388244628906,10000,21.97,2,2,12.0134
158.0953,658.43,196.31019592285156,15000,262.53,3,3,12.9419
157.9262,962.09,124.8236083984375,20000,404.11,4,4,12.9906
157.6114,1003.96,46.29050827026367,25000,502.86,5,5,13.1613
157.6904,-56.48,-222.44667053222656,30000,474.19,6,6,12.6994
157.8148,882.01,-571.4666137695312,35000,641.73,7,7,13.8774
157.9318,1246.63,-529.7716674804688,40000,794.65,8,8,14.1045
157.6723,1514.32,-490.0863037109375,45000,1017.73,9,9,15.3683
157.821,1498.71,-666.532470703125,50000,912.83,10,10,15.7492
157.8491,1600.09,-872.2411499023438,55000,1147.0,11,11,16.1312
157.7668,1633.32,-940.1918334960938,60000,1193.56,12,12,16.5287
157.8501,1698.26,-1112.03515625,65000,1216.78,13,13,16.3141
157.8149,1667.98,-1405.2545166015625,70000,1232.94,14,14,16.6921
157.8585,1789.79,-1555.564697265625,75000,1309.94,15,15,16.5732
157.6044,1782.43,-1714.94384765625,80000,1309.62,16,16,16.5645
157.7644,1715.29,-2085.79443359375,85000,1273.05,17,17,16.0413
157.7545,1778.53,-2230.214599609375,90000,1345.11,18,18,16.145
157.8121,1819.01,-2363.741943359375,95000,1425.25,19,19,16.185
157.735,1874.66,-2520.8486328125,100000,1436.65,20,20,16.4113
157.6063,1830.39,-2721.1552734375,105000,1428.01,21,21,16.4058
157.3927,1859.12,-2871.420654296875,110000,1478.65,22,22,16.0939
157.6511,1895.93,-3100.43798828125,115000,1495.54,23,23,16.1635
157.4153,1856.05,-3351.899658203125,120000,1499.41,24,24,16.0811
157.6505,1861.13,-3543.72314453125,125000,1514.44,25,25,16.1634
157.6591,1906.34,-3691.77734375,130000,1515.11,26,26,15.9563
157.6184,1917.25,-3784.29248046875,135000,1523.6,27,27,16.1655
157.6776,1855.94,-4150.8662109375,140000,1516.41,28,28,16.204
157.5592,1853.3,-4302.04541015625,145000,1518.48,29,29,15.8666
157.499,1909.48,-4450.01611328125,150000,1599.44,30,30,16.1293
157.3446,1874.88,-4635.91552734375,155000,1577.6,31,31,15.7923
157.2716,2012.45,-4714.43798828125,160000,1622.07,32,32,16.0762
157.6401,1923.82,-5061.85791015625,165000,1585.52,33,33,15.8654
157.3053,2027.09,-5125.56982421875,170000,1638.31,34,34,16.1731
157.3867,1885.95,-5434.03515625,175000,1615.17,35,35,15.6279
157.3812,1976.14,-5524.3388671875,180000,1609.97,36,36,15.7686
157.2691,1976.81,-5770.13720703125,185000,1634.29,37,37,15.8786
157.1858,1977.1,-5862.90478515625,190000,1618.2,38,38,15.6076
157.3282,1977.78,-6108.296875,195000,1645.64,39,39,15.8173
157.2332,2019.28,-6201.27294921875,200000,1664.89,40,40,15.8782
157.4321,2059.65,-6348.5595703125,205000,1713.08,41,41,16.441
157.2064,2056.26,-6574.16650390625,210000,1661.22,42,42,15.7218
157.3626,1990.51,-6859.05078125,215000,1670.22,43,43,15.6718
156.8868,2056.01,-6910.9375,220000,1680.33,44,44,15.5965
157.1707,2133.77,-7076.140625,225000,1736.01,45,45,16.0611
157.0413,2060.63,-7309.80615234375,230000,1670.13,46,46,15.453
156.8995,2052.95,-7423.61279296875,235000,1685.76,47,47,15.7061
157.2032,2029.89,-7752.81298828125,240000,1707.41,48,48,15.7867
156.8831,2104.22,-7810.09912109375,245000,1719.27,49,49,15.7027
157.0337,2050.47,-8104.59326171875,250000,1692.63,50,50,15.484
157.2147,2121.02,-8188.9150390625,255000,1734.42,51,51,15.9181
157.0138,2112.32,-8318.06640625,260000,1720.42,52,52,15.7605
156.8714,2085.37,-8635.572265625,265000,1758.47,53,53,15.7701
157.0893,2085.75,-8797.8359375,270000,1741.85,54,54,15.7306
156.9959,2133.29,-9023.6923828125,275000,1776.24,55,55,15.976
156.8717,2153.91,-9059.2958984375,280000,1766.61,56,56,15.8612
157.0521,2037.06,-9409.7607421875,285000,1753.18,57,57,15.5103
156.8619,2076.66,-9577.4140625,290000,1748.0,58,58,15.6725
156.9541,2130.18,-9656.515625,295000,1781.92,59,59,15.9655
156.9405,2152.3,-9834.9443359375,300000,1773.81,60,60,15.5052
156.9826,2119.8,-10153.806640625,305000,1746.75,61,61,15.6891
156.8244,2138.06,-10267.6787109375,310000,1752.51,62,62,15.4107
156.9647,2127.34,-10540.865234375,315000,1790.88,63,63,15.6316
157.0272,2127.95,-10759.2109375,320000,1785.77,64,64,15.6258
157.047,2104.09,-10888.6064453125,325000,1761.35,65,65,15.577
156.8704,2137.08,-11069.0966796875,330000,1750.8,66,66,15.5037
157.111,2138.14,-11353.2109375,335000,1788.72,67,67,15.7665
156.9191,2122.0,-11562.1494140625,340000,1768.23,68,68,15.4419
156.9368,2147.11,-11753.443359375,345000,1779.3,69,69,15.7255
156.9192,2111.25,-11976.6416015625,350000,1776.75,70,70,15.7944
156.8644,2048.06,-12163.267578125,355000,1713.8,71,71,15.0286
156.7678,2110.28,-12285.3837890625,360000,1769.35,72,72,15.4892
157.0579,2142.29,-12515.19140625,365000,1744.49,73,73,15.6623
156.8839,2196.11,-12686.6474609375,370000,1816.27,74,74,15.7766
156.8788,2148.64,-12875.107421875,375000,1788.39,75,75,15.688
156.7632,2168.42,-13025.755859375,380000,1825.04,76,76,15.6972
156.8049,2100.73,-13346.87890625,385000,1783.74,77,77,15.4289
156.7547,2149.19,-13478.9267578125,390000,1798.01,78,78,15.6888
156.79,2175.41,-13612.271484375,395000,1814.74,79,79,15.6446
156.8477,2163.2,-13906.2333984375,400000,1803.97,80,80,15.4582
156.8241,2141.48,-14036.796875,405000,1788.34,81,81,15.6121
156.685,2169.96,-14228.48828125,410000,1823.57,82,82,15.2972
156.7314,2153.04,-14439.830078125,415000,1817.76,83,83,15.4744
156.6536,2172.22,-14661.8466796875,420000,1822.27,84,84,15.3396
156.7825,2130.88,-15048.86328125,425000,1798.03,85,85,15.3882
156.7648,2132.28,-15074.3876953125,430000,1782.81,86,86,15.3009
156.7974,2162.72,-15292.1640625,435000,1819.85,87,87,15.3797
156.7632,2173.92,-15505.9248046875,440000,1791.85,88,88,15.2464
156.7136,2133.91,-15737.8427734375,445000,1789.4,89,89,15.2916
156.6507,2158.54,-15940.052734375,450000,1827.46,90,90,15.5103
156.7981,2148.36,-16220.2265625,455000,1770.05,91,91,15.2915
156.7189,2153.57,-16427.544921875,460000,1803.26,92,92,15.1166
156.7146,2141.31,-16604.48046875,465000,1823.5,93,93,15.4064
156.8687,2201.79,-16849.158203125,470000,1851.71,94,94,15.669
156.7324,2180.44,-17075.609375,475000,1838.76,95,95,15.2639
156.7282,2161.6,-17393.779296875,480000,1828.8,96,96,15.3772
156.7067,2142.84,-17399.8984375,485000,1819.99,97,97,15.084
156.7696,2163.36,-17799.263671875,490000,1816.04,98,98,15.2053
156.7226,2194.12,-17982.49609375,495000,1826.0,99,99,15.3291
156.748,2153.06,-18033.48046875,500000,1821.08,100,100,15.2868
156.6438,2117.58,-18313.51953125,505000,1820.11,101,101,15.2397
156.6279,2172.51,-18549.62109375,510000,1843.54,102,102,15.3426
156.7181,2182.93,-18905.87890625,515000,1837.33,103,103,15.383
156.7023,2179.4,-18891.4375,520000,1808.82,104,104,15.0227
156.6882,2210.96,-19368.4375,525000,1851.3,105,105,15.5671
156.8724,2207.71,-19589.859375,530000,1822.67,106,106,15.3395
156.8527,2194.46,-19942.1953125,535000,1829.13,107,107,15.5673
156.8189,2178.19,-20047.537109375,540000,1822.35,108,108,15.2151
156.6397,2159.15,-20331.53125,545000,1789.5,109,109,15.2552
156.6694,2216.91,-20594.515625,550000,1832.44,110,110,15.2519
156.595,2226.99,-20646.4921875,555000,1835.67,111,111,15.3466
156.9397,2214.73,-21205.16015625,560000,1846.56,112,112,15.5255
156.6516,2156.35,-21292.5625,565000,1830.79,113,113,15.3305
156.7039,2220.29,-21434.197265625,570000,1859.7,114,114,15.2474
156.7053,2215.5,-21748.162109375,575000,1863.42,115,115,15.4087
156.5707,2250.34,-21848.15625,580000,1854.58,116,116,15.5012
156.8895,2210.45,-22287.84765625,585000,1849.71,117,117,15.3239
156.6425,2227.13,-22474.611328125,590000,1855.75,118,118,15.271
156.6958,2225.81,-22676.2578125,595000,1849.53,119,119,15.0174
156.5339,2220.32,-22937.072265625,600000,1805.22,120,120,15.0248
156.7292,2186.45,-23310.046875,605000,1849.26,121,121,15.2313
156.5582,2230.78,-23473.552734375,610000,1872.46,122,122,15.2028
156.6416,2208.42,-23716.599609375,615000,1891.96,123,123,15.2876
156.6123,2214.53,-23900.8203125,620000,1845.6,124,124,15.3714
156.7778,2147.0,-24313.734375,625000,1838.25,125,125,15.042
156.6332,2293.89,-24436.345703125,630000,1897.41,126,126,15.5587
156.7437,2236.08,-24833.455078125,635000,1849.05,127,127,15.3527
156.6489,2239.69,-24922.732421875,640000,1881.06,128,128,15.402
