Reward Loss,Real Det Return,Running Reverse KL,Running Update Time,Running Forward KL,Itration,Real Sto Return,Running Env Steps
222.77835083007812,199.89,31.4787,0,32.0736,0,195.14,0
187.8543701171875,159.33,32.7924,1,30.9802,1,218.29,5000
112.17445373535156,206.79,43.3059,2,31.5573,2,223.44,10000
167.56002807617188,327.96,26.701,3,28.9178,3,302.18,15000
-3.536465883255005,516.62,45.1464,4,30.9251,4,449.32,20000
-41.06248092651367,295.59,54.1133,5,30.3433,5,299.27,25000
134.91925048828125,910.22,27.473,6,31.7025,6,727.58,30000
-62.31564712524414,9.49,58.8368,7,34.425,7,9.4,35000
-42.66969680786133,976.41,56.9508,8,39.3338,8,975.88,40000
-98.92444610595703,983.58,27.7227,9,36.1381,9,984.63,45000
-159.73988342285156,986.31,24.9246,10,34.5117,10,981.83,50000
-338.2664489746094,98.68,162.5444,11,33.9593,11,102.51,55000
-93.78718566894531,823.28,17.4347,12,30.9044,12,822.96,60000
3.787820816040039,454.28,30.1133,13,29.374,13,437.01,65000
-446.9989318847656,987.3,37.691,14,40.183,14,986.46,70000
-160.48069763183594,400.91,20.9474,15,32.4859,15,395.91,75000
49.2714958190918,338.47,17.9903,16,31.2876,16,330.71,80000
-6.118422031402588,188.55,17.3332,17,31.4188,17,190.66,85000
-575.8619384765625,255.95,38.8331,18,33.6029,18,254.29,90000
-172.34176635742188,1133.49,30.8086,19,32.9159,19,1096.92,95000
-680.145751953125,1042.7,31.0526,20,34.7655,20,1046.54,100000
-582.89697265625,1196.14,24.8761,21,33.4512,21,1208.57,105000
-858.0595092773438,173.07,78.1899,22,33.4663,22,172.94,110000
-371.4949951171875,1418.56,21.9252,23,32.1532,23,1418.16,115000
-690.0145874023438,276.08,62.3088,24,32.7438,24,277.91,120000
-540.3015747070312,466.73,30.2452,25,30.8542,25,465.35,125000
-927.6666259765625,976.25,65.214,26,38.0204,26,976.03,130000
-982.7120971679688,973.88,55.4833,27,38.053,27,974.27,135000
-1049.90478515625,984.86,38.4578,28,38.4171,28,985.68,140000
-1081.9605712890625,976.03,53.9455,29,37.7929,29,975.85,145000
