Reward Loss,Running Env Steps,Running Forward KL,Real Det Return,Itration,Running Update Time,Real Sto Return,Running Reverse KL
-25.860563278198242,0,74.7142,388.89,0,0,-106.13,25.3973
-45.927085876464844,5000,73.6625,434.41,1,1,-83.81,25.309
-57.36479187011719,10000,72.7092,633.46,2,2,-46.11,27.0765
-67.9819564819336,15000,74.4511,743.44,3,3,16.55,27.5403
-79.4130630493164,20000,74.2611,678.34,4,4,7.87,28.9136
-97.06120300292969,25000,73.3409,757.71,5,5,78.94,30.1846
-109.5299072265625,30000,72.578,760.64,6,6,102.2,30.7383
-119.96194458007812,35000,71.3748,803.55,7,7,115.16,30.5946
-131.3392791748047,40000,70.5481,750.4,8,8,144.37,29.4481
-146.86248779296875,45000,73.6721,780.51,9,9,156.62,31.1161
-152.77809143066406,50000,72.0779,680.06,10,10,106.99,31.7069
-171.208740234375,55000,73.4019,536.53,11,11,109.59,30.9764
-183.5612030029297,60000,72.2851,470.23,12,12,118.19,31.3255
-195.60711669921875,65000,75.5277,228.09,13,13,55.64,35.5025
-211.9966278076172,70000,77.9232,103.24,14,14,-209.12,40.4926
-227.1510467529297,75000,78.1354,-989.24,15,15,-346.76,47.9671
-228.96632385253906,80000,76.3331,-825.18,16,16,-477.52,53.1107
-206.401123046875,85000,74.4391,-18.06,17,17,-626.78,29.9526
-215.28956604003906,90000,74.0609,-59.15,18,18,-263.5,28.7081
-236.29039001464844,95000,73.5474,-37.55,19,19,-281.63,28.8555
-254.21401977539062,100000,73.2854,56.62,20,20,-224.06,25.8142
-292.3363342285156,105000,75.0954,-181.1,21,21,-185.84,32.7912
-299.2523498535156,110000,73.3979,10.99,22,22,-243.0,30.2785
-298.0066223144531,115000,74.1619,-73.59,23,23,-176.4,30.4141
-316.0829772949219,120000,71.1993,73.73,24,24,-106.72,28.7115
