Running Env Steps,Reward Loss,Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Running Update Time,Real Det Return
0,121.66899108886719,293.44,0,31.0317,25.8852,0,310.31
5000,143.11871337890625,286.11,1,29.1579,29.8513,1,309.93
10000,26.889211654663086,300.45,2,28.9321,27.1471,2,334.52
15000,33.47677993774414,409.72,3,27.5667,19.4666,3,456.51
20000,-46.5838508605957,235.03,4,25.7205,19.3049,4,201.44
25000,6.740625381469727,519.63,5,26.6637,21.9084,5,482.15
30000,25.664093017578125,690.69,6,26.9615,18.1687,6,752.72
35000,9.76850414276123,548.11,7,28.1319,17.6435,7,549.23
40000,-4.074712753295898,619.01,8,27.6228,16.7279,8,622.01
45000,-66.8967514038086,919.52,9,27.0606,16.8632,9,814.59
50000,-145.2169647216797,766.59,10,26.3632,17.0894,10,795.06
55000,-100.74507904052734,949.97,11,27.1191,16.2868,11,834.34
60000,22.763282775878906,1166.49,12,26.0594,12.9824,12,963.27
65000,-143.1740264892578,2061.08,13,25.7919,15.2226,13,2080.63
70000,-50.032989501953125,1846.2,14,25.7658,12.8464,14,2623.92
75000,-299.723876953125,804.45,15,26.0013,15.9031,15,878.1
80000,-283.7164001464844,1067.5,16,26.1318,31.7214,16,1646.02
85000,-156.3104705810547,1218.0,17,26.4365,18.3066,17,1530.19
90000,-70.03611755371094,1486.46,18,25.6467,12.9992,18,1950.89
95000,-56.931854248046875,1314.6,19,26.4682,13.8657,19,1847.97
100000,-17.842288970947266,1339.05,20,25.2224,13.9797,20,2007.95
105000,-143.46778869628906,2639.23,21,24.2172,13.9019,21,2989.69
110000,-73.42063903808594,1774.56,22,24.9441,18.4071,22,1322.9
115000,-117.18304443359375,2458.28,23,24.8958,14.7866,23,2978.36
120000,-136.16607666015625,2150.26,24,24.5754,14.1586,24,2822.24
125000,-143.67657470703125,1507.96,25,26.505,15.2664,25,1025.12
130000,-324.95343017578125,1126.35,26,25.8962,21.4096,26,967.14
135000,-304.6091613769531,1167.14,27,24.8124,14.6834,27,1199.39
140000,-380.5691223144531,1242.74,28,25.0659,14.3859,28,1643.86
145000,-464.77496337890625,1181.1,29,24.791,14.8657,29,1467.57
150000,-306.659423828125,1519.94,30,24.6278,14.0256,30,1694.53
155000,-253.94308471679688,2143.73,31,24.7482,14.3461,31,3133.41
160000,-647.0233154296875,1312.78,32,24.4191,32.8062,32,1473.0
165000,-282.4260559082031,1659.09,33,25.5819,14.8253,33,1455.4
170000,-364.8931884765625,1420.46,34,25.0368,26.564,34,1720.2
175000,-168.82945251464844,2042.43,35,24.3071,16.5606,35,1005.31
180000,-551.2366333007812,1146.08,36,25.0223,21.5279,36,1027.59
185000,-450.87823486328125,1515.16,37,24.4649,14.7618,37,1783.82
190000,-411.3399963378906,1452.18,38,24.3935,14.3686,38,1369.99
195000,-489.06494140625,1506.64,39,24.9064,26.605,39,1314.57
200000,-412.3443603515625,1966.71,40,23.6839,15.1319,40,1420.06
205000,-772.2666015625,1228.71,41,24.7656,19.8709,41,1157.08
210000,-541.4417724609375,2052.34,42,24.9348,16.2649,42,2876.04
215000,-425.9529724121094,1575.64,43,23.8799,16.4011,43,1230.8
220000,-480.5908508300781,2110.97,44,23.5956,15.4363,44,1635.34
225000,-717.9456787109375,1342.32,45,24.6784,15.5361,45,1302.12
230000,-457.2933654785156,1573.9,46,24.2561,13.4041,46,1445.0
235000,-668.4749145507812,1330.24,47,25.4092,14.008,47,1244.33
240000,-850.2657470703125,1500.49,48,24.626,26.0544,48,1320.78
245000,-861.2865600585938,1436.58,49,25.1096,20.6338,49,1328.44
250000,-868.4675903320312,1347.83,50,24.6208,19.3171,50,1222.24
255000,-836.3429565429688,1197.7,51,25.1141,14.7702,51,1113.3
260000,-839.0821533203125,1288.1,52,25.0948,15.7007,52,1341.43
265000,-863.2196044921875,1237.64,53,25.6999,25.2216,53,1148.86
270000,-983.3438720703125,1166.56,54,24.7035,22.2935,54,1150.24
275000,-1104.506103515625,1059.34,55,24.3324,25.721,55,1159.19
280000,-967.573974609375,1347.81,56,25.0526,16.9714,56,1132.57
285000,-855.9406127929688,1238.82,57,24.5167,13.7765,57,1328.43
290000,-959.5350341796875,1238.97,58,24.3787,15.0476,58,1123.03
295000,-996.1411743164062,1444.64,59,24.3986,19.7368,59,1287.65
300000,-876.0274047851562,1245.29,60,24.7561,14.2541,60,1246.6
305000,-1027.283447265625,1185.23,61,24.9897,16.442,61,1247.68
310000,-902.004638671875,1528.14,62,23.5626,13.0915,62,1392.42
315000,-954.9677124023438,1573.5,63,22.989,16.7545,63,1449.03
320000,-834.1558227539062,1793.46,64,23.2398,12.6267,64,1457.49
325000,-1318.3558349609375,1218.66,65,24.3582,20.9283,65,1262.25
330000,-1369.5504150390625,1243.38,66,24.9026,20.0183,66,1275.13
335000,-989.1602783203125,1805.17,67,23.8502,15.3429,67,1548.74
340000,-259.5430603027344,3259.3,68,23.0812,15.0182,68,3239.81
345000,-1000.5178833007812,1425.76,69,24.3506,13.5437,69,1669.05
350000,-1193.574951171875,1313.04,70,23.5137,15.3005,70,1282.5
355000,-1060.2767333984375,1123.57,71,23.2303,12.4113,71,1172.15
360000,-1084.15966796875,1619.22,72,23.9584,13.0276,72,1295.65
365000,-1261.5882568359375,1257.73,73,24.8899,13.0455,73,1269.27
370000,-1335.8292236328125,1251.58,74,23.9821,16.2601,74,1549.12
375000,-1273.931884765625,1055.79,75,25.0539,14.0082,75,1124.49
380000,-1458.0242919921875,1272.05,76,24.2982,17.3656,76,1275.86
385000,-1217.7294921875,1429.81,77,23.6688,13.6929,77,1526.42
390000,-1102.1444091796875,1698.38,78,24.8165,15.7672,78,1499.19
395000,-851.056396484375,1587.98,79,22.0766,12.696,79,3184.31
400000,-541.8065795898438,2817.48,80,22.9983,13.0112,80,3281.33
405000,-1423.3990478515625,1237.79,81,23.063,16.2286,81,1290.35
410000,-1422.662353515625,1614.53,82,24.6546,14.0904,82,1526.64
415000,-292.4909362792969,2709.21,83,23.3175,14.9633,83,3306.96
420000,-1452.3616943359375,1724.57,84,23.5822,12.9976,84,1406.8
425000,-620.0960083007812,3261.72,85,23.5037,14.2025,85,3361.59
430000,-1238.337890625,1807.39,86,21.4977,12.4227,86,3381.66
435000,-1757.843017578125,1049.15,87,23.5819,16.0235,87,1221.86
440000,-292.4200439453125,2619.07,88,21.6807,13.8963,88,3268.66
445000,-1519.68212890625,1371.04,89,23.4853,13.6949,89,1571.24
450000,-1817.1920166015625,1307.96,90,25.2331,14.5221,90,1223.33
455000,-720.0673828125,2134.99,91,22.1749,12.2234,91,3089.31
460000,-1701.044677734375,1671.72,92,22.8937,13.6443,92,1359.1
465000,-1172.7193603515625,2407.37,93,22.2931,12.3627,93,3207.23
470000,-790.6570434570312,2563.59,94,22.9831,12.703,94,3270.99
475000,-1802.5845947265625,1787.8,95,24.0073,13.3919,95,1792.49
480000,-1010.4905395507812,2094.1,96,24.0672,14.2448,96,3333.35
485000,-918.4597778320312,2911.44,97,21.6079,15.1527,97,3054.38
490000,-1417.5140380859375,2149.76,98,23.7971,13.8002,98,2844.02
495000,-1535.2899169921875,1912.5,99,23.2858,13.4288,99,3321.38
500000,-2202.9677734375,1329.67,100,24.0208,23.4463,100,1294.82
505000,-1614.344482421875,1484.1,101,23.1668,13.5642,101,2451.16
510000,-2123.82421875,1158.32,102,24.9021,15.3256,102,906.65
515000,-1803.4183349609375,2199.69,103,23.3072,16.9287,103,3353.72
520000,-1903.0006103515625,1352.19,104,23.4534,18.0561,104,1297.58
525000,-1131.275146484375,2722.37,105,23.097,15.1805,105,3348.5
530000,-667.322265625,2834.73,106,20.9381,12.3335,106,3318.84
535000,-602.7761840820312,2969.25,107,22.2453,14.6225,107,3417.85
540000,-1057.8819580078125,2714.33,108,22.81,13.6419,108,3275.04
545000,-1920.0836181640625,1642.16,109,23.9058,14.8654,109,3346.96
550000,-1949.135986328125,1395.74,110,23.9276,15.5324,110,2343.81
555000,-1431.3424072265625,2863.4,111,23.0412,16.4571,111,3387.05
560000,-2004.2777099609375,1794.46,112,23.1918,20.5585,112,3404.04
565000,-1087.3282470703125,2804.77,113,21.3431,15.5411,113,3432.7
570000,-1902.0728759765625,2638.87,114,22.6464,17.8071,114,3329.55
575000,-1123.53271484375,791.46,115,22.6752,16.5801,115,539.94
580000,-1874.906494140625,1686.85,116,22.6539,16.7058,116,3059.21
585000,-1671.46142578125,1988.01,117,21.6928,15.7385,117,3401.49
590000,-715.0996704101562,3002.1,118,20.7105,12.7674,118,3383.74
