Itration,Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return
148,40.9193,15.1007,4129.8,4161.79
149,42.2191,17.8691,4139.77,4192.4
150,42.0198,16.7881,4098.56,4102.14
151,41.4863,17.7856,4123.27,4124.8
152,41.9127,16.4588,4023.39,4084.71
153,41.4668,16.6909,4102.76,4168.44
154,41.6235,15.3424,4058.72,4261.16
155,41.5585,16.5353,3999.77,4292.72
156,41.2943,17.0817,4106.04,4174.96
157,41.475,16.2195,3965.43,4248.27
158,41.3129,17.867,3967.96,4200.08
159,41.5947,17.4383,4159.25,4196.77
160,41.5994,16.8038,4102.23,4197.55
161,41.5677,16.132,4092.5,4180.89
162,41.5614,17.6847,4114.3,4131.67
163,41.5625,18.2798,4001.43,4171.84
164,41.202,15.7342,4097.01,4171.34
165,41.1714,16.4563,4163.32,4244.24
166,41.1869,17.8892,4216.67,4267.16
167,41.393,18.0088,4220.9,4287.97
168,40.7971,16.5471,4216.15,4323.27
169,41.5391,17.5723,4069.51,4154.21
170,41.0125,16.7244,4162.73,4241.94
171,41.923,15.2095,4209.77,4317.05
172,41.0502,16.1803,4146.74,4230.43
173,41.3654,16.0405,4171.54,4207.75
174,41.4708,17.6808,4146.21,4189.06
175,40.9252,15.8846,4122.6,4167.51
176,41.2869,16.2401,4211.2,4272.88
177,41.3078,15.8346,4173.09,4189.33
178,41.3975,15.703,4125.41,4236.11
179,41.6086,15.9623,4093.06,4343.5
180,41.4894,17.7128,4163.94,4197.01
181,41.028,16.8516,4229.55,4318.81
182,41.2198,17.6577,4249.18,4280.94
183,41.8095,17.668,4183.24,4196.35
184,41.2936,18.6964,4215.81,4257.84
185,40.6507,16.9826,4231.44,4299.38
186,41.4238,16.8418,4206.53,4212.97
187,41.4094,18.064,4042.46,4335.05
188,41.3431,17.8866,4174.54,4211.57
189,40.8614,16.7013,4261.02,4328.91
190,41.0543,17.1334,4051.83,4275.54
191,40.9055,17.6547,4140.54,4182.07
192,41.0765,16.2633,3965.68,4244.83
193,40.909,16.7275,4177.83,4199.93
194,40.7541,16.5816,4233.67,4308.9
195,41.1764,17.4145,4284.94,4317.98
196,41.1572,15.7414,4048.87,4113.38
197,40.7584,15.8204,4215.95,4269.94
198,41.5266,15.3728,3769.64,4244.93
199,41.1784,16.1308,3997.53,4239.16
200,40.8223,16.3536,4281.35,4334.44
201,40.8933,15.8917,4307.16,4383.1
202,41.0364,16.6791,4325.25,4339.48
203,41.0964,16.2102,4132.74,4373.14
204,40.7215,15.8804,4141.7,4414.48
205,40.6374,16.522,4349.53,4370.1
206,40.6606,15.9973,3933.31,4392.84
207,40.7372,14.5665,4149.67,4388.75
208,41.3107,15.7002,4324.08,4354.96
209,40.6628,16.4089,4165.52,4409.96
210,40.631,16.0584,4287.37,4265.7
211,41.0099,17.0153,4065.83,4364.12
212,41.0957,16.9217,4331.38,4112.8
213,40.8822,16.8668,4310.46,4334.6
214,41.2687,17.4608,4290.12,4304.6
215,40.5888,16.7978,4343.72,4348.07
216,40.6941,16.0156,4365.22,4425.29
217,40.8218,17.2437,4386.89,4431.59
218,40.7979,17.0899,4303.37,4303.55
219,40.4742,16.8066,4294.74,4262.94
220,41.0789,17.008,4266.1,4277.23
221,40.8547,17.2091,4341.31,4373.25
222,42.7706,15.6626,1214.17,6.48
223,44.1268,23.2105,29.41,26.39
224,41.6037,15.541,3752.0,3833.77
225,42.4294,18.7752,3268.76,1141.36
226,40.6452,17.3446,4338.06,4391.9
227,40.9205,17.0105,4325.1,4327.97
228,40.8407,18.5121,4370.9,4391.31
229,40.7595,17.1848,4185.47,4377.21
230,41.2728,15.5722,3116.24,3981.92
231,40.3577,17.1972,4168.93,4408.58
232,41.5632,16.8792,2551.99,3781.15
233,40.8936,17.7782,4206.99,4464.9
234,40.1458,17.9837,4403.9,4481.15
235,40.2358,18.3398,4189.85,4435.78
236,40.5682,16.1637,4355.51,4411.23
237,40.3949,18.3677,4225.05,4505.74
238,40.7289,17.3295,4394.41,4420.75
239,41.0764,17.0085,4419.33,4437.37
240,40.3462,17.9451,4306.55,4449.75
241,40.5965,18.2365,4457.82,4458.88
