Running Env Steps,Real Sto Return,Itration,Reward Loss,Running Reverse KL,Running Forward KL,Real Det Return,Running Update Time
0,-203.12,0,135.72030639648438,11.0033,158.3127,-7.36,0
5000,-81.07,1,-110.0404052734375,11.8287,158.5227,4.3,1
10000,42.76,2,-403.01885986328125,11.9201,158.3092,165.79,2
15000,92.12,3,-623.3113403320312,12.211,158.4119,597.26,3
20000,268.4,4,-898.3299560546875,12.8782,158.3732,724.28,4
25000,321.81,5,-1055.1719970703125,12.5542,158.0069,723.15,5
30000,514.78,6,-1405.145263671875,13.6047,157.9402,927.72,6
35000,561.69,7,-1576.1864013671875,13.6877,158.1773,930.14,7
40000,649.12,8,-1845.0770263671875,14.0375,158.0562,1023.38,8
45000,693.94,9,-2062.349609375,14.2261,158.102,1085.15,9
50000,768.57,10,-2331.593017578125,14.8487,158.4018,1153.16,10
55000,892.98,11,-2578.725830078125,15.246,158.242,1365.69,11
60000,965.41,12,-2753.46484375,15.6193,157.9947,1409.83,12
65000,1016.09,13,-2924.70654296875,16.0275,157.8961,1350.53,13
70000,1114.27,14,-3130.408935546875,16.41,158.037,1566.13,14
75000,1119.45,15,-3270.34326171875,15.9941,157.8035,1517.92,15
80000,1151.02,16,-3466.442138671875,15.8577,157.8652,1553.31,16
85000,1234.33,17,-3650.214599609375,16.6309,157.5948,1690.28,17
90000,1308.78,18,-3899.842041015625,16.5545,157.6086,1677.03,18
95000,1271.89,19,-3875.898193359375,16.6258,157.7505,1680.01,19
100000,1322.5,20,-4245.083984375,16.6603,157.8802,1749.6,20
105000,1388.3,21,-4406.83349609375,16.2943,157.8264,1741.84,21
110000,1392.88,22,-4616.87255859375,17.0256,158.0174,1802.72,22
115000,1448.64,23,-4837.41064453125,17.2285,157.9458,1872.76,23
120000,1441.64,24,-4903.4287109375,16.9155,157.9359,1807.64,24
125000,1452.16,25,-5221.77392578125,16.4481,158.0448,1801.98,25
130000,1434.24,26,-5274.89111328125,16.5285,157.8945,1769.53,26
135000,1491.29,27,-5509.34033203125,16.8244,157.7503,1832.42,27
140000,1506.1,28,-5688.7666015625,16.6913,157.7112,1876.43,28
145000,1536.2,29,-5898.173828125,16.9042,158.0643,1887.25,29
150000,1558.21,30,-6144.5537109375,16.9308,157.7831,1942.18,30
155000,1576.55,31,-6265.74267578125,16.8155,157.5752,1931.49,31
160000,1574.3,32,-6449.66943359375,17.1794,157.8023,1969.14,32
165000,1580.58,33,-6636.06298828125,16.9176,157.7305,1973.57,33
170000,1614.53,34,-6850.21142578125,17.1989,157.4998,2032.46,34
175000,1612.62,35,-7056.49951171875,16.6923,157.714,2019.72,35
180000,1568.42,36,-7205.9208984375,16.2515,157.6396,1921.5,36
185000,1614.96,37,-7507.490234375,16.5618,157.5397,2023.53,37
190000,1606.15,38,-7604.35546875,16.7615,157.7678,1950.64,38
195000,1644.04,39,-7757.80712890625,17.2714,157.7454,2016.69,39
200000,1596.2,40,-8018.54150390625,16.7727,157.5819,1995.63,40
205000,1657.9,41,-8176.0517578125,16.6515,157.6351,2066.97,41
210000,1585.41,42,-8354.982421875,16.405,157.531,1936.83,42
215000,1633.84,43,-8580.9189453125,16.6226,157.5911,2004.92,43
220000,1708.21,44,-8806.365234375,17.074,157.5789,2090.55,44
225000,1637.98,45,-8824.1630859375,16.7019,157.761,1985.85,45
230000,1673.07,46,-9089.7568359375,16.3883,157.589,2045.33,46
235000,1620.29,47,-9234.95703125,16.1671,157.3744,2007.59,47
240000,1665.56,48,-9512.26171875,16.4053,157.348,2032.49,48
245000,1676.66,49,-9657.0986328125,16.4808,157.6762,2056.39,49
250000,1697.66,50,-9750.1416015625,16.6639,157.4537,2045.67,50
255000,1711.61,51,-10067.0771484375,16.6328,157.4991,2100.22,51
260000,1733.26,52,-10264.984375,16.4947,157.3788,2083.07,52
265000,1678.11,53,-10417.5615234375,16.252,157.5097,2042.09,53
270000,1729.53,54,-10615.17578125,16.7466,157.4567,2076.8,54
275000,1706.71,55,-10775.6572265625,16.5311,157.2794,2083.14,55
280000,1752.52,56,-10988.349609375,16.7045,157.1921,2122.73,56
285000,1677.34,57,-11233.138671875,16.2397,157.4148,2010.12,57
290000,1742.7,58,-11396.580078125,16.2017,157.2879,2078.8,58
295000,1743.81,59,-11580.423828125,16.1468,157.1861,2068.17,59
300000,1709.48,60,-11828.119140625,16.6334,157.4103,2010.2,60
305000,1680.57,61,-11969.724609375,16.3518,157.5247,2061.36,61
310000,1672.31,62,-12186.38671875,15.9084,157.5342,1985.27,62
315000,1714.51,63,-12282.8671875,16.0521,157.3193,2089.97,63
320000,1741.23,64,-12482.1484375,16.2731,157.2241,2108.01,64
325000,1743.36,65,-12548.87890625,15.8525,157.0412,2143.21,65
330000,1700.47,66,-12908.5595703125,16.0417,157.3288,2028.29,66
335000,1707.66,67,-13138.787109375,15.87,157.2517,2045.91,67
340000,1720.27,68,-13229.0107421875,15.7243,157.1446,1997.04,68
345000,1723.73,69,-13594.7509765625,16.1001,157.37,2045.91,69
350000,1701.23,70,-13619.6025390625,15.6706,157.1314,1954.21,70
355000,1728.8,71,-13800.220703125,16.102,157.3136,2002.76,71
360000,1729.11,72,-14120.4296875,16.0613,157.0863,2114.23,72
365000,1726.06,73,-14196.5126953125,16.0014,157.206,2080.92,73
370000,1761.08,74,-14343.2529296875,16.1506,156.9529,2155.24,74
375000,1754.13,75,-14572.0126953125,15.956,157.0539,2098.91,75
380000,1738.01,76,-14902.3251953125,15.8816,157.4023,2075.35,76
385000,1746.12,77,-15027.294921875,16.2293,157.2391,2068.89,77
390000,1776.64,78,-15135.3310546875,16.2158,157.2256,2147.2,78
395000,1763.2,79,-15424.083984375,15.6654,156.981,2083.45,79
400000,1739.82,80,-15783.4296875,16.2435,157.4059,2085.9,80
405000,1706.54,81,-15872.2578125,16.0667,157.3152,2032.79,81
410000,1778.1,82,-15955.4189453125,16.1555,156.996,2164.19,82
415000,1771.5,83,-16339.3818359375,16.1102,156.9364,2147.96,83
420000,1736.75,84,-16454.9296875,15.7413,157.2816,2060.15,84
425000,1808.36,85,-16619.9296875,15.8592,156.9546,2154.03,85
430000,1745.07,86,-16920.455078125,15.6263,157.1289,2065.74,86
435000,1757.73,87,-17125.43359375,15.7696,157.1367,2058.26,87
440000,1787.76,88,-17376.87109375,16.39,157.1804,2117.93,88
445000,1796.23,89,-17435.23046875,16.1575,157.0797,2159.55,89
450000,1740.94,90,-17851.2578125,16.0218,157.1686,2060.69,90
455000,1784.98,91,-17941.48828125,15.8188,156.9508,2142.03,91
460000,1822.52,92,-18363.232421875,16.738,157.265,2160.65,92
465000,1805.76,93,-18438.943359375,16.1793,157.129,2130.43,93
470000,1751.95,94,-18573.72265625,15.728,157.052,2078.98,94
475000,1789.95,95,-18911.609375,15.5913,156.9272,2123.78,95
480000,1803.21,96,-19089.28125,15.9434,157.1774,2123.87,96
485000,1828.68,97,-19255.623046875,16.3197,157.1944,2182.51,97
490000,1786.83,98,-19669.556640625,16.3723,157.3397,2174.08,98
495000,1779.83,99,-19798.58203125,15.6052,156.9881,2101.9,99
500000,1799.51,100,-19893.853515625,15.9739,157.0562,2128.2,100
505000,1833.91,101,-20162.65234375,16.0385,156.9397,2169.57,101
510000,1801.38,102,-20467.240234375,16.0815,157.0556,2112.75,102
515000,1763.01,103,-20704.4140625,15.5979,156.7399,2065.29,103
520000,1768.37,104,-20705.974609375,15.6361,157.0664,2106.14,104
525000,1811.17,105,-21061.220703125,15.9867,157.0997,2136.42,105
530000,1742.32,106,-21191.65234375,15.5908,157.1667,1998.47,106
535000,1782.49,107,-21547.18359375,15.7948,157.2072,2073.61,107
540000,1802.45,108,-21584.830078125,15.6543,156.6686,2119.76,108
545000,1800.08,109,-21797.224609375,15.5619,156.763,2138.63,109
550000,1741.53,110,-22345.36328125,15.5648,157.0845,2089.94,110
555000,1804.78,111,-22633.27734375,15.9793,156.9713,2159.47,111
560000,1811.23,112,-22800.869140625,16.2003,157.0539,2147.71,112
565000,1786.56,113,-23071.134765625,15.7197,157.0752,2127.45,113
570000,1824.22,114,-23217.130859375,15.7868,156.9546,2150.05,114
575000,1792.86,115,-23544.150390625,15.9544,156.9966,2151.56,115
580000,1809.49,116,-23636.275390625,15.8991,156.9175,2197.09,116
585000,1845.46,117,-23958.83984375,16.2193,157.1878,2189.2,117
590000,1798.76,118,-24287.216796875,16.1185,156.935,2158.65,118
595000,1775.3,119,-24294.138671875,15.5358,157.1064,2088.13,119
600000,1794.89,120,-24413.91796875,15.5281,156.8544,2092.65,120
605000,1854.95,121,-24924.044921875,15.9019,156.9452,2195.06,121
610000,1839.12,122,-25298.728515625,16.0077,157.0595,2220.35,122
615000,1837.7,123,-25544.84765625,16.2801,157.0306,2159.63,123
620000,1804.54,124,-25781.501953125,15.594,156.8384,2194.06,124
625000,1803.24,125,-25969.84375,15.9004,157.0339,2154.4,125
630000,1837.59,126,-26325.26953125,15.8007,156.9447,2201.03,126
635000,1811.77,127,-26472.416015625,15.8833,156.8941,2140.25,127
640000,1748.94,128,-26401.859375,15.5986,157.0482,2030.02,128
645000,1869.84,129,-26976.40234375,16.175,156.8321,2167.45,129
650000,1782.81,130,-27065.244140625,15.5827,157.0598,2093.8,130
655000,1829.1,131,-27257.78515625,15.5631,156.7401,2204.66,131
660000,1762.93,132,-27553.73828125,15.2934,156.8658,2031.31,132
665000,1814.08,133,-27857.255859375,15.8671,157.0724,2070.47,133
670000,1834.05,134,-28143.87890625,15.9267,157.0838,2190.33,134
675000,1817.93,135,-28533.6484375,15.9542,156.7648,2168.14,135
680000,1850.49,136,-28456.17578125,15.7732,156.917,2168.14,136
685000,1826.21,137,-28854.193359375,15.791,156.835,2173.94,137
690000,1832.29,138,-29149.15625,15.6942,156.9827,2168.02,138
695000,1847.07,139,-29567.630859375,16.0248,156.9608,2208.78,139
700000,1838.68,140,-29510.85546875,15.6338,157.1013,2162.43,140
705000,1838.54,141,-29671.76171875,15.6129,156.728,2209.77,141
710000,1812.86,142,-29793.130859375,15.7224,156.95,2165.27,142
715000,1857.4,143,-30233.076171875,15.7225,156.9534,2209.92,143
720000,1816.2,144,-30390.341796875,15.806,157.114,2167.04,144
725000,1771.87,145,-30768.962890625,15.3998,157.2526,2077.4,145
730000,1834.39,146,-30798.37109375,15.486,156.8989,2153.92,146
735000,1863.32,147,-30967.029296875,15.6639,156.7835,2242.94,147
740000,1813.17,148,-31259.90234375,15.6285,156.7876,2161.14,148
745000,1849.19,149,-31603.201171875,16.0525,156.8186,2178.58,149
750000,1864.02,150,-31422.544921875,15.6791,156.8345,2170.15,150
755000,1834.47,151,-31805.79296875,15.9313,156.8513,2189.94,151
760000,1846.93,152,-32419.287109375,15.4977,157.0198,2150.55,152
765000,1820.39,153,-32208.611328125,15.6468,157.017,2143.14,153
770000,1852.87,154,-32703.15625,15.7042,157.0225,2156.55,154
775000,1863.33,155,-32598.015625,15.7877,156.8077,2184.82,155
780000,1818.32,156,-33031.33984375,15.5744,157.0304,2145.91,156
785000,1812.06,157,-33204.73046875,15.8237,156.9216,2146.97,157
790000,1804.17,158,-33300.359375,15.4779,156.9708,2139.6,158
795000,1850.08,159,-33942.546875,15.8371,157.0448,2163.32,159
800000,1820.45,160,-33511.60546875,15.8796,157.0135,2201.57,160
805000,1870.66,161,-34177.90234375,15.8116,157.0964,2207.67,161
810000,1849.53,162,-34373.28125,15.8647,156.7787,2220.55,162
815000,1835.63,163,-34606.71484375,15.4303,156.8865,2158.52,163
820000,1855.4,164,-34755.39453125,15.7978,156.8163,2205.91,164
825000,1823.06,165,-34837.17578125,15.7116,156.9792,2165.56,165
830000,1838.59,166,-34691.296875,15.1242,156.6376,2191.34,166
835000,1827.76,167,-35413.52734375,15.4198,156.9263,2194.17,167
840000,1878.91,168,-35737.8828125,16.0518,157.0006,2251.5,168
845000,1872.32,169,-36176.7421875,16.0993,157.0198,2214.25,169
850000,1892.77,170,-35974.12890625,15.9263,157.0785,2202.08,170
855000,1807.23,171,-36419.0546875,15.2799,156.9509,2109.5,171
860000,1872.18,172,-36560.7734375,15.5667,156.9014,2200.2,172
865000,1825.29,173,-36827.93359375,15.6095,157.0561,2176.39,173
870000,1845.91,174,-36914.18359375,15.8058,156.9433,2155.95,174
