Real Sto Return,Running Reverse KL,Itration,Running Forward KL,Real Det Return
-210.73,11.6257,0,158.3664,-9.27
-101.63,11.3639,1,158.0357,-37.81
49.21,11.3243,2,158.0102,70.81
203.75,11.8665,3,158.0664,45.51
304.33,12.5743,4,158.2163,668.79
348.66,11.8454,5,157.754,825.36
512.34,12.8895,6,157.9504,964.14
584.59,12.9153,7,158.1017,947.1
761.64,14.7386,8,158.09,1246.37
872.62,14.4485,9,157.893,1159.35
911.77,15.0589,10,157.7459,1258.34
974.63,14.8029,11,157.7391,1481.39
1092.04,14.924,12,157.7735,1495.55
1200.12,15.3816,13,157.627,1594.68
1219.45,16.026,14,157.7127,1614.83
1435.09,14.8489,15,157.5518,1824.96
1440.08,14.7559,16,157.5213,1923.06
1855.16,14.2158,17,157.1297,2383.12
2226.11,14.7619,18,156.9454,2862.88
2253.35,14.2517,19,156.9741,2814.4
2778.59,14.4155,20,156.5769,3497.69
2571.42,15.0933,21,156.5068,3574.45
2821.5,14.5456,22,156.4506,3699.86
3475.09,14.9327,23,156.6113,4108.23
3331.37,15.8741,24,156.6406,3958.88
3556.34,15.0635,25,156.3386,4185.61
3762.49,15.8861,26,156.4987,4175.55
3904.32,15.7362,27,156.3514,4595.64
4005.8,15.3467,28,156.1365,4626.28
4157.09,15.4104,29,155.9008,4773.29
4257.14,15.6567,30,155.9965,4910.38
4255.09,15.6043,31,155.821,5087.59
4336.61,14.6804,32,155.2441,4991.33
4351.48,15.1737,33,155.7036,5059.85
4587.15,14.6522,34,155.0862,5182.65
4693.58,14.6539,35,155.5399,5153.0
4756.5,15.3102,36,154.7292,5327.95
4898.28,14.9429,37,154.9522,5463.03
4889.18,15.2406,38,155.1436,5532.13
5135.84,14.6624,39,154.4704,5633.14
5123.0,14.917,40,154.4216,5702.92
5306.25,15.4984,41,154.7477,5811.23
5442.28,15.0651,42,154.5658,5994.33
5562.95,15.252,43,154.1695,6028.72
5511.92,15.0596,44,154.3194,6270.8
5862.48,15.6144,45,154.1693,6200.87
5770.82,15.4723,46,154.1602,6357.0
6095.43,15.585,47,153.5652,6574.49
6001.93,15.286,48,153.8667,6597.16
6001.32,16.0908,49,154.0389,6382.77
5986.07,15.3995,50,153.2814,6640.48
5897.14,15.1718,51,153.1704,6678.4
6325.55,15.3223,52,152.7859,6859.18
6400.19,15.682,53,153.065,6832.75
6473.0,15.258,54,152.9207,7005.72
6440.5,15.2956,55,152.3853,6755.7
6760.74,15.3991,56,152.4898,7027.37
6589.96,14.2688,57,151.9193,7242.97
6731.11,15.4124,58,152.379,7209.74
6794.15,16.0266,59,152.6099,7196.95
6726.13,15.5438,60,151.9912,7445.96
6943.25,15.8642,61,152.5641,7369.63
6742.15,15.3901,62,152.6211,7182.9
7126.52,15.4946,63,151.5593,7373.42
7108.24,15.6384,64,151.6089,7657.93
7133.34,15.1487,65,152.043,7643.22
7112.17,14.7145,66,151.7871,7678.93
7291.46,15.7534,67,151.6532,7712.08
6970.54,16.0229,68,151.9571,7421.49
7232.28,15.5185,69,151.8879,7636.53
7475.56,16.271,70,151.4524,7942.25
7138.25,15.6874,71,151.9298,7809.32
7625.82,15.2532,72,151.0706,8039.45
7465.97,15.469,73,151.6822,8032.24
7411.07,15.8703,74,151.8073,7819.85
7823.52,16.0726,75,151.6794,8227.06
7596.85,15.4961,76,151.1359,8092.46
7797.76,16.3546,77,150.991,8248.13
7480.41,15.9101,78,152.2328,7852.74
7784.83,16.2553,79,150.9846,8177.34
7722.58,15.378,80,151.9727,8171.92
7882.01,15.6559,81,150.6893,8298.82
7886.75,15.657,82,150.782,8440.83
7917.3,16.3276,83,150.982,8455.84
7906.84,16.0786,84,150.8124,8352.84
7962.94,16.4486,85,151.3952,8408.94
7946.98,15.9346,86,150.7583,8402.71
8043.04,15.722,87,150.6465,8599.47
8134.31,15.5528,88,150.5571,8678.67
8181.79,15.82,89,150.5456,8716.8
8127.53,15.8361,90,150.5171,8567.63
8465.16,15.8402,91,150.2307,8956.25
7962.02,15.4092,92,149.8474,8728.9
7918.17,15.652,93,150.424,8420.14
8361.85,16.0729,94,149.8115,8740.41
8289.3,16.3388,95,149.6774,8763.8
8401.56,16.0853,96,149.8994,8616.81
8031.71,15.6682,97,150.1608,8352.25
8086.38,15.4691,98,149.8906,8594.39
8127.75,14.764,99,149.199,8766.31
8514.72,15.9496,100,149.4479,9026.52
8327.06,16.4456,101,150.0525,8813.95
7709.63,15.1054,102,148.882,8696.79
8284.35,16.2278,103,149.237,9264.17
