Running Reverse KL,Reward Loss,Running Update Time,Running Forward KL,Running Env Steps,Itration,Real Det Return,Real Sto Return
11.5221,48.85894012451172,0,158.5059,0,0,-5.74,-190.65
11.5537,0.9224414825439453,1,158.2661,5000,1,-31.45,-67.76
11.6516,-3.883659839630127,2,158.1569,10000,2,674.8,36.78
11.9539,64.29320526123047,3,157.8939,15000,3,708.64,215.89
12.157,26.05044937133789,4,157.8079,20000,4,785.73,342.43
12.9024,-18.036483764648438,5,157.521,25000,5,1038.61,510.71
13.316,-46.621620178222656,6,157.5463,30000,6,1173.04,660.58
13.8048,-75.15919494628906,7,157.8476,35000,7,1172.45,718.51
14.6147,-85.8317642211914,8,158.04,40000,8,1234.21,846.81
15.03,-130.49745178222656,9,157.8727,45000,9,1317.25,946.86
15.6237,-160.4201202392578,10,157.9321,50000,10,1368.48,1046.04
15.6057,-223.5521697998047,11,157.8869,55000,11,1459.92,1067.72
16.112,-238.99215698242188,12,158.1281,60000,12,1571.98,1156.34
16.2948,-282.328857421875,13,158.0256,65000,13,1604.66,1194.3
16.2061,-309.1335754394531,14,157.9398,70000,14,1696.69,1208.52
15.9543,-348.5885925292969,15,158.1035,75000,15,1723.46,1308.51
16.2191,-399.4427795410156,16,158.1041,80000,16,1677.42,1316.13
16.0654,-450.7979736328125,17,157.9822,85000,17,1727.05,1328.37
16.062,-482.287353515625,18,157.8626,90000,18,1765.55,1430.12
16.4794,-494.4723815917969,19,157.9635,95000,19,1809.92,1431.91
16.4553,-526.7355346679688,20,157.9009,100000,20,1859.64,1443.29
16.6704,-575.5087890625,21,157.8394,105000,21,1860.54,1490.88
16.3353,-610.6940307617188,22,157.7841,110000,22,1844.87,1505.64
16.1206,-657.4517211914062,23,157.6341,115000,23,1862.04,1513.61
16.3376,-694.9933471679688,24,157.7053,120000,24,1909.66,1503.98
16.1094,-742.2496337890625,25,157.6768,125000,25,1848.28,1518.1
16.3202,-758.389892578125,26,157.7098,130000,26,1939.48,1522.41
16.2065,-808.61865234375,27,157.5529,135000,27,1909.72,1566.55
16.3005,-835.8564453125,28,157.467,140000,28,1910.52,1540.84
15.9973,-858.5217895507812,29,157.4065,145000,29,1964.85,1546.25
16.1474,-910.0208740234375,30,157.4214,150000,30,1946.47,1601.93
16.2338,-927.0670776367188,31,157.4849,155000,31,1956.43,1586.79
16.0932,-980.323974609375,32,157.4249,160000,32,1934.66,1562.11
16.4438,-1018.6507568359375,33,157.6043,165000,33,1991.07,1594.7
16.1273,-1065.8514404296875,34,157.3328,170000,34,1982.84,1587.39
16.1004,-1089.0367431640625,35,157.3812,175000,35,2017.78,1634.44
16.3814,-1138.4722900390625,36,157.1991,180000,36,2027.68,1664.82
16.2053,-1149.512939453125,37,157.4408,185000,37,1989.11,1640.1
16.4477,-1177.8470458984375,38,157.1779,190000,38,2016.04,1685.56
15.8922,-1224.7762451171875,39,157.2021,195000,39,1978.81,1630.07
16.5032,-1254.57470703125,40,157.1355,200000,40,2081.26,1698.63
16.0816,-1293.7481689453125,41,157.3512,205000,41,2028.23,1660.01
