Running Env Steps,Running Update Time,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL,Reward Loss,Itration
0,0,16.97,230.93,215.74,31.7735,329.9300537109375,0
5000,1,17.4854,329.96,345.43,28.9726,254.89715576171875,1
10000,2,19.3259,301.98,301.79,29.1193,183.5025177001953,2
15000,3,19.1201,299.67,270.66,28.4211,210.99429321289062,3
20000,4,18.5062,371.62,363.68,28.7973,101.01954650878906,4
25000,5,18.6745,658.32,755.01,25.2126,63.960243225097656,5
30000,6,17.3806,543.68,604.24,25.2156,39.256649017333984,6
35000,7,16.279,557.43,572.37,28.0636,19.02181053161621,7
40000,8,15.2535,532.17,561.7,25.8274,-34.64350509643555,8
45000,9,15.1053,577.37,592.31,26.1597,-31.76118278503418,9
50000,10,16.1576,643.51,657.95,25.6367,-108.92882537841797,10
55000,11,16.7319,925.26,1161.76,24.7302,-198.50735473632812,11
60000,12,14.1285,1018.52,2641.03,24.6159,-47.641624450683594,12
65000,13,17.938,784.63,821.87,24.9221,-373.2833251953125,13
70000,14,13.4517,2432.43,2685.73,23.1843,-70.99211883544922,14
75000,15,13.6024,2405.72,2865.12,23.2226,12.079178810119629,15
80000,16,12.6396,892.41,1701.36,22.708,-42.64881134033203,16
85000,17,14.1477,1413.51,1230.34,22.9532,-212.61668395996094,17
90000,18,20.0114,930.05,914.7,24.1715,-527.3612060546875,18
95000,19,15.8735,1381.26,293.86,23.0461,-320.6995849609375,19
100000,20,16.3089,1456.83,1026.02,23.1178,-427.4885559082031,20
105000,21,16.5375,1285.54,2330.62,24.5539,-430.7003479003906,21
110000,22,14.8913,2354.53,3154.07,22.6595,-311.5903015136719,22
115000,23,16.4255,3121.81,3157.2,23.1294,-24.65895652770996,23
120000,24,14.9386,2418.06,3208.18,22.5921,-182.04396057128906,24
125000,25,15.1075,2696.39,3092.16,22.3656,-74.90290832519531,25
130000,26,13.6544,2825.14,3142.64,22.0317,-146.00172424316406,26
135000,27,14.9247,3010.96,3170.05,22.3689,-23.855266571044922,27
140000,28,12.7039,2523.48,3205.58,22.2675,-221.71063232421875,28
145000,29,13.9776,3005.22,3138.29,21.3379,-43.80695343017578,29
150000,30,15.3513,2953.72,3095.08,22.0613,-129.13719177246094,30
155000,31,13.218,2761.57,3147.1,22.2938,-219.97265625,31
160000,32,12.5862,2198.49,2618.38,22.767,-487.7511901855469,32
165000,33,13.1975,2445.99,2158.79,22.2294,-307.9921569824219,33
170000,34,12.9223,1743.49,2611.0,21.7426,-540.8480224609375,34
175000,35,12.1911,1239.21,1352.49,24.0508,-707.6033325195312,35
180000,36,13.5432,3062.39,3085.2,21.4597,-221.63641357421875,36
185000,37,15.2359,1912.77,2046.34,21.5214,-716.3402099609375,37
190000,38,12.7097,2462.45,3198.63,21.4197,-315.0965576171875,38
195000,39,13.1656,2163.19,3221.44,21.7953,-430.0986633300781,39
200000,40,14.674,3007.48,3165.68,21.9326,-330.531982421875,40
205000,41,15.1189,1249.13,1134.89,21.6577,-900.203125,41
210000,42,15.5372,1601.76,1111.16,22.5531,-828.3255615234375,42
215000,43,14.6925,2229.31,3202.96,21.7396,-440.1695861816406,43
220000,44,14.612,2961.6,3189.76,21.9424,-393.1626892089844,44
225000,45,18.8335,1478.91,1232.57,21.1582,-780.3074340820312,45
230000,46,13.7656,2789.94,3160.37,21.0481,-321.67193603515625,46
235000,47,15.2531,2349.03,3105.1,20.3592,-506.57794189453125,47
240000,48,14.748,2464.43,3162.22,21.558,-278.9783020019531,48
245000,49,17.6808,2158.54,3119.08,21.2773,-900.9923706054688,49
250000,50,15.1316,2540.42,3182.23,21.6061,-500.5331115722656,50
255000,51,13.523,2117.98,3185.94,20.3886,-403.8560485839844,51
260000,52,14.9664,2784.35,3182.28,21.0847,-629.1470336914062,52
265000,53,13.4571,2861.72,3152.36,20.6904,-454.36474609375,53
270000,54,13.8161,2590.0,3183.16,20.6346,-743.278076171875,54
275000,55,13.9166,3069.35,3174.86,20.8633,-324.0572204589844,55
280000,56,13.9665,2811.18,3193.55,21.421,-451.7999267578125,56
285000,57,14.06,2992.11,3154.06,21.5755,-304.39044189453125,57
290000,58,14.0548,2519.81,3229.5,20.9335,-605.52392578125,58
295000,59,13.7975,2602.49,3191.33,21.0691,-563.64306640625,59
300000,60,14.1552,3107.16,3168.16,21.6939,-337.4828796386719,60
305000,61,13.9173,3144.42,3160.21,21.2392,-367.4726867675781,61
310000,62,15.0895,2860.02,3200.05,21.0508,-745.8765258789062,62
315000,63,14.3825,2898.66,3152.05,21.3421,-369.9046630859375,63
320000,64,12.6458,3042.7,3168.22,20.1093,-377.3594970703125,64
325000,65,12.706,3199.0,3230.09,20.4557,-568.7164916992188,65
330000,66,12.1194,2923.85,3172.06,19.7357,-416.87060546875,66
335000,67,12.7285,3082.16,3192.14,20.2291,-362.5633544921875,67
340000,68,14.7997,2284.78,3205.99,21.1849,-1050.672119140625,68
345000,69,12.7041,3077.7,3219.43,20.4365,-411.6733093261719,69
350000,70,12.9559,3089.16,3217.71,20.6323,-463.1630554199219,70
355000,71,13.2549,1640.52,3145.04,21.234,-1111.0787353515625,71
360000,72,12.973,2969.79,3225.56,20.1201,-829.6046752929688,72
365000,73,12.8743,2923.03,3206.22,20.9275,-457.1785888671875,73
370000,74,13.508,3176.06,3225.68,20.5863,-479.2539978027344,74
375000,75,13.8968,3101.77,3192.11,21.723,-524.1853637695312,75
380000,76,11.5695,2828.92,3232.95,20.0447,-632.0896606445312,76
385000,77,13.0896,3185.97,3227.49,20.6529,-463.8322448730469,77
390000,78,13.1312,3134.97,3200.14,20.8857,-512.908935546875,78
395000,79,12.2646,2842.66,3193.47,19.516,-451.95843505859375,79
400000,80,14.8162,1445.75,1587.54,22.3039,-1335.0631103515625,80
405000,81,12.9059,2722.15,3232.87,21.0418,-653.39306640625,81
410000,82,12.9801,3119.42,3205.36,20.294,-576.8130493164062,82
415000,83,12.5546,3152.3,3198.47,19.8682,-526.1561889648438,83
420000,84,12.8402,2985.34,3258.82,19.9368,-771.1170043945312,84
425000,85,11.7492,2678.18,3223.95,19.8458,-570.7181396484375,85
430000,86,11.5699,2892.89,3166.6,20.6693,-645.6749877929688,86
435000,87,12.9582,3188.28,3209.14,20.4991,-563.3818969726562,87
440000,88,12.4597,3244.06,3227.31,20.0525,-555.6793823242188,88
445000,89,12.3558,3078.93,3194.43,19.9119,-811.74365234375,89
450000,90,12.3962,2842.86,3231.03,20.0375,-648.7410278320312,90
455000,91,13.2121,3158.37,3234.93,20.9622,-769.6297607421875,91
460000,92,11.9914,3055.94,3209.42,19.8716,-641.0861206054688,92
465000,93,11.4503,2965.43,3206.95,19.034,-530.2840576171875,93
470000,94,11.1194,3147.52,3172.93,19.5737,-551.4406127929688,94
475000,95,13.3049,1808.38,3219.98,21.4912,-1385.88818359375,95
480000,96,11.6819,3156.2,3232.77,19.6488,-652.843994140625,96
485000,97,10.93,2662.23,3215.79,19.0322,-569.2005004882812,97
490000,98,13.6602,3122.46,3250.83,20.2281,-829.3274536132812,98
495000,99,15.8026,2997.1,3225.47,19.9007,-1095.939208984375,99
500000,100,12.822,3007.07,3233.19,19.8479,-770.080078125,100
505000,101,16.1299,2805.34,2249.9,20.2813,-1189.9481201171875,101
510000,102,13.8118,3204.32,3220.45,20.0487,-817.2725219726562,102
515000,103,14.1072,3184.77,3179.42,20.2466,-808.1612548828125,103
520000,104,12.878,3069.97,3220.29,20.2055,-701.8557739257812,104
525000,105,17.4791,1963.71,1227.34,20.8194,-1192.6923828125,105
530000,106,12.6225,2941.15,3218.15,20.2152,-777.862548828125,106
535000,107,12.8186,2937.08,3215.44,19.8927,-786.014892578125,107
540000,108,13.6624,2641.23,3295.63,19.5453,-849.6797485351562,108
545000,109,13.9662,2993.85,3275.39,20.5776,-868.2483520507812,109
550000,110,12.0191,3245.11,3220.64,19.1701,-739.5101928710938,110
555000,111,19.3962,1880.69,2427.5,19.7974,-1281.4881591796875,111
560000,112,16.1683,2335.89,2991.33,20.1966,-1141.813232421875,112
565000,113,10.4292,3077.71,3293.69,18.4476,-656.989990234375,113
570000,114,11.3148,2876.39,3335.41,19.9599,-657.552734375,114
