Running Forward KL,Running Reverse KL,Real Det Return,Real Sto Return,Itration
158.5871,11.7266,-24.14,-197.58,0
158.3682,11.8979,846.26,33.18,1
158.5576,13.774,856.14,290.39,2
158.2807,14.6439,929.38,487.85,3
158.0218,14.6868,951.99,599.63,4
158.1871,14.5892,956.45,587.18,5
158.1525,14.3436,993.1,639.87,6
158.2475,14.5218,1111.33,681.16,7
158.2526,14.5949,1140.34,735.63,8
158.077,15.0302,702.97,851.45,9
158.1258,14.7403,1156.02,840.3,10
158.2272,16.0502,1438.76,1047.43,11
158.0074,16.0565,1451.09,1060.67,12
157.992,16.1349,1500.22,1116.54,13
157.7893,16.2848,1554.24,1148.9,14
157.989,16.2791,1594.08,1185.42,15
157.9791,16.4533,1684.18,1194.07,16
157.9613,16.5191,1687.58,1266.7,17
157.9654,16.6406,1740.03,1308.38,18
157.8085,16.5449,1742.98,1320.62,19
157.8737,16.5149,1782.2,1366.22,20
157.7237,16.5182,1825.63,1404.38,21
157.9016,16.6819,1826.53,1417.58,22
157.8645,16.7054,1861.12,1373.86,23
157.7277,16.8056,1859.87,1502.12,24
157.9628,16.7154,1874.53,1492.17,25
157.9611,16.7655,1836.28,1483.32,26
157.8389,16.9843,1873.03,1500.77,27
157.8411,16.9793,1937.53,1555.9,28
157.8405,16.7491,1941.81,1573.2,29
157.6174,16.6211,1946.09,1539.31,30
157.775,16.7656,1935.53,1555.44,31
157.7259,16.9091,1960.74,1575.29,32
157.722,16.7176,1945.87,1520.44,33
157.6935,17.243,1960.55,1617.96,34
157.508,16.9054,2009.79,1637.26,35
157.5619,16.8208,2015.48,1631.09,36
157.5893,17.0936,2028.1,1638.13,37
157.4008,16.3369,2006.02,1638.53,38
157.5204,16.5876,2013.29,1665.42,39
157.3881,16.7271,2057.44,1673.57,40
157.2944,16.9582,2030.56,1674.13,41
157.543,16.6757,1996.29,1655.81,42
157.5234,16.5985,2019.88,1684.28,43
157.4804,16.5126,2034.95,1663.2,44
157.1567,16.3532,2032.39,1667.75,45
157.3964,16.7009,2068.6,1704.14,46
157.3593,16.5059,1997.76,1685.71,47
157.3237,16.647,2008.03,1669.0,48
157.038,16.4357,2071.17,1601.81,49
157.1956,16.6034,2062.64,1711.09,50
157.2095,16.4603,2044.27,1699.32,51
157.271,16.5094,2065.59,1705.89,52
157.0821,16.4689,2113.05,1718.44,53
157.2228,16.2666,2075.47,1719.09,54
157.2517,16.4354,2090.95,1730.12,55
157.0874,16.4474,2081.48,1730.34,56
157.244,15.8588,2000.96,1646.46,57
157.26,16.2978,2094.89,1732.68,58
157.1367,16.123,2057.78,1725.29,59
157.1558,16.26,2073.34,1715.57,60
157.1973,16.2402,2119.37,1686.27,61
157.2824,16.2884,2107.21,1739.23,62
157.1442,16.3711,2119.98,1764.41,63
157.127,15.9024,2100.33,1745.71,64
157.1252,16.205,2130.97,1773.63,65
156.9765,16.237,2131.84,1780.8,66
157.071,16.541,2159.54,1775.98,67
157.1336,16.2986,2146.18,1769.18,68
157.1012,16.0599,2112.36,1743.85,69
156.9561,16.3201,2151.85,1773.66,70
157.241,16.4272,2158.22,1780.43,71
157.0561,16.426,2113.65,1770.59,72
157.1052,16.1509,2144.99,1774.79,73
157.2441,16.017,2072.54,1718.99,74
156.9951,16.1369,2134.05,1791.77,75
157.0393,16.1337,2123.58,1760.79,76
156.8912,16.2141,2131.72,1807.84,77
156.9934,16.1777,2173.97,1791.62,78
157.0127,16.0966,2146.46,1778.02,79
156.9778,16.0266,2115.6,1745.7,80
157.1112,16.5121,2182.45,1820.09,81
156.97,16.0043,2108.07,1763.35,82
157.0719,16.0066,2140.75,1775.44,83
156.8793,15.907,2112.8,1779.07,84
156.9849,15.5088,2109.59,1756.04,85
156.9625,16.133,2179.73,1802.8,86
157.0371,15.9139,2123.34,1773.77,87
156.9597,15.8507,2041.49,1766.38,88
156.9422,16.014,2205.15,1822.7,89
156.7819,16.0917,2162.29,1808.99,90
156.9127,16.1868,2143.61,1821.52,91
156.9767,15.7145,2155.5,1774.84,92
156.9859,15.7835,2158.11,1795.6,93
157.1,16.2523,2151.68,1783.36,94
156.8391,15.693,2152.31,1765.29,95
156.6477,15.7139,2187.27,1813.69,96
156.7424,15.8763,2143.74,1810.83,97
156.9493,16.2899,2193.02,1811.58,98
156.8521,15.9126,2199.55,1813.69,99
157.001,15.9223,2197.57,1809.7,100
156.9107,16.1243,2184.35,1807.48,101
156.912,16.002,2201.82,1852.64,102
156.8042,15.8257,2192.45,1839.41,103
156.8729,16.2175,2232.41,1852.0,104
157.1012,16.0156,2171.17,1811.65,105
156.9971,16.2981,2214.03,1822.15,106
156.8257,15.9299,2177.78,1804.36,107
157.1267,16.2444,2242.93,1848.6,108
156.9035,15.4333,2143.35,1804.48,109
156.7217,15.6482,2216.18,1867.07,110
156.7697,15.3702,2176.34,1801.25,111
