Running Update Time,Real Sto Return,Running Forward KL,Running Reverse KL,Running Env Steps,Itration,Real Det Return,Reward Loss
0,233.55,451.3859,261.0532,0,0,205.08,-5964.33837890625
1,353.01,430.0033,244.2986,5000,1,370.87,-5073.98486328125
2,388.39,414.1859,253.3556,10000,2,450.96,-5128.46435546875
3,411.56,415.0359,246.3869,15000,3,346.52,-5675.0908203125
4,319.32,445.3225,262.5361,20000,4,387.3,-5891.79541015625
5,439.61,427.8738,264.0806,25000,5,377.83,-5873.15185546875
6,411.85,426.9094,257.661,30000,6,531.21,-6426.7666015625
7,417.75,420.3108,281.9457,35000,7,494.49,-6676.98974609375
8,432.04,432.9927,278.894,40000,8,418.29,-7132.09521484375
9,455.5,437.9734,274.7075,45000,9,405.69,-7295.80126953125
10,497.62,425.9342,265.5229,50000,10,548.49,-7318.42138671875
11,469.54,424.0153,264.991,55000,11,581.17,-7551.09375
12,484.34,431.59,266.1192,60000,12,539.55,-7929.30029296875
13,490.95,421.0843,283.8474,65000,13,540.82,-8567.283203125
14,523.01,424.7947,271.4499,70000,14,616.62,-8519.498046875
15,549.03,425.0777,270.7155,75000,15,515.46,-8853.6044921875
16,514.53,425.9158,263.7975,80000,16,688.0,-8683.912109375
17,489.28,428.513,257.4843,85000,17,552.22,-8949.7080078125
18,502.15,414.3092,292.7407,90000,18,537.81,-9368.3681640625
19,534.51,422.4418,254.7517,95000,19,646.54,-9314.029296875
20,499.17,414.6862,264.3058,100000,20,509.86,-9919.80859375
21,534.04,412.3826,288.9388,105000,21,472.86,-9529.3828125
22,573.69,404.9968,264.8596,110000,22,565.64,-9903.5390625
23,553.03,394.3062,270.4869,115000,23,606.41,-9830.76171875
24,615.36,409.5482,258.6894,120000,24,604.23,-9647.7607421875
25,571.53,397.4142,264.5683,125000,25,519.4,-10101.259765625
26,491.38,414.2931,260.4502,130000,26,500.44,-10211.4228515625
27,614.16,390.3397,250.7689,135000,27,478.32,-10091.4150390625
28,599.79,404.0976,273.6095,140000,28,622.4,-10566.171875
29,483.43,405.5242,275.2614,145000,29,541.53,-10286.607421875
30,636.29,394.5979,258.1709,150000,30,508.44,-10166.9296875
31,625.65,402.9952,265.1709,155000,31,544.29,-10817.8896484375
32,585.2,394.8167,253.8172,160000,32,595.89,-10420.044921875
33,597.95,402.3603,265.398,165000,33,671.95,-10938.0009765625
34,659.95,402.0075,266.628,170000,34,500.8,-11080.6640625
35,755.59,403.0787,242.5539,175000,35,637.26,-10849.5830078125
36,661.53,394.5991,244.2709,180000,36,512.43,-11353.216796875
37,671.35,403.1476,248.072,185000,37,567.96,-11204.5
38,689.58,392.9633,232.4348,190000,38,699.73,-11183.783203125
39,667.12,382.9159,248.2801,195000,39,615.63,-11412.12890625
40,694.24,377.3698,253.0026,200000,40,740.58,-11578.0146484375
41,594.26,409.7655,244.4976,205000,41,572.94,-11695.6806640625
42,795.87,384.7089,250.0782,210000,42,640.42,-11986.666015625
43,734.52,403.6831,235.1544,215000,43,664.18,-11736.4697265625
44,811.12,390.5027,243.6508,220000,44,671.74,-11957.1171875
45,760.14,393.8646,243.8913,225000,45,709.6,-12545.96484375
46,847.35,380.285,227.4294,230000,46,876.94,-11573.4482421875
47,813.91,400.7539,242.2388,235000,47,857.81,-12593.98046875
48,893.17,390.0258,254.2277,240000,48,827.62,-12811.779296875
49,849.96,393.351,261.4276,245000,49,566.27,-12561.6298828125
50,957.25,374.0659,244.7549,250000,50,670.02,-11891.2216796875
51,1022.87,376.6516,222.34,255000,51,789.22,-12223.68359375
52,1000.44,372.2156,224.8299,260000,52,793.18,-11542.5009765625
53,856.12,389.483,238.5579,265000,53,735.25,-12470.53515625
54,680.65,402.5209,255.643,270000,54,548.44,-13234.6474609375
55,838.67,388.4883,236.8722,275000,55,637.91,-12631.7314453125
56,1031.94,381.8999,236.1639,280000,56,847.53,-12734.166015625
57,963.61,382.8642,233.5517,285000,57,800.93,-12794.80859375
58,988.54,383.8999,230.9047,290000,58,669.87,-12589.3037109375
59,938.88,375.2601,238.1609,295000,59,557.97,-12750.732421875
60,990.75,397.4749,240.0056,300000,60,559.88,-12925.162109375
61,781.69,388.925,263.8529,305000,61,537.41,-13656.3330078125
62,1327.13,372.9787,250.6391,310000,62,582.49,-13357.830078125
63,2070.42,345.6483,184.1746,315000,63,698.54,-9429.939453125
64,1404.93,364.4488,207.6788,320000,64,577.99,-11794.53125
65,1308.46,354.0544,202.485,325000,65,932.6,-11713.224609375
66,1351.62,367.0141,239.1455,330000,66,1472.2,-12659.4716796875
67,1895.96,352.0715,204.8712,335000,67,936.92,-11407.638671875
68,1659.36,362.9741,195.2175,340000,68,940.06,-11175.0908203125
69,1530.02,372.5447,240.5033,345000,69,599.73,-12923.2080078125
70,1296.66,372.5195,222.9692,350000,70,757.67,-12545.619140625
71,1761.24,357.5177,227.0363,355000,71,1078.71,-12460.76953125
72,2398.18,341.4383,167.8763,360000,72,1173.11,-8758.9404296875
73,3275.5,338.8599,158.1898,365000,73,1589.35,-7156.865234375
74,2823.7,352.5442,184.4579,370000,74,960.63,-10375.296875
75,2496.75,376.3675,205.5289,375000,75,1116.98,-11856.25390625
76,2028.24,372.006,196.2769,380000,76,1731.74,-10965.318359375
77,2855.12,334.4498,155.7604,385000,77,1772.45,-8875.36328125
78,4241.74,339.4181,157.8009,390000,78,666.86,-7174.4375
79,2657.0,360.5751,210.6886,395000,79,517.48,-11299.640625
80,3835.74,333.7811,157.2172,400000,80,1054.54,-7905.81689453125
81,4574.03,334.888,154.4208,405000,81,805.62,-7611.5458984375
82,4386.09,331.9016,157.0953,410000,82,1672.61,-8674.28125
83,3176.78,352.4445,167.0812,415000,83,491.35,-9271.822265625
84,3374.16,346.7595,165.1973,420000,84,510.34,-8606.3896484375
85,4126.77,331.8209,154.0808,425000,85,605.52,-7263.77001953125
86,3735.4,342.077,174.0954,430000,86,656.49,-9548.90234375
87,3344.6,349.6726,178.7217,435000,87,620.31,-9904.3447265625
88,4165.84,331.0562,159.688,440000,88,642.11,-8356.05859375
89,4416.35,343.2025,167.7402,445000,89,1154.38,-9539.890625
90,4024.19,331.1497,148.6147,450000,90,2452.16,-8562.619140625
91,3763.81,344.227,176.1557,455000,91,1056.42,-10758.0986328125
92,4188.2,350.831,176.3051,460000,92,2497.93,-10360.6865234375
93,3607.63,344.5073,178.86,465000,93,1332.89,-10789.1640625
94,3658.47,338.6478,162.8291,470000,94,553.52,-10746.392578125
95,3628.57,331.6344,149.9982,475000,95,865.03,-10778.076171875
96,4333.74,324.9922,152.6626,480000,96,1321.44,-10228.9189453125
97,1437.22,357.1184,188.411,485000,97,725.99,-12673.986328125
98,4887.7,326.4486,147.3317,490000,98,1408.74,-10205.2578125
99,4153.18,329.7179,157.9303,495000,99,2485.52,-11055.1796875
100,4669.77,332.2904,163.3215,500000,100,1569.06,-11186.51171875
101,4827.26,333.3723,158.9697,505000,101,1185.56,-11159.2373046875
102,4890.81,336.5802,161.9602,510000,102,1561.48,-12229.38671875
103,3094.97,332.2782,159.4122,515000,103,1045.64,-11929.3369140625
104,4810.8,328.9721,150.6377,520000,104,1053.83,-11975.416015625
105,3164.73,340.1691,167.3937,525000,105,1479.49,-12970.607421875
106,3341.85,343.3953,179.2766,530000,106,2192.61,-13061.201171875
107,3625.3,338.5022,163.3642,535000,107,1900.24,-12893.0888671875
108,4135.83,330.3722,153.7098,540000,108,1699.43,-12716.546875
109,4655.39,329.7582,152.1716,545000,109,1717.46,-13001.7587890625
110,3382.86,334.8218,151.7633,550000,110,577.09,-13071.783203125
111,3219.75,333.3658,164.0443,555000,111,2116.76,-12922.3115234375
112,4543.46,335.5666,162.4113,560000,112,2406.66,-13730.068359375
113,3586.81,329.7134,160.6267,565000,113,917.03,-13463.001953125
114,3053.25,330.1728,180.003,570000,114,1763.44,-13982.353515625
115,4764.08,333.7549,149.9535,575000,115,3666.63,-13639.2705078125
116,3277.5,327.4594,147.8759,580000,116,4156.75,-13663.8232421875
117,4198.64,333.6005,146.2449,585000,117,4678.45,-13590.9619140625
118,4125.98,348.6212,171.4478,590000,118,4405.78,-14416.8017578125
119,4952.04,337.4029,165.256,595000,119,5131.12,-14076.0703125
120,4337.07,343.0093,184.9105,600000,120,3944.93,-14828.27734375
121,4581.57,328.7185,155.6577,605000,121,5231.83,-14179.2470703125
122,4632.38,331.4815,147.234,610000,122,3780.83,-14484.4833984375
123,2920.48,335.2263,153.5821,615000,123,3283.72,-14159.40234375
124,5003.75,331.739,162.9991,620000,124,2895.64,-14984.95703125
125,3358.96,348.0802,160.3702,625000,125,2360.14,-14903.9453125
126,4682.79,329.0726,150.505,630000,126,4347.3,-14874.046875
127,4515.66,337.9946,157.636,635000,127,3528.38,-15618.5859375
128,4751.59,335.3757,167.2464,640000,128,4577.11,-15451.6494140625
129,4986.87,339.4294,167.8491,645000,129,3551.0,-15480.7470703125
130,4554.39,337.5867,164.979,650000,130,4145.94,-15619.1064453125
131,4412.85,342.5345,166.053,655000,131,4086.43,-15815.7861328125
132,4119.61,338.9866,161.9289,660000,132,4396.69,-16144.7177734375
133,4969.94,322.8821,146.848,665000,133,3489.5,-15368.4375
134,4791.13,329.2788,145.5445,670000,134,4100.83,-15606.3291015625
135,4830.6,344.9106,174.8252,675000,135,3740.91,-16161.38671875
136,4282.9,346.1595,178.7678,680000,136,4419.6,-16353.1474609375
137,5002.65,327.3214,146.4737,685000,137,2408.81,-15847.1748046875
138,2973.15,366.7027,227.0235,690000,138,2674.07,-15894.3369140625
139,4147.5,345.1574,176.7075,695000,139,2781.48,-16347.6025390625
140,4141.18,348.7477,180.9696,700000,140,2269.43,-16598.34765625
141,2959.48,340.1126,166.358,705000,141,4555.59,-16274.7919921875
