Real Sto Return,Reward Loss,Running Env Steps,Running Forward KL,Itration,Real Det Return,Running Update Time,Running Reverse KL
-208.2,466.15850830078125,0,158.4053,0,-5.52,0,11.3493
-86.09,384.5683288574219,5000,158.4266,1,-8.45,1,11.674
129.16,397.4451599121094,10000,158.1042,2,624.1,2,12.0719
265.22,382.866943359375,15000,158.0594,3,671.34,3,12.6544
467.17,335.7631530761719,20000,158.0645,4,895.97,4,13.7272
564.22,277.31170654296875,25000,158.1004,5,976.91,5,13.8817
707.98,250.03701782226562,30000,157.8354,6,-87.98,6,14.6957
943.91,204.30752563476562,35000,158.0074,7,736.92,7,15.554
948.91,187.99224853515625,40000,157.9238,8,741.58,8,15.9894
1022.48,151.5653076171875,45000,157.9339,9,1296.27,9,15.9519
1048.85,92.58085632324219,50000,157.9369,10,1514.22,10,16.3606
1200.47,66.55189514160156,55000,157.8887,11,1011.84,11,16.6918
1217.85,21.55047607421875,60000,157.9957,12,1314.57,12,16.5592
1247.88,-0.7731914520263672,65000,157.8875,13,1677.85,13,16.7297
1278.56,-58.68214416503906,70000,157.8779,14,1674.65,14,16.1878
1320.28,-100.24714660644531,75000,157.7085,15,1701.82,15,16.6272
1320.89,-141.3403778076172,80000,157.7593,16,1704.57,16,16.1739
1260.74,-190.47373962402344,85000,157.8657,17,1719.72,17,16.3727
1413.84,-236.8231964111328,90000,157.6337,18,1760.01,18,16.0568
1399.58,-268.0773010253906,95000,157.4809,19,1801.78,19,16.1914
1439.72,-314.6483154296875,100000,157.6612,20,1816.89,20,16.1103
1474.54,-351.1062927246094,105000,157.4744,21,1856.21,21,16.151
1482.46,-421.607421875,110000,157.4315,22,1849.95,22,16.0131
1497.11,-450.3807373046875,115000,157.5656,23,1839.08,23,15.7602
1543.56,-495.5451965332031,120000,157.5279,24,1928.45,24,16.2871
1578.5,-515.50244140625,125000,157.3196,25,1936.56,25,16.058
1557.43,-564.1859130859375,130000,157.5083,26,1915.5,26,16.0846
1547.89,-614.6548461914062,135000,157.4851,27,1955.98,27,16.0191
1602.22,-643.9566650390625,140000,157.5675,28,1989.1,28,16.2489
1611.26,-692.519775390625,145000,157.3144,29,2030.62,29,16.0597
1598.97,-740.6091918945312,150000,157.2768,30,2003.67,30,15.8296
1603.88,-753.5736694335938,155000,157.1733,31,1988.16,31,15.6686
1688.98,-803.737060546875,160000,157.1997,32,2028.52,32,15.9783
1653.26,-841.7250366210938,165000,157.2742,33,2002.29,33,15.8895
1654.42,-874.5682373046875,170000,157.3786,34,2018.19,34,15.7593
1666.9,-925.8448486328125,175000,157.1414,35,2039.9,35,15.82
1674.48,-991.87158203125,180000,157.1293,36,2025.13,36,15.8544
1636.04,-1023.4761352539062,185000,157.355,37,1988.57,37,15.6479
1702.36,-1043.66943359375,190000,156.9836,38,2058.46,38,16.121
1661.53,-1111.84765625,195000,157.0914,39,2012.87,39,15.4777
1694.06,-1142.802001953125,200000,157.1804,40,2056.32,40,15.6535
