Running Forward KL,Real Sto Return,Running Env Steps,Running Reverse KL,Running Update Time,Itration,Reward Loss,Real Det Return
74.718,-40.11,0,26.1341,0,0,88.10090637207031,774.31
74.2219,-29.02,5000,26.5225,1,1,71.34379577636719,727.75
74.4161,3.42,10000,29.4015,2,2,46.23365020751953,657.12
74.2859,37.25,15000,29.9875,3,3,32.08710479736328,732.32
73.9652,83.04,20000,31.7303,4,4,16.24173927307129,650.55
74.1805,71.39,25000,33.8311,5,5,-0.37034228444099426,722.9
73.5144,136.24,30000,32.3482,6,6,-15.739124298095703,738.99
73.3693,143.36,35000,31.8153,7,7,-25.380645751953125,700.55
72.6582,106.13,40000,30.7199,8,8,-38.0797004699707,776.81
74.5017,105.21,45000,30.9133,9,9,-55.936771392822266,657.14
72.7552,64.57,50000,31.2683,10,10,-66.35150146484375,759.02
73.5976,87.56,55000,32.5574,11,11,-83.89144897460938,727.09
71.9568,135.22,60000,31.4804,12,12,-92.87702941894531,715.57
71.5864,128.06,65000,30.8779,13,13,-113.24541473388672,670.56
72.878,117.62,70000,31.531,14,14,-124.18209075927734,700.14
73.7098,184.96,75000,31.9404,15,15,-139.2154083251953,818.81
73.8472,129.35,80000,31.2953,16,16,-153.6287078857422,826.27
72.1142,161.36,85000,30.8747,17,17,-169.5802001953125,598.16
69.886,177.93,90000,30.706,18,18,-187.4120635986328,687.88
70.9334,101.15,95000,31.1842,19,19,-200.29739379882812,680.27
72.8091,113.69,100000,31.6236,20,20,-213.86512756347656,697.19
70.2908,132.32,105000,30.243,21,21,-224.30247497558594,778.47
72.9615,154.4,110000,30.5427,22,22,-244.96319580078125,752.44
71.1105,189.82,115000,30.9696,23,23,-257.2865905761719,896.09
73.5918,198.14,120000,30.8143,24,24,-276.17864990234375,769.88
73.0957,136.2,125000,31.2932,25,25,-288.4822998046875,827.99
71.9531,146.37,130000,30.5779,26,26,-299.1699523925781,726.36
73.5899,187.56,135000,31.1448,27,27,-318.9090881347656,839.76
72.877,209.68,140000,30.7787,28,28,-334.2951965332031,830.74
72.4723,156.1,145000,30.9181,29,29,-351.86236572265625,936.09
71.6617,219.28,150000,31.2147,30,30,-363.9720153808594,1024.89
72.0258,195.2,155000,31.2238,31,31,-378.85699462890625,1030.6
71.3367,127.3,160000,30.3332,32,32,-391.03680419921875,604.73
71.1142,156.72,165000,30.4843,33,33,-411.1280517578125,846.7
69.0068,223.33,170000,29.7301,34,34,-418.7564697265625,760.97
70.1614,128.56,175000,30.0296,35,35,-437.4200134277344,775.59
71.2114,120.53,180000,30.1138,36,36,-456.0773620605469,420.33
70.0121,210.26,185000,30.1712,37,37,-467.89373779296875,686.73
69.4477,127.52,190000,29.1011,38,38,-481.4537353515625,519.66
70.8761,209.69,195000,30.7635,39,39,-502.14141845703125,509.05
70.8805,172.65,200000,30.7874,40,40,-521.1655883789062,807.1
68.6504,141.99,205000,29.1222,41,41,-521.8151245117188,483.33
67.8522,158.7,210000,28.2522,42,42,-541.7828369140625,612.05
69.4915,207.24,215000,30.2428,43,43,-565.5377807617188,701.24
72.0966,141.46,220000,30.7642,44,44,-590.1888427734375,726.04
69.8572,184.87,225000,29.3384,45,45,-600.25732421875,492.71
72.61,206.34,230000,30.6208,46,46,-623.244140625,718.83
68.7901,270.51,235000,29.9978,47,47,-632.2847900390625,852.71
69.4357,240.15,240000,29.388,48,48,-646.1029663085938,840.5
70.0633,143.27,245000,29.2036,49,49,-665.5681762695312,781.29
70.4668,144.04,250000,29.4181,50,50,-687.5881958007812,652.52
70.1151,194.47,255000,29.8774,51,51,-700.0540771484375,847.24
70.8216,231.34,260000,30.426,52,52,-726.89892578125,930.8
70.4327,266.59,265000,30.038,53,53,-740.11865234375,833.93
70.8274,181.42,270000,30.9203,54,54,-765.6737670898438,883.1
68.5176,229.88,275000,30.2391,55,55,-770.7022705078125,706.68
72.264,226.38,280000,30.5581,56,56,-807.3703002929688,870.94
68.5709,280.29,285000,29.0625,57,57,-798.1323852539062,715.63
66.4482,265.5,290000,28.3565,58,58,-808.0547485351562,703.28
68.7259,201.96,295000,29.7297,59,59,-850.6133422851562,535.61
66.735,357.6,300000,29.3793,60,60,-856.7078857421875,937.19
67.6275,262.84,305000,29.129,61,61,-878.8488159179688,753.3
71.2618,281.45,310000,30.7568,62,62,-920.8128662109375,911.86
70.1145,273.92,315000,29.868,63,63,-936.4094848632812,771.28
68.9317,271.77,320000,29.6452,64,64,-940.6195068359375,814.13
66.1955,310.55,325000,28.7652,65,65,-943.835693359375,889.59
68.4252,180.76,330000,29.1657,66,66,-984.1802368164062,881.29
67.449,175.51,335000,28.9291,67,67,-1002.5817260742188,673.84
68.5867,248.12,340000,29.4636,68,68,-1020.996826171875,791.64
67.5026,214.22,345000,29.2434,69,69,-1038.2945556640625,694.86
69.3615,178.57,350000,29.6742,70,70,-1081.656005859375,641.54
65.4244,221.92,355000,29.2731,71,71,-1056.648681640625,868.25
68.5234,327.77,360000,29.5371,72,72,-1119.24072265625,876.38
69.6133,273.08,365000,29.4689,73,73,-1148.824951171875,856.84
67.2143,216.62,370000,29.1463,74,74,-1153.074462890625,768.92
