Running Reverse KL,Itration,Real Sto Return,Real Det Return,Running Forward KL
16.5965,0,195.47,198.25,38.7342
17.9125,1,251.04,257.76,37.4888
25.0565,2,278.1,279.93,37.474
19.9925,3,289.77,292.48,37.2087
21.0357,4,316.75,325.8,37.4764
20.1881,5,341.1,348.06,37.6907
22.2615,6,348.72,355.66,37.8583
18.1525,7,350.36,358.13,37.8344
19.7837,8,350.08,356.1,37.8332
25.2417,9,345.91,353.25,37.7232
21.9575,10,347.96,356.83,37.8416
19.5263,11,353.34,362.57,37.8829
25.6349,12,350.34,358.58,37.5539
27.0052,13,352.3,361.95,37.7457
24.7882,14,353.16,362.4,37.8938
23.3063,15,356.61,362.65,37.9739
21.648,16,358.93,364.58,37.6006
25.684,17,356.48,366.72,37.8353
24.8206,18,361.38,369.14,37.7317
23.5855,19,360.09,370.44,37.5896
19.6585,20,425.78,453.49,33.4661
23.6753,21,388.93,389.31,37.155
20.6554,22,396.86,400.53,33.9465
14.9529,23,294.43,338.72,32.326
19.5841,24,578.91,693.99,31.682
23.2203,25,751.6,775.33,32.2953
