Real Sto Return,Running Reverse KL,Real Det Return,Running Env Steps,Itration,Running Update Time,Running Forward KL,Reward Loss
204.99,22.8391,201.59,0,0,0,32.0807,285.8282470703125
326.8,36.7485,327.19,5000,1,1,30.4724,174.91033935546875
379.96,28.6448,401.39,10000,2,2,29.3144,243.6071319580078
401.64,35.3441,440.66,15000,3,3,30.06,63.82509994506836
388.65,37.5972,394.87,20000,4,4,29.0949,2.262343645095825
369.78,50.8409,322.39,25000,5,5,26.454,43.426483154296875
385.37,40.1012,396.59,30000,6,6,29.2128,-94.22994232177734
557.02,36.9051,715.64,35000,7,7,25.8848,-55.19218063354492
786.51,44.0524,1619.01,40000,8,8,24.207,25.92900276184082
573.92,57.6405,559.23,45000,9,9,28.5911,-95.11685180664062
1485.65,24.9984,2937.58,50000,10,10,24.9314,-115.49324798583984
1715.29,22.1735,1583.77,55000,11,11,23.2703,-144.92684936523438
985.45,24.4967,1140.77,60000,12,12,25.6358,-194.46983337402344
664.86,24.3222,646.58,65000,13,13,27.8696,-216.6516876220703
1236.08,23.8167,1348.73,70000,14,14,25.2099,-243.1929931640625
2840.3,17.2573,3006.73,75000,15,15,23.8452,-61.97444534301758
1157.69,19.6259,1127.6,80000,16,16,26.1634,-187.56105041503906
1761.67,21.7945,3058.25,85000,17,17,25.6454,-261.4302673339844
2784.51,17.0873,3010.6,90000,18,18,24.559,-28.558076858520508
1562.37,24.1266,1374.33,95000,19,19,25.2327,-388.29742431640625
3035.71,21.7561,2955.3,100000,20,20,24.3393,-136.06332397460938
2444.43,17.1365,3190.99,105000,21,21,24.6409,-251.65982055664062
3045.59,22.1532,3173.86,110000,22,22,24.852,-111.65876770019531
3099.74,17.3558,3105.07,115000,23,23,24.3257,-118.48796081542969
3038.34,17.487,3049.08,120000,24,24,24.6584,-105.05851745605469
2979.68,16.3467,3104.55,125000,25,25,24.0118,-83.8341293334961
1604.4,46.5573,2870.29,130000,26,26,24.5841,-354.0895080566406
2839.0,17.0416,3162.34,135000,27,27,24.1267,-232.98239135742188
3032.41,16.1465,3122.85,140000,28,28,23.2875,-65.14569854736328
2478.14,18.9401,3134.55,145000,29,29,23.058,-333.3773193359375
2369.58,16.4239,3162.38,150000,30,30,23.8287,-271.4824523925781
2574.75,15.7458,3174.01,155000,31,31,23.4719,-298.1663513183594
2648.25,16.6798,3181.55,160000,32,32,23.5667,-252.5546112060547
2377.01,16.7016,3011.1,165000,33,33,24.3474,-287.7537536621094
2030.77,17.4795,2944.42,170000,34,34,23.7096,-333.2658996582031
2952.94,19.547,3160.78,175000,35,35,23.2511,-349.10467529296875
1813.95,17.2886,1529.35,180000,36,36,24.137,-398.6064453125
2663.11,14.3384,3164.05,185000,37,37,22.398,-245.3997344970703
1998.48,14.6229,2929.96,190000,38,38,23.4841,-388.94677734375
2913.37,15.0187,3141.71,195000,39,39,23.1745,-233.70347595214844
2060.37,16.8154,2923.24,200000,40,40,23.6038,-485.7939453125
2301.85,17.4442,3128.48,205000,41,41,23.3679,-407.4711608886719
2139.98,17.0521,3140.86,210000,42,42,23.3088,-498.92449951171875
2331.97,17.6324,2192.8,215000,43,43,23.6712,-589.9700927734375
2259.61,16.6113,1814.52,220000,44,44,23.1535,-419.9540710449219
1938.66,15.6556,2000.56,225000,45,45,23.1149,-519.6676635742188
1936.44,20.0245,2493.44,230000,46,46,23.9082,-657.5393676757812
1661.86,16.6635,1930.11,235000,47,47,23.5557,-700.2496948242188
2713.58,15.1763,3156.73,240000,48,48,22.887,-370.2631530761719
2752.03,17.5929,3106.54,245000,49,49,22.9159,-441.9146728515625
2850.01,14.6431,3151.52,250000,50,50,22.3019,-484.61273193359375
2390.67,15.7219,2993.56,255000,51,51,22.6341,-525.7636108398438
2205.5,17.6624,3011.57,260000,52,52,23.0765,-597.773193359375
2195.3,21.7469,3158.64,265000,53,53,22.6355,-676.1006469726562
3064.24,15.1966,3168.08,270000,54,54,22.9691,-383.327880859375
2844.31,15.575,3203.82,275000,55,55,22.0109,-478.6802062988281
2767.14,13.214,3182.95,280000,56,56,21.9158,-432.577880859375
3165.23,14.8691,3207.78,285000,57,57,22.156,-340.33050537109375
2804.56,14.9583,3201.86,290000,58,58,22.0897,-587.4940795898438
2552.79,14.0844,3228.17,295000,59,59,22.1262,-487.27008056640625
3151.43,14.2522,3167.3,300000,60,60,21.7736,-395.70989990234375
3162.55,15.1263,3199.9,305000,61,61,22.2905,-390.4223327636719
3130.3,15.2577,3171.23,310000,62,62,23.1143,-451.3870544433594
3150.57,14.4679,3186.45,315000,63,63,22.1045,-462.07647705078125
3175.76,15.059,3202.58,320000,64,64,23.0302,-437.9333190917969
2939.73,13.3444,3228.01,325000,65,65,22.1607,-584.568115234375
2932.25,14.6684,3192.27,330000,66,66,22.7209,-505.83685302734375
3197.12,14.3121,3224.65,335000,67,67,21.5294,-449.5619201660156
3169.65,14.6697,3217.81,340000,68,68,22.5614,-505.024658203125
3034.9,14.4739,3184.62,345000,69,69,22.1073,-474.6684875488281
3106.77,14.4777,3204.17,350000,70,70,22.6607,-520.8648681640625
3137.87,13.674,3201.96,355000,71,71,21.8519,-575.2621459960938
3163.65,14.497,3188.25,360000,72,72,22.5094,-561.2681274414062
