Real Det Return,Running Forward KL,Running Env Steps,Running Update Time,Real Sto Return,Reward Loss,Running Reverse KL,Itration
230.97,74.1156,0,0,-33.2,80.65181732177734,24.157,0
505.05,73.2861,5000,1,-47.13,9.661133766174316,25.9624,1
370.45,74.323,10000,2,-91.76,-71.83497619628906,27.0044,2
594.78,72.9569,15000,3,42.3,-128.6522674560547,27.4005,3
513.8,71.6557,20000,4,45.13,-193.0268096923828,27.6269,4
729.93,70.913,25000,5,109.78,-248.66146850585938,28.0458,5
848.18,71.1724,30000,6,85.46,-314.06561279296875,28.2238,6
800.31,69.8824,35000,7,113.73,-383.24041748046875,29.1855,7
849.42,72.254,40000,8,116.78,-451.50469970703125,28.9895,8
827.3,69.411,45000,9,151.98,-513.9073486328125,30.1183,9
940.14,70.7693,50000,10,227.28,-565.4851684570312,31.5461,10
768.96,69.5776,55000,11,147.75,-630.0855102539062,30.5493,11
858.85,70.0787,60000,12,146.64,-683.6907958984375,30.2645,12
949.28,68.9876,65000,13,229.75,-758.6253662109375,30.8411,13
1001.48,68.0947,70000,14,229.58,-812.9668579101562,29.7988,14
997.66,70.738,75000,15,188.32,-883.1326293945312,30.2545,15
858.78,70.1111,80000,16,207.93,-943.1224365234375,30.1985,16
968.72,68.6222,85000,17,276.92,-1010.9803466796875,29.7852,17
967.2,70.7449,90000,18,269.8,-1089.148193359375,30.6413,18
903.44,70.9641,95000,19,238.14,-1146.03955078125,30.4394,19
785.83,70.0716,100000,20,207.5,-1210.6011962890625,30.3716,20
886.31,70.884,105000,21,234.51,-1283.697998046875,30.5559,21
885.28,69.4584,110000,22,327.09,-1327.096923828125,30.7189,22
799.25,69.0101,115000,23,201.03,-1382.9171142578125,29.6806,23
857.22,70.7297,120000,24,184.15,-1473.8057861328125,30.2341,24
948.73,69.018,125000,25,241.54,-1517.793212890625,29.7772,25
909.85,68.4814,130000,26,207.05,-1580.7138671875,29.9139,26
792.76,69.9649,135000,27,254.93,-1643.9923095703125,29.8289,27
917.4,70.0125,140000,28,295.33,-1726.7269287109375,30.0325,28
908.16,66.7103,145000,29,320.27,-1751.4444580078125,29.1473,29
985.22,71.617,150000,30,234.06,-1863.2626953125,30.251,30
965.43,68.9197,155000,31,260.67,-1914.3109130859375,29.6273,31
962.5,70.26,160000,32,258.43,-1998.99951171875,30.0204,32
870.31,68.8333,165000,33,250.25,-2029.45068359375,29.8314,33
926.07,66.3598,170000,34,348.07,-2049.429931640625,29.1344,34
977.48,66.1295,175000,35,312.63,-2130.670654296875,28.8405,35
872.04,68.841,180000,36,309.12,-2236.365478515625,30.0777,36
792.94,69.9972,185000,37,285.5,-2331.95361328125,30.4416,37
963.62,67.8052,190000,38,278.27,-2366.16796875,29.3086,38
813.01,68.0623,195000,39,238.6,-2437.13427734375,29.8719,39
875.27,67.8629,200000,40,335.15,-2482.3662109375,29.3743,40
566.97,69.4132,205000,41,305.08,-2596.14111328125,29.4327,41
954.59,69.4879,210000,42,272.24,-2686.359619140625,29.9841,42
977.96,68.8083,215000,43,273.8,-2719.87646484375,29.6805,43
912.45,69.8864,220000,44,315.26,-2852.518310546875,30.327,44
1116.13,68.0739,225000,45,386.11,-2865.920166015625,29.6818,45
964.71,70.655,230000,46,313.35,-3003.9677734375,30.5018,46
1000.55,68.9279,235000,47,285.21,-3048.5595703125,30.3717,47
962.57,68.9646,240000,48,306.76,-3127.25048828125,30.5569,48
979.05,69.079,245000,49,356.55,-3186.44091796875,29.9131,49
923.69,70.1205,250000,50,320.71,-3288.732666015625,30.1141,50
1047.3,67.6268,255000,51,387.39,-3332.976318359375,29.8279,51
