Running Reverse KL,Reward Loss,Real Sto Return,Running Forward KL,Running Update Time,Running Env Steps,Itration,Real Det Return
13.4948,-817.0301513671875,3250.98,20.8519,69,345000,69,3354.76
12.4172,-840.3369140625,2374.18,21.3844,70,350000,70,3439.94
12.8891,-802.9171142578125,3000.4,20.4676,71,355000,71,3310.47
12.3888,-839.3857421875,3099.18,20.0806,72,360000,72,3352.47
12.7029,-925.5486450195312,3039.11,20.6169,73,365000,73,3327.43
13.1983,-958.98876953125,3182.17,20.4678,74,370000,74,3319.23
13.0322,-940.8989868164062,3067.08,20.5023,75,375000,75,3425.24
12.7046,-854.847900390625,3305.03,19.7906,76,380000,76,3397.79
12.0287,-798.8720092773438,2921.1,20.1998,77,385000,77,3409.03
11.3594,-1089.1534423828125,1821.28,21.2545,78,390000,78,3434.75
12.3584,-792.657470703125,3267.66,19.9121,79,395000,79,3403.92
11.8701,-974.6979370117188,2485.45,20.4883,80,400000,80,3416.05
12.0813,-984.41748046875,2704.65,19.8013,81,405000,81,3372.01
12.081,-1010.180419921875,3267.13,20.1885,82,410000,82,3287.05
11.903,-1098.882080078125,2822.93,20.9444,83,415000,83,3392.95
11.7462,-1117.848876953125,1853.91,21.2696,84,420000,84,2591.59
12.184,-1038.931640625,3155.58,21.0537,85,425000,85,3387.62
12.3912,-1052.162841796875,3226.1,21.0167,86,430000,86,3380.64
13.0499,-983.5197143554688,2687.39,20.8817,87,435000,87,3366.12
11.5654,-998.9066772460938,3173.34,20.8604,88,440000,88,3406.26
11.876,-955.8531494140625,2924.27,19.9385,89,445000,89,3383.38
12.4145,-952.50732421875,3349.39,19.397,90,450000,90,3393.88
24.4181,-1243.1842041015625,2234.77,21.7556,91,455000,91,3428.07
11.5925,-1216.5826416015625,2433.72,21.1601,92,460000,92,3438.05
13.1779,-1086.046875,2933.15,20.6749,93,465000,93,3386.79
12.5319,-1047.6865234375,2599.89,20.1141,94,470000,94,3356.34
13.7645,-954.6614379882812,3013.25,19.8868,95,475000,95,3414.8
14.5638,-1083.5699462890625,3054.27,20.4308,96,480000,96,3406.81
16.1906,-1147.818359375,3352.11,20.2791,97,485000,97,3436.14
12.833,-1006.2363891601562,3400.45,19.1589,98,490000,98,3378.49
15.4901,-1214.9512939453125,2310.79,20.8151,99,495000,99,3413.74
12.0808,-1099.822265625,3138.45,19.4097,100,500000,100,3434.21
13.2274,-1144.9398193359375,3320.93,20.6544,101,505000,101,3398.14
16.3869,-1335.56982421875,2171.46,20.7939,102,510000,102,3463.6
15.5565,-1418.8016357421875,2257.13,20.9469,103,515000,103,3411.77
12.8537,-1110.3944091796875,2661.44,19.972,104,520000,104,3404.85
13.8316,-1205.049560546875,3316.44,20.0557,105,525000,105,3431.23
14.4684,-1308.00634765625,2870.04,20.5319,106,530000,106,3345.15
26.8643,-1387.1387939453125,2563.48,21.4948,107,535000,107,3452.35
12.4696,-1408.731201171875,3318.58,20.4341,108,540000,108,3328.59
16.4359,-1235.6405029296875,2590.11,20.4278,109,545000,109,3425.46
16.1045,-1340.6326904296875,2927.78,19.8954,110,550000,110,3410.13
16.5417,-1244.8897705078125,3164.71,19.9165,111,555000,111,3407.4
37.2901,-1543.2310791015625,1849.05,21.6619,112,560000,112,3461.11
12.0739,-1201.68994140625,3370.06,19.7271,113,565000,113,3427.21
39.0638,-1627.7412109375,1683.69,21.8994,114,570000,114,3448.61
19.9622,-1323.6739501953125,2875.36,19.2917,115,575000,115,3452.68
13.6951,-1320.72509765625,3151.67,19.9851,116,580000,116,3435.19
30.3324,-1573.1678466796875,2135.61,21.0707,117,585000,117,3444.6
32.494,-1611.8118896484375,2375.04,20.9037,118,590000,118,3436.41
27.8722,-1631.7900390625,2550.01,21.3469,119,595000,119,3425.82
27.2183,-1693.3232421875,2992.73,20.9829,120,600000,120,3377.48
20.9604,-1556.0230712890625,2935.78,21.0504,121,605000,121,3427.94
21.7095,-1653.2423095703125,2712.59,20.9336,122,610000,122,3415.09
27.0286,-1652.6619873046875,2242.17,21.253,123,615000,123,2917.22
22.2099,-1529.9130859375,2640.96,20.6536,124,620000,124,3391.19
20.529,-1523.837158203125,2775.63,20.1976,125,625000,125,3410.16
19.3685,-1645.802490234375,1998.75,21.3389,126,630000,126,3451.53
27.7024,-1842.7291259765625,2243.99,21.1324,127,635000,127,3425.93
24.6463,-1707.2354736328125,2874.57,20.2309,128,640000,128,3440.59
15.3516,-1492.841552734375,3251.22,20.0456,129,645000,129,3349.11
18.6345,-1598.435546875,3306.6,20.165,130,650000,130,3426.86
18.7679,-1560.010498046875,2580.69,20.3469,131,655000,131,3411.21
28.3594,-2032.1041259765625,2308.28,20.9861,132,660000,132,3443.6
16.9249,-1557.742919921875,3062.94,19.8468,133,665000,133,3416.92
15.6952,-1467.821533203125,3286.75,19.2881,134,670000,134,3409.95
11.6383,-1342.8541259765625,3132.15,19.3814,135,675000,135,3367.57
21.6354,-1775.370361328125,2344.95,20.4417,136,680000,136,3405.16
26.9366,-1893.112060546875,2045.18,20.9273,137,685000,137,3433.2
27.3114,-2038.257568359375,2348.86,20.5204,138,690000,138,3461.64
18.3592,-1776.0341796875,2906.29,19.8404,139,695000,139,3421.23
13.0623,-1509.581298828125,3100.34,19.0204,140,700000,140,3404.89
21.3997,-1831.3199462890625,2529.04,20.154,141,705000,141,3435.18
22.2428,-1932.98779296875,3059.72,20.1202,142,710000,142,3406.54
12.3242,-1510.6734619140625,3296.69,18.9463,143,715000,143,3370.69
12.2584,-1501.0576171875,3251.89,19.9934,144,720000,144,3345.23
16.1697,-1667.3404541015625,3042.9,19.8056,145,725000,145,3385.26
18.2642,-1812.5892333984375,3179.86,19.8715,146,730000,146,3406.16
15.3798,-1765.8489990234375,2849.49,19.9997,147,735000,147,3415.66
14.2438,-1589.979248046875,3219.75,19.715,148,740000,148,3454.53
19.2811,-2377.214111328125,2747.87,21.0471,149,745000,149,3437.67
12.4069,-1579.3365478515625,3251.09,19.0785,150,750000,150,3431.35
11.3735,-1383.03271484375,3326.33,17.842,151,755000,151,3378.86
13.7039,-1613.668701171875,2965.01,19.3807,152,760000,152,3425.87
11.9308,-1619.0660400390625,3347.0,19.1078,153,765000,153,3419.95
