Running Forward KL,Itration,Running Reverse KL,Real Sto Return,Running Env Steps,Real Det Return,Reward Loss,Running Update Time
158.6248,0,11.7144,-193.32,0,-18.26,-21.876453399658203,0
158.5183,1,11.9768,-65.46,5000,17.19,-41.93592071533203,1
158.3471,2,12.666,144.36,10000,768.29,-17.954944610595703,2
158.2494,3,13.2485,286.75,15000,776.48,6.698191165924072,3
158.1808,4,13.6323,423.02,20000,978.67,-32.785831451416016,4
158.1664,5,14.0782,572.48,25000,1000.15,-90.50894165039062,5
158.1851,6,14.1369,679.49,30000,1068.58,-116.42277526855469,6
158.1459,7,14.3272,754.78,35000,1057.63,-161.9661407470703,7
157.9721,8,15.1575,890.55,40000,1184.45,-187.5171661376953,8
157.9984,9,15.1871,892.9,45000,1312.05,-241.05560302734375,9
157.8053,10,15.387,1000.66,50000,1416.95,-260.4634704589844,10
158.0836,11,15.916,1035.5,55000,1396.12,-292.14971923828125,11
157.931,12,15.8972,1075.6,60000,1486.68,-328.22186279296875,12
157.9337,13,16.1895,1162.23,65000,1561.04,-355.9217529296875,13
157.8422,14,16.1945,1248.35,70000,1618.52,-373.99285888671875,14
157.706,15,15.6297,1252.11,75000,1614.66,-440.0437927246094,15
157.6536,16,16.0492,1270.61,80000,1668.76,-448.681640625,16
158.0172,17,16.3595,1306.76,85000,1692.33,-485.74322509765625,17
157.9737,18,16.146,1357.93,90000,1771.19,-533.248779296875,18
157.7778,19,16.1203,1402.51,95000,1796.96,-546.04833984375,19
157.7949,20,16.5442,1372.44,100000,1768.01,-592.2141723632812,20
157.8738,21,16.0834,1411.88,105000,1778.95,-635.204345703125,21
157.7897,22,16.346,1465.64,110000,1869.09,-669.0690307617188,22
157.848,23,16.2261,1488.41,115000,1844.52,-695.0181274414062,23
157.5704,24,16.242,1516.35,120000,1905.87,-733.8207397460938,24
157.4537,25,15.8814,1491.19,125000,1882.03,-775.7564086914062,25
157.4823,26,15.9769,1507.31,130000,1927.1,-787.7955932617188,26
157.3805,27,16.0168,1561.1,135000,1901.13,-835.4278564453125,27
157.6274,28,16.0665,1566.24,140000,1948.03,-865.883544921875,28
157.3116,29,16.0965,1580.33,145000,2008.34,-900.1839599609375,29
157.1777,30,16.2079,1612.58,150000,2019.46,-926.6630859375,30
157.3679,31,15.7318,1618.25,155000,1975.1,-963.9617309570312,31
157.3752,32,16.039,1623.33,160000,2027.66,-995.4293823242188,32
157.5943,33,16.2151,1617.14,165000,1990.0,-1047.63037109375,33
157.3747,34,15.8025,1602.74,170000,2002.21,-1077.2750244140625,34
157.5142,35,15.825,1623.74,175000,2031.28,-1109.0870361328125,35
157.2396,36,16.1365,1651.21,180000,2021.2,-1143.9085693359375,36
157.499,37,16.2343,1672.47,185000,2055.54,-1174.4459228515625,37
157.1766,38,16.1539,1664.9,190000,2076.15,-1198.9613037109375,38
157.2138,39,15.7617,1661.36,195000,2014.26,-1247.8297119140625,39
156.9929,40,15.7266,1647.25,200000,2029.14,-1274.650634765625,40
157.1773,41,15.7501,1658.53,205000,2032.44,-1319.4620361328125,41
157.1517,42,16.0224,1664.11,210000,2060.51,-1355.9837646484375,42
157.195,43,16.0207,1693.8,215000,2047.25,-1392.3526611328125,43
157.1125,44,15.7843,1678.21,220000,2038.78,-1404.5648193359375,44
157.1429,45,15.6677,1674.62,225000,2023.24,-1453.32861328125,45
157.0768,46,15.5057,1657.06,230000,2025.22,-1477.093017578125,46
157.1163,47,15.6335,1657.79,235000,2031.22,-1507.646240234375,47
156.9898,48,15.6962,1713.22,240000,2096.86,-1530.129150390625,48
156.9149,49,15.5735,1691.28,245000,2069.6,-1575.6207275390625,49
157.1313,50,15.752,1713.02,250000,2091.13,-1610.3087158203125,50
157.0751,51,15.6734,1695.18,255000,2074.6,-1636.7906494140625,51
157.0287,52,15.6655,1725.89,260000,2106.78,-1673.6683349609375,52
156.9924,53,15.5987,1716.68,265000,2040.47,-1726.622314453125,53
157.051,54,15.5438,1676.09,270000,2038.2,-1753.2298583984375,54
157.1059,55,15.7478,1727.95,275000,2070.91,-1785.6435546875,55
157.0047,56,15.5724,1733.91,280000,2108.04,-1821.6915283203125,56
156.9915,57,15.7437,1727.67,285000,2108.01,-1856.2855224609375,57
156.9336,58,15.784,1717.01,290000,2084.52,-1866.5338134765625,58
156.9985,59,15.4353,1684.09,295000,2066.08,-1933.6309814453125,59
157.0283,60,15.5865,1740.63,300000,2106.4,-1946.9642333984375,60
157.0994,61,15.4289,1729.02,305000,2067.71,-2000.26611328125,61
157.0876,62,15.5863,1720.44,310000,2074.72,-2036.94677734375,62
157.0992,63,15.4612,1713.09,315000,2097.0,-2050.52294921875,63
156.9733,64,15.7243,1737.4,320000,2133.49,-2101.84912109375,64
157.0378,65,15.712,1735.82,325000,2117.95,-2134.448486328125,65
156.8634,66,15.4964,1751.21,330000,2080.68,-2157.478271484375,66
156.7013,67,15.4779,1765.97,335000,2140.25,-2180.433837890625,67
156.8463,68,15.5897,1748.29,340000,2116.54,-2231.749755859375,68
156.9723,69,15.6991,1758.93,345000,2127.85,-2277.907958984375,69
156.9605,70,15.5167,1773.15,350000,2134.96,-2306.7919921875,70
156.944,71,15.6153,1798.59,355000,2143.56,-2353.287841796875,71
156.9214,72,15.5494,1763.08,360000,2147.5,-2386.3955078125,72
156.9677,73,15.5396,1752.97,365000,2146.9,-2411.687255859375,73
156.8879,74,15.6259,1789.64,370000,2168.78,-2436.61328125,74
156.8319,75,15.3873,1773.7,375000,2159.07,-2495.6416015625,75
156.8153,76,15.2602,1752.42,380000,2062.07,-2551.7109375,76
156.9246,77,15.2864,1763.72,385000,2114.86,-2559.1455078125,77
156.8967,78,15.588,1808.16,390000,2137.9,-2602.5576171875,78
156.891,79,15.5953,1790.57,395000,2165.81,-2638.649169921875,79
157.0544,80,15.7845,1809.36,400000,2168.64,-2667.303466796875,80
156.896,81,15.4471,1771.04,405000,2125.25,-2705.507568359375,81
156.9996,82,15.7339,1778.41,410000,2171.81,-2735.1533203125,82
156.88,83,15.6167,1812.97,415000,2174.73,-2778.01123046875,83
156.9482,84,15.3644,1764.46,420000,2107.12,-2839.567626953125,84
156.8815,85,15.2508,1763.59,425000,2099.11,-2858.095703125,85
156.9331,86,15.7634,1810.81,430000,2193.83,-2900.005859375,86
156.667,87,15.1859,1809.67,435000,2168.67,-2932.240478515625,87
