Real Det Return,Running Forward KL,Running Reverse KL,Itration,Real Sto Return
191.33,452.2482,273.9488,0,257.93
323.51,426.0614,289.8508,1,316.73
337.11,432.8461,262.0944,2,336.88
461.48,423.6731,265.0164,3,410.06
548.91,425.4857,244.927,4,424.57
375.66,431.3393,273.396,5,431.09
425.43,416.387,255.5621,6,471.5
413.8,427.4318,260.3586,7,463.39
424.74,413.2735,273.9228,8,478.42
408.9,423.8586,283.5825,9,440.39
473.28,410.1174,276.3164,10,498.39
447.05,415.6177,260.4788,11,478.89
531.19,403.9465,273.7802,12,525.42
572.64,411.7405,250.7597,13,469.01
572.59,407.9009,238.8014,14,532.9
596.65,418.5494,242.7466,15,530.74
518.78,401.4827,256.8146,16,550.51
545.15,414.6785,259.8824,17,578.05
530.68,416.4281,268.9457,18,586.87
540.24,402.0276,245.2,19,682.93
520.55,399.9808,263.4352,20,716.61
604.96,402.7891,248.7609,21,721.31
619.28,408.4315,260.3528,22,801.19
714.07,385.0877,241.1728,23,780.91
658.2,398.6837,256.6402,24,850.63
663.52,393.2629,269.4951,25,972.87
620.8,391.851,241.1595,26,795.72
821.84,399.9901,245.5905,27,1109.69
750.75,398.8665,240.0249,28,1095.57
1461.1,391.7101,237.8791,29,1038.43
803.51,407.2669,257.6326,30,930.22
724.77,414.3511,257.3494,31,985.15
884.46,392.9782,248.8847,32,1223.4
856.16,387.3717,229.5453,33,1191.67
2096.1,389.0194,231.5722,34,1405.19
905.52,385.2901,218.1324,35,1449.02
1765.27,379.9512,224.0036,36,1475.07
1869.42,369.1135,215.2759,37,1437.95
1043.29,384.8656,234.7765,38,1381.37
1676.44,382.8255,238.5797,39,1607.13
766.4,361.5629,189.7329,40,1592.73
951.33,366.0271,185.3899,41,2069.57
785.42,369.9465,206.2148,42,2158.5
1160.25,365.3049,224.7844,43,1328.59
776.77,391.4678,275.9193,44,1044.63
999.7,368.7255,255.0789,45,1906.38
1018.68,362.432,249.6046,46,2064.66
1516.81,349.0946,226.4592,47,2291.91
1411.12,352.8652,184.1035,48,2103.51
2023.16,338.4226,135.2778,49,2694.03
2082.22,336.1432,134.7786,50,4161.45
1287.5,348.4684,186.1595,51,2351.91
1524.99,339.9511,153.673,52,3172.8
3070.6,345.4867,142.6805,53,4295.21
1488.27,351.0906,201.2039,54,3056.39
3826.8,331.2728,134.5262,55,4173.97
3216.79,334.8008,139.4633,56,3669.53
1451.91,360.4666,214.9276,57,2990.39
2190.64,342.1083,149.9957,58,3129.86
2286.91,338.2018,170.7008,59,3566.88
3238.3,335.8919,145.7508,60,4212.18
2809.08,334.4546,125.3859,61,4348.35
3404.84,328.6445,118.0924,62,3632.71
2281.24,349.9691,201.8527,63,2542.3
2315.92,359.2827,233.9729,64,2728.44
3102.35,339.1424,157.8444,65,3302.9
4145.52,345.2466,193.9155,66,2948.62
2492.0,327.2672,134.6439,67,4437.17
3389.73,344.3974,157.5387,68,4570.26
3794.06,341.3343,137.112,69,4750.34
4389.42,328.7596,137.4518,70,3226.16
3003.41,329.8409,146.4353,71,3727.55
3465.79,333.8193,126.4219,72,4378.01
3740.64,345.5068,143.7506,73,4666.64
4244.37,324.1748,118.7695,74,4781.72
4846.03,325.8659,122.7602,75,4433.1
3871.86,336.4212,135.4665,76,4550.28
3660.52,331.8849,128.3058,77,4190.63
3760.9,336.7053,140.1572,78,3774.43
4931.51,328.6791,109.8677,79,4577.16
1964.34,337.9897,135.7678,80,4510.75
4694.7,327.598,113.0064,81,4725.59
3919.85,325.9493,116.4087,82,4882.39
4003.2,320.7874,104.5398,83,4457.95
4663.02,318.4524,101.1776,84,4583.18
5045.04,319.3935,106.9075,85,4961.62
4746.86,325.6376,128.8573,86,4789.2
2955.97,338.659,150.2427,87,3432.86
4624.68,327.7252,131.6635,88,4728.14
5012.26,320.7229,113.6054,89,4338.52
5020.4,325.5691,118.1811,90,4434.08
4173.81,332.071,121.1472,91,4727.18
2543.41,333.1784,133.1277,92,4747.23
4247.94,318.3264,106.2491,93,4207.87
3162.32,325.1931,125.8127,94,4921.04
4203.8,320.9443,111.8757,95,4791.31
