Real Det Return,Running Reverse KL,Running Update Time,Itration,Running Env Steps,Running Forward KL,Reward Loss,Real Sto Return
286.81,14.0861,0,0,0,30.6851,308.1575622558594,280.8
304.81,19.1591,1,1,5000,30.4407,366.8493957519531,307.59
334.83,44.6218,2,2,10000,28.9749,553.258544921875,314.34
321.35,24.591,3,3,15000,29.2685,256.19317626953125,360.01
368.25,26.7138,4,4,20000,28.0933,301.71368408203125,439.3
632.84,21.3739,5,5,25000,28.0255,164.10806274414062,607.46
603.17,15.3213,6,6,30000,26.5955,-61.16804504394531,590.33
943.26,14.8558,7,7,35000,26.7212,-82.59478759765625,940.82
1175.71,21.1372,8,8,40000,26.5392,-30.953371047973633,1130.08
741.89,18.2193,9,9,45000,26.0669,-173.26181030273438,792.53
825.77,16.9829,10,10,50000,26.6126,-215.71180725097656,763.35
979.97,21.9069,11,11,55000,26.2904,-226.39791870117188,982.28
857.45,20.7198,12,12,60000,26.7071,-308.89794921875,906.71
2231.14,15.1615,13,13,65000,26.4219,-308.3591613769531,1178.46
1094.64,17.3879,14,14,70000,26.9901,-353.9919128417969,1038.77
796.13,20.7785,15,15,75000,25.8874,-382.1227722167969,907.39
1145.68,18.5135,16,16,80000,25.1537,-406.3492736816406,988.68
1253.5,17.2837,17,17,85000,26.1057,-469.1150207519531,1037.73
1145.47,22.522,18,18,90000,24.3546,-359.130126953125,949.73
1903.61,15.5665,19,19,95000,24.5337,-445.21380615234375,1267.45
2822.68,11.8632,20,20,100000,23.7712,-273.423583984375,1918.06
985.8,15.3459,21,21,105000,26.3986,-410.6939697265625,2167.58
245.23,20.7221,22,22,110000,26.2301,-615.4319458007812,710.31
935.93,21.073,23,23,115000,25.5754,-678.5734252929688,992.6
971.32,43.5856,24,24,120000,38.7537,-770.3639526367188,971.1
973.53,27.0665,25,25,125000,35.737,-671.24072265625,972.21
88.86,24.0748,26,26,130000,35.9346,-815.0809326171875,89.05
1023.65,30.747,27,27,135000,39.9014,-973.8379516601562,1019.75
1009.82,50.1853,28,28,140000,38.4977,-958.8876342773438,1008.61
1027.92,35.3765,29,29,145000,39.0508,-1008.9347534179688,1026.35
766.13,25.1361,30,30,150000,30.9961,-879.3836669921875,617.36
266.21,17.1508,31,31,155000,31.6355,-673.4054565429688,271.0
410.28,31.9935,32,32,160000,32.8074,-1013.3504028320312,410.11
758.94,24.6228,33,33,165000,29.1625,-923.0897216796875,750.53
978.04,47.4951,34,34,170000,37.7912,-1271.6207275390625,976.72
262.65,37.1173,35,35,175000,30.0481,-1220.6485595703125,302.78
969.19,39.9493,36,36,180000,32.6432,-1275.6815185546875,743.55
307.7,49.9409,37,37,185000,35.9048,-1496.9456787109375,287.06
1066.46,28.9571,38,38,190000,35.1382,-1504.735107421875,1067.11
340.61,33.0183,39,39,195000,29.52,-1070.208984375,343.04
38.43,25.4882,40,40,200000,35.7503,-1464.6121826171875,37.77
1015.4,31.8957,41,41,205000,36.9888,-1671.302001953125,1015.96
982.63,59.4374,42,42,210000,38.1729,-1676.44482421875,982.72
991.45,52.3664,43,43,215000,37.4455,-1746.7706298828125,991.66
994.43,40.5159,44,44,220000,37.1286,-1853.2940673828125,995.41
1012.0,43.4217,45,45,225000,36.7747,-1875.552001953125,1012.3
1019.21,28.977,46,46,230000,35.4935,-1961.357421875,1020.39
999.63,44.421,47,47,235000,37.0159,-1977.6378173828125,999.98
969.9,60.1429,48,48,240000,39.8492,-2046.294921875,969.63
309.57,17.1686,49,49,245000,30.682,-824.8660888671875,275.84
1045.19,34.5081,50,50,250000,35.4193,-2145.644287109375,1044.9
1047.86,27.0539,51,51,255000,34.8993,-2218.947509765625,1049.87
1040.43,26.8644,52,52,260000,35.5982,-2285.943359375,1040.21
1054.56,28.4205,53,53,265000,35.3582,-2359.450439453125,1055.2
1041.35,31.7998,54,54,270000,34.4601,-2420.949462890625,1040.48
1030.3,26.9057,55,55,275000,34.4584,-2452.298095703125,1031.66
1043.54,29.4419,56,56,280000,34.7941,-2555.31640625,1043.72
1012.98,43.4883,57,57,285000,39.7545,-2582.7666015625,1012.54
1033.89,28.5688,58,58,290000,35.339,-2628.1533203125,1034.06
1003.42,48.6389,59,59,295000,39.6485,-2630.378662109375,1004.22
107.62,46.0465,60,60,300000,34.6223,-2689.998046875,107.87
806.07,46.2622,61,61,305000,26.9424,-1949.5606689453125,734.56
320.55,34.423,62,62,310000,30.0338,-2382.277587890625,313.53
1015.79,42.1338,63,63,315000,36.9937,-2990.82373046875,1015.54
983.02,46.7415,64,64,320000,38.65,-3030.206298828125,976.41
1040.54,31.0421,65,65,325000,38.6445,-3075.836669921875,1039.7
1022.02,30.3216,66,66,330000,37.6087,-3104.520751953125,1021.63
1042.61,29.6111,67,67,335000,36.7341,-3169.56640625,1043.02
