Real Det Return,Running Reverse KL,Running Forward KL,Reward Loss,Itration,Real Sto Return,Running Env Steps,Running Update Time
188.28,25.9011,33.5392,14.579204559326172,0,196.4,0,0
265.99,25.1673,32.532,-114.61192321777344,1,236.78,5000,1
196.02,28.9543,32.3192,-117.17436981201172,2,197.08,10000,2
345.55,16.2599,29.9753,68.73237609863281,3,336.78,15000,3
349.76,16.7763,29.4908,-197.2171630859375,4,347.6,20000,4
340.02,35.7397,28.3603,-311.52593994140625,5,322.18,25000,5
482.88,44.3262,25.9417,-353.3393249511719,6,456.4,30000,6
757.7,44.631,24.7596,-386.47869873046875,7,670.15,35000,7
690.21,34.4719,24.6856,-429.8723449707031,8,663.39,40000,8
988.01,29.1663,24.9401,-430.90777587890625,9,860.15,45000,9
1095.1,33.1462,25.4558,-469.2391357421875,10,975.13,50000,10
1019.19,31.3815,25.3955,-507.0539855957031,11,983.24,55000,11
870.79,28.6232,25.2726,-609.8106079101562,12,806.15,60000,12
1179.61,15.9622,26.0876,-531.05615234375,13,1048.15,65000,13
932.95,33.2073,24.7804,-586.8504638671875,14,995.81,70000,14
1171.85,20.1425,25.1001,-623.1255493164062,15,1022.55,75000,15
989.81,31.7157,24.5738,-701.8798828125,16,1097.8,80000,16
880.84,25.1656,26.1642,-804.07080078125,17,724.33,85000,17
877.9,41.8997,25.7455,-776.2224731445312,18,1111.81,90000,18
2992.09,14.7797,24.7365,-442.5809631347656,19,2767.05,95000,19
926.0,20.9428,25.1957,-594.0985717773438,20,2103.51,100000,20
2340.76,16.3191,24.1852,-574.9805908203125,21,1583.7,105000,21
1273.29,41.13,24.9141,-959.0064086914062,22,1042.2,110000,22
1085.12,38.2069,25.0947,-966.6860961914062,23,1101.79,115000,23
1073.54,41.4324,25.0237,-1030.278076171875,24,930.43,120000,24
976.92,44.2102,24.9391,-1087.6180419921875,25,941.77,125000,25
1093.44,60.9115,24.6275,-1224.6351318359375,26,1020.44,130000,26
1379.55,28.299,25.0495,-1112.1939697265625,27,995.43,135000,27
2868.67,26.3872,22.5773,-844.1925048828125,28,1905.74,140000,28
1034.43,28.6828,24.2617,-1123.2015380859375,29,1011.9,145000,29
3225.44,21.539,23.5564,-726.6626586914062,30,1797.77,150000,30
3185.89,15.2556,24.62,-559.7628784179688,31,2584.51,155000,31
3226.61,16.5182,23.6373,-796.3515625,32,1698.12,160000,32
3207.69,23.7524,23.0544,-685.70068359375,33,2635.26,165000,33
1655.76,16.6768,23.5099,-1017.3851318359375,34,1250.45,170000,34
3225.4,17.2504,23.8384,-803.1911010742188,35,2193.99,175000,35
3252.84,21.8215,22.6622,-924.365966796875,36,2067.97,180000,36
3182.88,17.2353,23.4366,-690.693115234375,37,2232.42,185000,37
3298.01,23.3206,23.2983,-805.891357421875,38,2129.82,190000,38
3257.03,46.7434,23.2056,-1312.090087890625,39,1593.11,195000,39
3331.37,13.5469,22.5618,-703.5017700195312,40,2735.38,200000,40
3342.68,19.2396,21.9627,-657.5178833007812,41,2752.11,205000,41
3210.2,14.1836,22.94,-702.750244140625,42,2921.91,210000,42
3259.45,18.0281,22.6498,-731.8234252929688,43,2394.91,215000,43
3423.85,17.1372,22.7207,-644.2293090820312,44,2860.7,220000,44
3354.35,14.2835,21.9015,-523.248046875,45,3197.77,225000,45
2162.4,26.4462,22.3621,-1111.2137451171875,46,1301.54,230000,46
3325.39,15.1253,22.4628,-764.714111328125,47,3297.41,235000,47
3355.71,14.2299,21.8085,-560.17138671875,48,2962.68,240000,48
3380.73,14.0932,21.7151,-503.15576171875,49,3240.54,245000,49
2673.73,14.1159,22.9941,-674.6743774414062,50,3216.26,250000,50
3396.17,15.0158,22.9921,-514.9508666992188,51,3010.2,255000,51
3417.97,15.0248,21.7403,-789.6873779296875,52,1872.84,260000,52
3375.91,14.2265,21.7857,-602.3782348632812,53,3250.52,265000,53
3424.96,14.9458,20.9804,-486.72161865234375,54,2902.95,270000,54
3420.62,15.3666,22.2469,-602.5462036132812,55,3271.94,275000,55
3489.13,13.9753,21.0561,-604.6701049804688,56,2596.55,280000,56
1951.79,21.2153,22.7134,-1498.408203125,57,1109.97,285000,57
3446.63,15.0295,21.5726,-542.891845703125,58,3314.17,290000,58
3379.58,16.254,22.3625,-607.927978515625,59,3378.53,295000,59
3514.98,14.4558,20.4083,-367.18255615234375,60,2797.26,300000,60
3402.41,14.8853,21.4956,-600.2308959960938,61,3070.43,305000,61
3467.88,14.3321,20.625,-486.9884338378906,62,3442.22,310000,62
2882.4,18.6563,21.3816,-1187.717529296875,63,1808.44,315000,63
3460.89,15.4999,21.7702,-567.7108154296875,64,3453.62,320000,64
3444.35,18.01,22.3894,-740.9663696289062,65,3025.88,325000,65
3475.35,14.9865,21.3333,-970.8256225585938,66,2640.79,330000,66
3448.1,15.5762,22.2987,-598.3291015625,67,3405.55,335000,67
3482.54,15.2969,21.5626,-561.1345825195312,68,3293.86,340000,68
3457.74,14.1727,21.2875,-633.7715454101562,69,3422.46,345000,69
3514.11,14.9288,21.3904,-638.8238525390625,70,2911.77,350000,70
3451.07,14.033,21.6677,-687.2203369140625,71,3451.27,355000,71
3488.82,14.9969,21.5791,-959.5687255859375,72,2298.56,360000,72
3469.98,13.1483,20.2044,-574.4575805664062,73,3058.12,365000,73
3518.63,15.2532,21.6289,-457.0825500488281,74,3217.98,370000,74
3505.83,14.9965,21.1747,-585.927978515625,75,3347.09,375000,75
3498.13,15.0204,21.8469,-640.4000854492188,76,3455.1,380000,76
3531.29,15.0358,21.4894,-517.7127685546875,77,2304.64,385000,77
3443.8,14.6129,21.5214,-641.2575073242188,78,3435.85,390000,78
3521.33,14.2486,20.875,-522.0269775390625,79,3091.18,395000,79
3477.01,14.6811,21.4984,-693.1812744140625,80,3305.02,400000,80
3517.74,14.6431,20.6423,-614.8977661132812,81,3399.62,405000,81
3455.38,14.1092,21.6588,-1104.231689453125,82,2884.77,410000,82
3344.79,14.1805,20.3352,-567.1710205078125,83,1831.03,415000,83
3390.33,14.8552,21.1711,-798.7706298828125,84,3394.71,420000,84
3440.85,15.9756,21.4548,-766.0897216796875,85,3342.36,425000,85
3501.85,14.6265,21.2838,-654.0616455078125,86,3191.65,430000,86
3498.64,15.0734,21.682,-659.2514038085938,87,3481.96,435000,87
3524.68,14.5098,20.4895,-518.312744140625,88,3363.22,440000,88
3376.77,14.2329,21.3403,-899.5321044921875,89,3240.51,445000,89
3388.85,15.7649,22.248,-841.1487426757812,90,3395.27,450000,90
3485.19,14.4464,21.2239,-737.3973999023438,91,3477.17,455000,91
3499.66,14.6446,21.2318,-726.9259033203125,92,3483.01,460000,92
3468.61,14.654,21.184,-791.18310546875,93,3245.66,465000,93
3479.38,14.4888,21.0521,-779.0501098632812,94,3450.98,470000,94
3503.56,14.1204,21.205,-772.0819091796875,95,3172.87,475000,95
3525.47,14.749,20.7162,-581.6907958984375,96,3270.99,480000,96
3501.59,14.7582,21.3416,-719.9016723632812,97,3390.53,485000,97
3508.07,14.5659,20.9233,-807.9085083007812,98,3367.34,490000,98
3491.76,14.4701,20.5664,-766.584228515625,99,3472.5,495000,99
3500.72,13.6641,20.801,-816.6072998046875,100,2581.84,500000,100
3469.64,14.7543,20.9118,-857.7504272460938,101,3446.23,505000,101
3516.37,15.0798,21.1062,-736.9462890625,102,3490.56,510000,102
3487.38,14.4969,20.2539,-757.911376953125,103,2865.61,515000,103
3506.19,14.9714,21.2584,-815.3041381835938,104,3491.52,520000,104
