Itration,Running Forward KL,Running Update Time,Real Det Return,Running Reverse KL,Reward Loss,Running Env Steps,Real Sto Return
0,158.5159,0,-10.61,11.705,431.78753662109375,0,-193.82
1,158.2238,1,102.67,11.1332,432.9446105957031,5000,-93.83
2,158.4368,2,85.86,14.5532,376.2758483886719,10000,16.37
3,158.187,3,289.82,11.8706,306.5709228515625,15000,187.21
4,157.591,4,1171.98,11.5559,293.8185729980469,20000,662.59
5,157.1274,5,1574.15,12.4213,287.6868896484375,25000,1102.29
6,156.8441,6,2105.8,13.5167,254.64076232910156,30000,1395.4
7,156.8111,7,2278.26,12.9505,168.23902893066406,35000,1714.17
8,156.5515,8,2150.27,12.0673,102.15857696533203,40000,1842.71
9,156.2376,9,3080.33,14.0179,59.29255676269531,45000,2482.31
10,155.993,10,3181.39,14.2369,56.167720794677734,50000,2826.77
11,155.6438,11,3931.53,15.245,33.86518478393555,55000,3233.98
12,155.1659,12,4104.8,14.8163,12.525379180908203,60000,3483.51
13,155.0307,13,4320.88,16.1392,-12.36671257019043,65000,3807.78
14,154.7861,14,4267.3,16.6428,12.761950492858887,70000,3924.7
15,154.9355,15,4709.03,16.7009,-79.87940216064453,75000,3888.6
16,154.5193,16,4798.86,16.5477,-116.80876922607422,80000,4228.19
17,154.3888,17,4775.52,16.7049,-154.5311279296875,85000,4362.1
18,154.2761,18,4868.55,16.3154,-197.9553680419922,90000,4412.55
19,154.1038,19,5048.85,16.4256,-232.29885864257812,95000,4513.75
20,154.0443,20,5186.04,16.9004,-260.55718994140625,100000,4723.37
21,154.014,21,5212.84,16.9814,-320.2745361328125,105000,4669.43
22,153.8114,22,5368.96,16.7201,-327.4427795410156,110000,4909.57
23,153.4244,23,5558.24,16.4052,-383.5361633300781,115000,4989.62
24,153.032,24,5798.72,16.0226,-417.7899475097656,120000,4956.23
25,153.4268,25,6077.91,16.7875,-446.0995178222656,125000,5367.78
26,153.3451,26,5921.83,16.0356,-506.25579833984375,130000,5306.44
27,153.5318,27,6050.81,16.721,-516.4513549804688,135000,5509.47
28,152.7074,28,6380.57,15.7476,-537.3350219726562,140000,5644.55
29,152.991,29,6289.79,16.2542,-580.1587524414062,145000,5718.93
30,152.7211,30,6665.83,16.0022,-567.9556884765625,150000,5856.54
31,152.5563,31,6817.08,16.7131,-609.6890869140625,155000,6131.27
32,152.2701,32,6978.92,17.1332,-629.957275390625,160000,6263.23
33,152.3467,33,7082.71,16.0885,-649.0659790039062,165000,6418.75
34,152.3721,34,7388.64,16.1627,-670.4210205078125,170000,6402.22
35,152.0209,35,7232.79,16.4419,-697.144287109375,175000,6721.02
36,152.0941,36,7248.82,16.5149,-732.6914672851562,180000,6641.89
37,152.2727,37,6869.78,16.2539,-742.7411499023438,185000,6584.0
38,151.8198,38,7618.52,16.2954,-774.5828857421875,190000,6781.91
39,151.9168,39,7597.38,15.4969,-800.7019653320312,195000,7039.63
40,151.8883,40,7635.79,15.9092,-829.4407348632812,200000,6943.39
41,151.4835,41,7448.15,16.0594,-851.2337036132812,205000,6917.24
42,151.7466,42,7781.39,16.575,-877.2479248046875,210000,7032.36
43,151.7061,43,7934.54,17.4438,-889.4910888671875,215000,7395.35
44,151.3064,44,7433.28,15.2023,-940.6051635742188,220000,6952.2
45,151.389,45,7994.7,15.8425,-932.0886840820312,225000,7385.29
46,151.0714,46,8042.28,17.0702,-982.0021362304688,230000,7354.12
47,151.3213,47,8051.61,16.9972,-1019.8411865234375,235000,7406.54
48,151.1876,48,7984.1,16.2544,-1070.9403076171875,240000,7415.11
49,150.9914,49,8147.24,16.4421,-1035.5704345703125,245000,7451.82
50,150.6127,50,8395.94,16.7208,-1064.379638671875,250000,7657.5
51,150.8922,51,8539.63,16.9876,-1075.13330078125,255000,7835.85
52,150.9814,52,8069.56,16.8962,-1138.772705078125,260000,7381.78
53,151.0523,53,8520.16,16.5687,-1142.0013427734375,265000,7917.27
54,150.5153,54,8183.85,16.8483,-1190.0467529296875,270000,7473.14
55,150.5309,55,8621.51,16.6244,-1182.5289306640625,275000,8018.87
56,150.5754,56,8236.81,16.3868,-1218.172119140625,280000,7726.11
57,150.6111,57,8363.48,16.9877,-1235.3646240234375,285000,8094.62
58,150.495,58,8385.67,17.3317,-1263.2725830078125,290000,7904.82
59,149.8992,59,8881.33,16.7137,-1252.9031982421875,295000,8162.11
60,149.9037,60,8722.96,16.7128,-1306.4501953125,300000,8238.04
61,149.215,61,8969.37,17.0612,-1309.1805419921875,305000,8317.22
62,149.7866,62,8829.19,16.674,-1369.0791015625,310000,8230.96
63,150.3166,63,8900.72,17.284,-1366.8358154296875,315000,8427.61
