Real Sto Return,Reward Loss,Real Det Return,Running Update Time,Running Reverse KL,Itration,Running Forward KL,Running Env Steps
-64.43,48.66685104370117,269.82,0,25.2384,0,74.7784,0
-22.69,43.40138626098633,397.28,1,25.9741,1,74.961,5000
-27.4,27.970239639282227,540.33,2,26.1172,2,72.7775,10000
4.45,22.132999420166016,718.16,3,27.2573,3,71.7216,15000
35.03,14.175053596496582,441.74,4,28.8318,4,71.1377,20000
82.91,1.1274362802505493,611.62,5,28.6158,5,70.8911,25000
99.9,-10.181333541870117,770.62,6,28.9834,6,71.1616,30000
90.81,-23.565406799316406,682.47,7,28.3408,7,67.6569,35000
164.19,-34.35108184814453,794.34,8,28.8662,8,68.0447,40000
148.48,-47.65535354614258,611.67,9,30.0944,9,72.3226,45000
183.32,-58.78104019165039,565.27,10,30.6281,10,72.1313,50000
98.23,-67.7016830444336,688.92,11,29.3213,11,68.8423,55000
175.16,-83.09431457519531,631.92,12,30.3111,12,70.7632,60000
153.44,-95.00758361816406,756.21,13,29.7654,13,69.4148,65000
177.35,-110.57428741455078,785.67,14,29.9477,14,69.299,70000
212.85,-116.3199691772461,528.4,15,29.2772,15,66.5381,75000
232.58,-131.20364379882812,988.64,16,29.4269,16,68.4284,80000
272.42,-144.46649169921875,601.51,17,28.3065,17,66.5101,85000
316.1,-151.32737731933594,868.2,18,29.2109,18,67.987,90000
367.57,-164.83631896972656,1243.55,19,29.0763,19,66.1282,95000
359.59,-174.53665161132812,1032.2,20,28.7174,20,65.5335,100000
393.27,-187.67987060546875,928.89,21,28.1958,21,64.5867,105000
281.49,-192.78195190429688,859.34,22,28.025,22,63.817,110000
303.52,-213.86065673828125,1030.53,23,28.0174,23,65.2605,115000
344.03,-223.96023559570312,994.47,24,28.4295,24,65.9722,120000
356.54,-233.07391357421875,938.04,25,27.2781,25,63.9506,125000
482.27,-243.74151611328125,1126.63,26,28.595,26,63.0674,130000
319.82,-267.8157043457031,1004.52,27,28.0171,27,65.3377,135000
393.39,-285.4997253417969,1007.9,28,29.1553,28,67.6594,140000
405.33,-267.9093017578125,1005.18,29,26.5223,29,61.5622,145000
