Real Det Return,Reward Loss,Running Reverse KL,Itration,Running Forward KL,Running Update Time,Real Sto Return,Running Env Steps
441.32,35.51804733276367,27.953,0,76.1437,0,-125.34,0
428.91,30.880041122436523,27.451,1,76.2365,1,-51.5,5000
390.86,18.86083984375,26.9653,2,74.582,2,-45.84,10000
408.83,7.278960227966309,25.3702,3,72.0358,3,-8.8,15000
525.07,3.5192575454711914,27.5537,4,72.6389,4,13.18,20000
503.48,-13.721942901611328,27.8115,5,72.9751,5,26.94,25000
481.75,-24.573543548583984,28.6963,6,72.0136,6,38.28,30000
721.43,-32.56325912475586,28.9108,7,72.407,7,61.26,35000
756.38,-46.075801849365234,29.0914,8,74.9834,8,77.55,40000
594.5,-52.90977478027344,30.2696,9,74.0064,9,84.79,45000
772.12,-73.16474914550781,30.8772,10,73.0916,10,94.7,50000
673.98,-78.46878814697266,30.6585,11,73.0055,11,112.69,55000
779.69,-90.86990356445312,30.1675,12,71.8689,12,152.63,60000
460.77,-102.39041900634766,29.7811,13,72.8963,13,108.45,65000
582.6,-109.23782348632812,30.0939,14,72.2264,14,128.82,70000
735.85,-123.34028625488281,30.2101,15,71.8949,15,132.32,75000
480.58,-139.5030059814453,30.2281,16,73.9968,16,119.69,80000
599.91,-147.9444580078125,29.5774,17,70.0836,17,131.21,85000
775.89,-162.53036499023438,31.2439,18,71.5257,18,150.83,90000
468.61,-169.1096954345703,30.9327,19,72.7664,19,162.23,95000
737.7,-180.18118286132812,31.0941,20,72.5174,20,134.47,100000
833.44,-188.70437622070312,29.6508,21,70.7792,21,177.27,105000
1007.3,-194.3930206298828,30.0994,22,70.1394,22,235.73,110000
423.37,-220.6980743408203,30.1356,23,69.9321,23,203.27,115000
770.42,-229.90130615234375,29.2943,24,70.9113,24,216.25,120000
640.64,-242.03607177734375,29.4642,25,68.9899,25,247.37,125000
935.01,-253.50186157226562,30.2148,26,72.0014,26,240.77,130000
970.57,-262.0830078125,30.2754,27,70.8509,27,235.97,135000
1116.34,-268.90185546875,29.1707,28,68.1808,28,323.84,140000
842.82,-289.8564453125,30.1604,29,70.4142,29,219.12,145000
1000.15,-295.27569580078125,28.6903,30,68.2169,30,281.38,150000
800.07,-310.0716857910156,29.8267,31,69.2663,31,261.07,155000
778.36,-337.24798583984375,30.5505,32,70.8079,32,320.15,160000
723.01,-340.60113525390625,30.1781,33,71.4517,33,270.01,165000
1124.5,-338.4087829589844,28.8714,34,67.7265,34,221.72,170000
856.61,-359.25457763671875,29.2442,35,70.2601,35,250.1,175000
990.49,-356.0849609375,27.7073,36,66.1199,36,309.22,180000
1081.2,-371.9432373046875,28.3304,37,66.3822,37,527.61,185000
808.77,-394.1955871582031,27.282,38,66.3902,38,314.55,190000
1198.03,-410.2601013183594,29.267,39,68.1222,39,446.88,195000
810.4,-414.5282897949219,28.1395,40,66.0161,40,411.12,200000
601.5,-443.69293212890625,30.1158,41,70.0013,41,293.96,205000
1269.64,-448.43731689453125,30.1778,42,69.1224,42,438.29,210000
543.68,-468.7010498046875,29.2677,43,69.5187,43,281.35,215000
1001.2,-454.3463439941406,26.8377,44,64.462,44,297.65,220000
1551.52,-464.1767883300781,27.0806,45,64.0581,45,634.94,225000
822.72,-495.1383972167969,27.5799,46,66.5163,46,323.42,230000
1978.69,-442.0704040527344,27.6871,47,62.6099,47,836.29,235000
1171.78,-496.8920593261719,26.116,48,63.8132,48,443.91,240000
1456.11,-504.2535095214844,27.3199,49,63.7887,49,558.61,245000
1265.12,-540.2787475585938,27.9673,50,67.0191,50,441.33,250000
1283.52,-554.2828979492188,27.6475,51,66.0647,51,419.81,255000
1573.81,-534.6682739257812,27.898,52,63.7951,52,724.58,260000
844.13,-598.88818359375,28.9047,53,68.981,53,290.59,265000
936.4,-622.542724609375,30.0414,54,69.7277,54,338.67,270000
2051.55,-591.7794189453125,28.2814,55,65.3699,55,1114.72,275000
1864.11,-587.5047607421875,26.6126,56,63.0318,56,445.55,280000
1398.2,-637.2893676757812,27.0039,57,66.7101,57,659.04,285000
1191.2,-628.4794311523438,26.7385,58,65.1471,58,456.42,290000
1536.35,-675.5491333007812,28.3529,59,67.6134,59,552.26,295000
1950.82,-633.20849609375,27.508,60,64.1552,60,937.2,300000
1279.68,-648.3607788085938,25.6386,61,64.0728,61,931.65,305000
2026.2,-644.2360229492188,29.5271,62,64.1912,62,921.93,310000
1562.13,-681.2487182617188,26.4683,63,64.1988,63,855.72,315000
2116.01,-650.9609375,27.0638,64,63.025,64,1097.46,320000
2272.61,-661.4146118164062,26.732,65,62.4384,65,817.14,325000
1469.76,-740.9515991210938,27.153,66,66.0734,66,863.34,330000
2560.93,-739.9107055664062,26.5866,67,64.4003,67,1301.94,335000
1019.24,-756.7736206054688,25.1557,68,64.3147,68,722.52,340000
1659.22,-716.2208862304688,27.4652,69,62.8188,69,922.35,345000
2238.59,-742.6065063476562,28.6806,70,63.9809,70,1351.16,350000
806.48,-836.2987060546875,26.5042,71,66.6728,71,490.28,355000
1143.9,-825.1427612304688,26.9563,72,65.3301,72,644.3,360000
2917.23,-752.4328002929688,27.9136,73,62.8953,73,1478.64,365000
2948.32,-690.1599731445312,36.5646,74,64.8209,74,1773.18,370000
3504.62,-748.982421875,30.5536,75,63.8355,75,1943.7,375000
1349.65,-831.3095092773438,26.7336,76,63.9822,76,868.98,380000
3307.73,-793.0962524414062,27.5631,77,63.3227,77,1217.07,385000
1678.08,-886.2345581054688,27.9931,78,65.1661,78,918.94,390000
2572.58,-752.8815307617188,39.7026,79,65.533,79,1946.3,395000
3079.2,-718.2359619140625,45.7725,80,67.4656,80,2235.78,400000
2646.54,-819.5303344726562,29.6694,81,63.0745,81,1286.14,405000
3008.03,-775.7467041015625,39.7814,82,65.6654,82,2214.61,410000
2821.14,-768.931640625,44.4394,83,67.7373,83,2027.55,415000
3245.87,-833.1953125,40.4504,84,66.5151,84,2663.74,420000
2626.34,-972.4246215820312,28.2559,85,64.7539,85,1529.24,425000
2766.87,-823.8177490234375,36.6168,86,64.4608,86,1798.32,430000
2902.62,-816.7620239257812,37.9183,87,65.8134,87,1597.86,435000
3335.03,-854.318603515625,40.8471,88,65.6221,88,2351.09,440000
2525.14,-863.3215942382812,38.1182,89,66.7529,89,1855.37,445000
3430.3,-879.3158569335938,35.7459,90,65.0558,90,2246.26,450000
3426.6,-841.5761108398438,45.5371,91,66.2946,91,3129.94,455000
3803.96,-820.2885131835938,44.6464,92,67.5522,92,2862.56,460000
2843.44,-927.8477172851562,43.2382,93,68.4178,93,2164.15,465000
3789.7,-872.6650390625,44.9212,94,66.3535,94,3239.57,470000
2461.87,-922.6414184570312,40.9857,95,66.5565,95,1991.84,475000
3900.52,-946.9922485351562,43.7691,96,67.1245,96,3320.44,480000
3758.69,-949.6461791992188,39.2569,97,65.2279,97,3029.36,485000
3611.62,-937.3995361328125,49.0844,98,70.1534,98,2691.14,490000
3744.99,-972.08203125,51.3089,99,70.7003,99,3038.6,495000
3702.28,-975.5789184570312,47.7943,100,67.7404,100,3070.74,500000
3548.42,-1043.623291015625,45.5241,101,68.1232,101,2808.09,505000
4048.17,-1042.6455078125,42.3005,102,65.5547,102,3315.07,510000
4053.89,-993.9968872070312,50.2036,103,69.9161,103,3603.43,515000
