Running Update Time,Real Sto Return,Itration,Reward Loss,Running Reverse KL,Running Env Steps,Real Det Return,Running Forward KL
0,-53.1,0,13.725564002990723,26.4733,0,409.98,74.1897
1,-94.48,1,2.2150650024414062,26.4386,5000,397.91,72.7661
2,-66.57,2,-15.904672622680664,26.817,10000,486.27,71.8574
3,-48.45,3,-30.265592575073242,27.6902,15000,431.58,73.499
4,3.35,4,-43.207637786865234,28.323,20000,464.06,72.0734
5,30.01,5,-53.53326416015625,28.8582,25000,517.08,72.753
6,-6.02,6,-72.81040954589844,29.141,30000,395.35,73.497
7,14.45,7,-77.1070327758789,27.3548,35000,522.51,70.4394
8,51.83,8,-102.53753662109375,29.622,40000,605.84,71.3688
9,86.82,9,-115.66399383544922,29.6158,45000,570.43,72.5202
10,120.04,10,-123.66877746582031,31.1681,50000,691.43,72.8001
11,190.99,11,-130.1849822998047,29.5052,55000,930.46,68.9392
12,122.79,12,-148.79129028320312,30.7587,60000,830.31,71.65
13,137.89,13,-152.918701171875,28.9209,65000,910.22,68.7262
14,154.36,14,-167.2403564453125,30.2839,70000,602.9,70.4995
15,163.91,15,-191.0179901123047,30.0889,75000,776.43,70.7384
16,172.83,16,-189.82373046875,28.9555,80000,763.74,67.2043
17,155.2,17,-214.83645629882812,30.5108,85000,747.15,71.1936
18,259.28,18,-211.67138671875,28.0341,90000,832.35,65.1668
19,244.6,19,-249.5897979736328,31.8006,95000,885.76,71.4614
20,221.57,20,-251.3427734375,30.5591,100000,792.52,69.4625
21,157.7,21,-260.691162109375,29.8394,105000,691.13,69.0862
22,237.29,22,-276.5596618652344,29.5486,110000,718.92,68.313
23,229.0,23,-283.3600158691406,30.3684,115000,733.49,68.7575
24,315.26,24,-303.6202697753906,29.9857,120000,877.49,69.6522
25,204.59,25,-307.10357666015625,28.4775,125000,773.12,64.8945
26,239.49,26,-309.1312255859375,28.4971,130000,735.97,64.7543
27,249.17,27,-342.2809753417969,30.1161,135000,668.93,65.7855
28,197.29,28,-341.44781494140625,29.5904,140000,681.04,64.2665
29,229.97,29,-355.9263916015625,28.9529,145000,918.95,64.9142
30,295.4,30,-364.9886169433594,27.6022,150000,1009.72,61.6934
31,205.02,31,-390.2878112792969,28.524,155000,659.37,65.3934
32,347.38,32,-394.2093200683594,28.7714,160000,771.42,63.7463
33,450.6,33,-396.78363037109375,26.7155,165000,948.18,60.7364
34,297.91,34,-410.9542236328125,27.758,170000,799.46,61.8082
35,631.01,35,-387.2510070800781,26.4914,175000,1296.63,56.8622
36,667.59,36,-424.247314453125,26.1131,180000,1449.79,57.8259
37,361.82,37,-414.0899658203125,26.0446,185000,1119.72,57.4562
38,426.99,38,-429.2006530761719,24.0263,190000,1052.5,54.7578
39,472.04,39,-457.49920654296875,27.4489,195000,901.48,60.1909
40,470.68,40,-467.21051025390625,26.1821,200000,1072.28,58.6147
41,689.36,41,-493.5572204589844,26.1728,205000,542.33,59.1445
42,643.08,42,-479.79486083984375,25.2686,210000,1100.75,57.8208
43,399.51,43,-507.11798095703125,25.7147,215000,922.8,58.7668
44,329.71,44,-529.900390625,26.5206,220000,888.26,60.8643
45,637.77,45,-512.1192626953125,24.8229,225000,1328.89,55.2252
46,921.97,46,-517.8959350585938,24.8165,230000,1540.14,55.4003
47,810.08,47,-478.7190856933594,25.4373,235000,1518.81,54.5013
48,821.29,48,-542.468017578125,24.3519,240000,1154.4,55.6488
49,703.32,49,-566.4547729492188,24.2625,245000,1546.56,56.4473
50,824.78,50,-533.3128051757812,22.3561,250000,1232.25,52.384
51,672.45,51,-558.1907958984375,23.7855,255000,938.99,53.9678
52,486.73,52,-565.0654296875,23.0347,260000,889.64,53.4601
53,741.39,53,-603.005859375,23.5311,265000,763.89,54.9151
54,421.63,54,-658.8429565429688,26.3425,270000,707.74,59.8585
55,424.82,55,-675.1439819335938,25.9194,275000,846.73,59.253
56,785.34,56,-577.9192504882812,21.0514,280000,1705.31,50.6959
57,1504.71,57,-626.3071899414062,23.678,285000,1768.5,54.121
58,777.27,58,-685.6227416992188,24.905,290000,1228.01,57.4733
59,782.79,59,-649.908203125,22.9393,295000,1655.09,53.2471
60,883.11,60,-720.556396484375,24.4829,300000,1589.18,55.1268
61,1003.41,61,-642.68896484375,22.6438,305000,1409.74,53.174
62,569.75,62,-732.9244384765625,24.4727,310000,1495.07,56.2552
63,1148.12,63,-630.8704833984375,21.5775,315000,1460.33,50.6627
64,869.67,64,-639.4185791015625,21.9337,320000,1293.39,52.341
65,1147.64,65,-664.0436401367188,22.3466,325000,1485.2,53.2418
66,579.77,66,-702.5181274414062,21.7476,330000,1124.96,54.3533
67,946.92,67,-617.6071166992188,21.3478,335000,1471.7,50.5809
68,1053.61,68,-551.5767211914062,24.472,340000,1707.28,51.6376
69,823.98,69,-637.0459594726562,17.8443,345000,1355.47,48.0772
70,964.51,70,-669.5947265625,21.3617,350000,1055.68,53.6984
71,1060.56,71,-663.3894653320312,25.3516,355000,1390.32,52.8562
72,901.09,72,-757.3865356445312,20.772,360000,1105.01,52.8869
73,1749.4,73,-654.4189453125,22.3698,365000,2766.31,50.0657
74,1426.4,74,-749.2239379882812,24.3348,370000,1889.71,53.8152
75,2234.25,75,-551.2737426757812,27.2646,375000,2489.44,51.1911
76,1316.91,76,-549.0584716796875,27.1616,380000,2539.64,49.9795
77,1754.72,77,-574.6306762695312,22.771,385000,2276.92,49.9344
78,1644.92,78,-591.2161254882812,24.1471,390000,2649.41,50.4664
79,1294.1,79,-626.8615112304688,24.635,395000,2553.48,52.3184
80,1463.03,80,-732.0053100585938,23.039,400000,2671.94,51.8408
81,763.0,81,-831.914794921875,22.0149,405000,1569.22,53.8765
82,986.81,82,-969.69140625,23.2961,410000,813.62,57.5933
83,2129.35,83,-836.6282958984375,21.8569,415000,2934.73,53.5481
84,2314.83,84,-587.3661499023438,27.4758,420000,3396.7,50.2731
85,1662.15,85,-644.3633422851562,32.3192,425000,2572.75,54.7317
86,1570.17,86,-750.5003662109375,25.0329,430000,1755.37,53.2143
87,2592.14,87,-667.6259765625,28.2555,435000,2989.26,52.8909
88,1466.97,88,-901.043212890625,21.7553,440000,2564.57,52.3839
89,1172.45,89,-924.0391845703125,24.8126,445000,1044.32,55.3568
90,1762.11,90,-800.9833984375,23.9185,450000,1813.63,55.267
91,2208.36,91,-637.5985717773438,29.0274,455000,2656.56,52.6439
92,1075.92,92,-935.5381469726562,22.2304,460000,1344.61,54.5317
93,2598.3,93,-655.7645263671875,35.0689,465000,3650.76,57.3551
94,2239.75,94,-652.8062133789062,32.7765,470000,3083.8,54.6037
95,2836.1,95,-628.285888671875,34.0981,475000,3484.62,56.8388
96,1235.39,96,-936.7741088867188,21.5452,480000,1393.87,53.439
97,2454.09,97,-849.1339111328125,28.7985,485000,3266.92,57.5607
98,2348.57,98,-699.8009643554688,29.7199,490000,2556.58,56.049
99,1503.61,99,-945.7506103515625,23.0897,495000,2651.1,53.6936
100,1427.93,100,-873.9215698242188,30.2745,500000,1295.72,57.7892
101,3350.76,101,-653.5411987304688,36.3848,505000,3848.73,58.2456
102,2384.96,102,-693.6863403320312,40.4875,510000,1891.89,63.8116
103,2522.41,103,-680.5771484375,38.6622,515000,2667.5,58.3711
104,2133.32,104,-794.4573364257812,35.6665,520000,3559.15,60.1539
105,3137.4,105,-724.8697509765625,51.5469,525000,3122.33,67.2516
106,3210.15,106,-724.98095703125,40.9364,530000,3593.18,60.2559
107,2494.49,107,-847.0625,29.8631,535000,3568.06,56.8279
108,3489.45,108,-672.7794189453125,49.1293,540000,4207.6,65.3994
109,3286.89,109,-701.5474853515625,43.2123,545000,3848.54,62.5369
110,2300.22,110,-771.6827392578125,34.5488,550000,2600.13,58.5351
111,3074.36,111,-737.2168579101562,44.458,555000,3996.96,62.5343
112,2597.74,112,-971.0213012695312,29.4072,560000,2454.08,59.0975
113,2443.31,113,-817.84521484375,44.7846,565000,1666.52,63.2919
114,3145.61,114,-886.0377197265625,34.6014,570000,3794.07,60.4954
115,3098.07,115,-840.9588623046875,34.9765,575000,3882.57,57.9073
116,1625.58,116,-1154.74951171875,27.4315,580000,1865.31,60.8354
117,3079.4,117,-782.8521728515625,42.8058,585000,3724.45,61.8591
118,2260.39,118,-795.5510864257812,48.2442,590000,3642.62,61.425
119,2921.67,119,-1210.498291015625,28.949,595000,2450.39,59.0169
120,2771.57,120,-931.0687866210938,32.0723,600000,3795.2,58.0162
121,2578.84,121,-970.9942626953125,34.0984,605000,3107.05,60.0879
122,1707.57,122,-1022.5385131835938,37.0135,610000,2756.85,61.3814
123,3576.32,123,-943.1779174804688,42.6579,615000,4194.35,61.4668
124,3107.4,124,-986.7464599609375,45.5217,620000,4112.81,63.2278
125,1057.44,125,-1171.6444091796875,33.6104,625000,1296.81,61.023
126,2599.19,126,-887.828125,47.5952,630000,3569.05,64.2652
127,3572.89,127,-947.03125,42.9599,635000,3782.63,62.358
128,3884.54,128,-1006.662841796875,49.1686,640000,4482.78,64.004
129,3953.01,129,-1042.203369140625,44.8887,645000,4424.14,62.646
130,2818.72,130,-1021.4458618164062,43.6269,650000,2553.82,64.1445
131,2113.12,131,-1126.388427734375,36.0196,655000,3342.99,60.4309
132,4235.06,132,-1031.4879150390625,50.1743,660000,4961.58,63.9582
133,4573.69,133,-1079.51611328125,46.3782,665000,4607.8,63.3898
134,2363.88,134,-1412.772705078125,29.7762,670000,3726.88,60.0355
135,3398.71,135,-1072.29150390625,50.8946,675000,3810.5,67.2722
136,3305.31,136,-1226.93505859375,42.3316,680000,4451.03,63.2363
137,1551.6,137,-1201.7626953125,42.7436,685000,2074.4,63.41
138,3446.83,138,-1134.732421875,57.2175,690000,3742.43,70.9406
139,3120.9,139,-1134.84228515625,54.9042,695000,3191.83,68.6867
140,3322.02,140,-1251.8275146484375,47.6145,700000,3757.62,66.5267
141,2824.07,141,-1233.2977294921875,42.7248,705000,2823.34,65.3263
142,3570.3,142,-1245.6953125,54.8936,710000,5028.72,72.5787
143,3384.02,143,-1316.2786865234375,48.1597,715000,3493.86,69.2211
144,4064.71,144,-1247.7301025390625,49.4628,720000,3905.85,68.2795
145,2390.37,145,-1402.611572265625,49.5687,725000,3773.02,66.515
146,2910.96,146,-1279.0858154296875,53.3498,730000,2647.45,71.0429
147,3225.81,147,-1407.41796875,45.297,735000,4344.95,63.7335
148,3872.64,148,-1384.8787841796875,52.1237,740000,4160.29,67.6044
149,3506.98,149,-1478.024658203125,47.5751,745000,4786.82,66.3693
150,3565.65,150,-1425.5274658203125,47.0713,750000,4163.07,66.4894
151,3953.49,151,-1429.0008544921875,57.5248,755000,5115.69,72.2454
152,3635.31,152,-1422.5972900390625,57.5943,760000,3776.18,71.1105
153,3618.41,153,-1487.246826171875,56.4268,765000,4530.09,68.2679
154,2172.97,154,-1502.16259765625,57.4224,770000,3881.58,70.2343
155,4450.84,155,-1603.3162841796875,45.514,775000,3827.23,65.2618
156,4223.62,156,-1521.6097412109375,57.8273,780000,4661.39,70.3392
157,3658.63,157,-1624.527099609375,55.6827,785000,5023.22,69.369
158,3167.84,158,-1566.700927734375,55.8204,790000,4629.81,71.5277
159,3653.39,159,-1716.1893310546875,51.5288,795000,2928.58,68.1199
160,4041.3,160,-1715.6397705078125,45.114,800000,4625.88,65.4849
161,3550.11,161,-1670.2347412109375,60.4946,805000,4293.44,72.9625
162,4248.86,162,-1724.259765625,57.7057,810000,5035.63,72.2834
163,4058.62,163,-1772.3734130859375,62.9112,815000,3723.91,77.3748
164,4234.02,164,-1831.5750732421875,51.9298,820000,4630.15,69.4147
165,1968.86,165,-1864.0181884765625,54.5393,825000,3147.08,68.6973
166,4691.28,166,-1873.41015625,62.3971,830000,5040.83,75.684
167,3898.74,167,-1868.4281005859375,55.7377,835000,4633.32,71.4267
168,3267.94,168,-1872.4970703125,54.2924,840000,2983.37,69.6755
169,3331.42,169,-1955.6068115234375,68.8993,845000,4054.8,76.5194
170,4446.41,170,-1997.2401123046875,52.224,850000,5063.54,69.005
171,4220.47,171,-2022.328369140625,66.9502,855000,4894.4,76.1557
172,4427.87,172,-2130.8203125,64.6291,860000,5047.51,76.3823
173,4726.07,173,-2081.09423828125,66.9885,865000,4791.15,75.333
174,4448.58,174,-2106.44091796875,69.3046,870000,4926.22,76.589
175,4270.23,175,-2156.222900390625,65.3119,875000,5135.14,75.3481
176,4409.53,176,-2149.69921875,65.1059,880000,4889.22,76.9495
177,4673.05,177,-2208.75537109375,67.4003,885000,4631.84,73.5621
178,4863.03,178,-2213.79345703125,63.9767,890000,5214.52,72.2385
179,4682.86,179,-2332.735595703125,70.393,895000,5217.27,75.415
180,3448.69,180,-2437.010498046875,62.4309,900000,4463.25,73.7828
181,4499.14,181,-2393.905029296875,71.6796,905000,4778.68,80.4705
