Real Det Return,Running Forward KL,Real Sto Return,Running Update Time,Running Reverse KL,Itration,Reward Loss,Running Env Steps
250.65,38.6059,240.08,0,16.0493,0,-77.07223510742188,0
264.16,37.8162,263.35,1,16.5164,1,7.628187656402588,5000
237.8,37.6404,244.8,2,26.0402,2,-22.279293060302734,10000
276.0,36.4676,281.86,3,23.0001,3,-10.167375564575195,15000
356.21,35.038,288.08,4,37.4155,4,-63.107357025146484,20000
379.5,33.6941,361.36,5,15.8039,5,-36.241233825683594,25000
298.19,35.7239,342.22,6,31.1234,6,-134.56475830078125,30000
687.28,31.1703,950.04,7,26.8569,7,-100.70056915283203,35000
814.55,31.1775,647.41,8,20.3074,8,-111.63863372802734,40000
2434.38,30.2715,1984.4,9,15.2936,9,-59.22822570800781,45000
2444.6,28.6877,2510.64,10,11.39,10,-29.098764419555664,50000
2301.93,31.4551,2011.63,11,17.2401,11,-70.4915542602539,55000
2555.69,31.1055,2664.35,12,14.6397,12,11.960834503173828,60000
3216.96,30.5833,1224.33,13,29.1084,13,-143.45530700683594,65000
1869.64,32.0551,1215.95,14,44.2666,14,-171.00437927246094,70000
3147.18,29.4414,2157.97,15,15.6097,15,-9.750425338745117,75000
3177.54,29.3922,2755.48,16,17.3756,16,-51.44868850708008,80000
3165.15,28.9069,2178.62,17,20.8016,17,-110.1095962524414,85000
3167.31,28.019,2859.95,18,16.541,18,-12.524784088134766,90000
3208.41,28.1149,3178.05,19,15.9101,19,23.541568756103516,95000
3258.48,28.3358,2773.71,20,17.481,20,-30.849367141723633,100000
3154.06,28.6996,2000.74,21,24.9173,21,-88.29598236083984,105000
3229.06,27.8782,2977.56,22,15.0793,22,19.039958953857422,110000
1221.81,30.9346,1052.44,23,33.6491,23,-225.53184509277344,115000
3272.89,27.1505,3090.23,24,18.787,24,-54.6790657043457,120000
3269.22,27.3491,2440.31,25,18.8443,25,-52.52376174926758,125000
2081.62,29.3088,1565.41,26,29.4106,26,-208.93186950683594,130000
3317.42,27.5411,2611.18,27,18.3134,27,-60.639381408691406,135000
3354.63,27.726,2596.39,28,16.184,28,-36.47521209716797,140000
