Running Env Steps,Running Forward KL,Running Update Time,Itration,Running Reverse KL,Real Sto Return,Real Det Return,Reward Loss
0,75.2971,0,0,26.5456,-83.57,247.68,16.87359046936035
5000,75.547,1,1,26.5832,-64.56,440.34,-6.2200727462768555
10000,72.7035,2,2,27.11,-25.65,311.79,-25.00690460205078
15000,73.5011,3,3,27.7184,1.58,418.06,-44.303863525390625
20000,71.973,4,4,28.4019,11.83,609.09,-63.32557678222656
25000,72.6154,5,5,29.361,28.57,677.71,-79.39747619628906
30000,71.7047,6,6,29.6253,40.31,675.53,-88.4805908203125
35000,72.4511,7,7,31.4408,76.82,678.6,-116.4337158203125
40000,73.7002,8,8,31.8222,67.05,435.47,-133.19717407226562
45000,71.7045,9,9,31.5798,81.81,622.17,-130.14492797851562
50000,72.7762,10,10,33.3822,141.0,538.04,-156.16754150390625
55000,73.9548,11,11,33.409,134.37,663.59,-173.44505310058594
60000,72.3709,12,12,32.1455,120.21,739.42,-192.9374237060547
65000,71.5301,13,13,32.103,136.06,559.87,-195.33514404296875
70000,72.5262,14,14,32.1822,140.91,742.02,-209.71682739257812
75000,72.2167,15,15,31.3416,114.0,647.32,-224.09019470214844
80000,72.0979,16,16,31.3809,138.96,855.8,-243.05552673339844
85000,72.9435,17,17,31.8925,151.15,790.18,-255.76168823242188
90000,72.5863,18,18,31.2938,177.06,771.15,-266.9061279296875
95000,74.2511,19,19,32.3635,189.45,814.64,-287.9759521484375
100000,71.5378,20,20,31.5425,166.91,902.24,-295.9154357910156
