Running Update Time,Itration,Running Env Steps,Running Reverse KL,Real Sto Return,Reward Loss,Running Forward KL,Real Det Return
0,0,0,20.5698,204.27,-1421.54736328125,32.5928,196.88
1,1,5000,27.0446,279.49,-1578.5950927734375,31.6563,282.31
2,2,10000,58.8972,291.34,-1662.8406982421875,30.4341,285.38
3,3,15000,36.4457,337.65,-1674.0111083984375,30.5802,342.01
4,4,20000,129.5429,358.0,-409.6635437011719,29.189,414.67
5,5,25000,36.5483,375.79,-1032.751708984375,29.3615,385.74
6,6,30000,24.6802,456.67,-1588.796875,28.8684,455.23
7,7,35000,60.9365,385.51,-1866.6063232421875,31.5694,392.41
8,8,40000,62.4288,427.71,-1004.0061645507812,28.3167,468.91
9,9,45000,18.2463,387.22,-1458.1978759765625,30.1584,397.56
10,10,50000,17.056,452.15,-1190.482421875,28.235,444.52
11,11,55000,22.8894,420.16,-1494.97900390625,27.5858,394.84
12,12,60000,18.4143,405.42,-1387.0125732421875,29.1601,418.19
13,13,65000,17.9173,456.9,-1583.09228515625,27.6895,463.59
14,14,70000,18.7444,576.3,-1516.331787109375,27.2198,447.02
15,15,75000,15.7008,585.42,-1806.9903564453125,27.3578,578.48
16,16,80000,21.2236,471.95,-1171.3985595703125,27.1843,545.35
17,17,85000,70.5158,530.36,-1391.35595703125,27.7472,687.9
18,18,90000,28.7319,896.23,-1236.41552734375,25.7024,1109.73
19,19,95000,44.8467,750.0,-1721.5274658203125,26.8282,749.05
20,20,100000,36.8227,962.95,-1409.8809814453125,26.4527,942.94
21,21,105000,67.9151,597.67,-1474.5101318359375,27.4124,400.73
22,22,110000,119.0808,940.07,-1054.526611328125,25.7823,981.22
23,23,115000,64.4814,1074.14,-1425.5592041015625,24.585,957.02
24,24,120000,16.6996,2208.73,-994.234619140625,24.7998,2758.38
25,25,125000,35.6277,2185.95,-993.7034301757812,25.2141,2688.52
26,26,130000,107.7038,931.35,-1599.30078125,26.5707,989.33
27,27,135000,87.6069,1227.77,-1392.1812744140625,24.3441,1047.64
28,28,140000,58.2712,2010.07,-1306.0771484375,25.3114,989.19
29,29,145000,31.3965,1535.77,-1207.2962646484375,24.1225,1615.37
30,30,150000,54.7405,1228.5,-1867.674560546875,25.2876,982.34
31,31,155000,83.636,947.0,-2050.539306640625,26.7122,978.86
32,32,160000,86.825,1192.62,-1918.1357421875,25.4833,1946.68
33,33,165000,60.9708,1036.32,-2327.705078125,26.0783,1034.32
34,34,170000,75.3869,1104.53,-2322.0888671875,25.913,1130.89
35,35,175000,41.3354,1305.11,-2291.5078125,25.0361,1208.86
36,36,180000,60.9538,1673.47,-2212.0078125,25.4406,1990.76
37,37,185000,64.8502,1305.2,-2333.643310546875,25.6155,3036.98
38,38,190000,73.2323,1814.61,-2046.7362060546875,24.0542,2674.24
39,39,195000,77.3339,1666.7,-1935.2508544921875,23.8874,1627.64
40,40,200000,48.3282,1978.1,-2006.2197265625,23.3687,3142.38
