Reward Loss,Running Env Steps,Running Reverse KL,Running Forward KL,Running Update Time,Itration,Real Sto Return,Real Det Return
-98.02687072753906,0,18.1121,38.1261,0,0,202.54,199.05
-62.45464324951172,5000,22.765,36.9946,1,1,251.99,252.23
-106.02919006347656,10000,62.3144,34.8832,2,2,328.48,339.73
-48.30420684814453,15000,17.0654,36.4694,3,3,345.12,331.91
-142.09954833984375,20000,64.3411,36.5589,4,4,380.76,395.39
-134.2891082763672,25000,33.4844,31.4147,5,5,537.27,646.19
-156.94444274902344,30000,48.1211,29.881,6,6,592.46,587.92
-190.49655151367188,35000,60.544,36.8093,7,7,275.41,243.92
-126.96819305419922,40000,26.2832,31.1084,8,8,596.79,575.7
-125.54203033447266,45000,22.7277,30.1342,9,9,725.24,231.53
-140.58685302734375,50000,27.5566,29.7444,10,10,392.76,255.42
-132.761474609375,55000,24.7274,30.5668,11,11,1254.16,2123.58
-118.30701446533203,60000,26.4086,29.8535,12,12,1734.61,1884.12
-139.50759887695312,65000,28.6707,29.8174,13,13,1478.98,2797.18
-133.580322265625,70000,20.2461,29.1136,14,14,1650.17,2870.76
-185.25489807128906,75000,29.8904,29.4059,15,15,1369.75,2255.43
-41.43915939331055,80000,15.1385,27.8266,16,16,2936.9,3017.55
-142.31849670410156,85000,27.5716,28.3115,17,17,2013.35,1660.81
-25.238454818725586,90000,14.0635,29.0311,18,18,2928.58,2914.17
-59.80531692504883,95000,20.1631,28.5264,19,19,2901.7,2812.39
-142.3374481201172,100000,31.7555,29.2113,20,20,1634.24,1458.22
-159.85948181152344,105000,27.2781,28.8156,21,21,2023.2,1548.92
-96.51106262207031,110000,16.9583,28.5805,22,22,1961.14,2954.36
-81.06549072265625,115000,13.7094,28.5687,23,23,2302.09,2886.89
-141.14898681640625,120000,29.5293,27.6454,24,24,1907.13,1594.28
