Running Forward KL,Running Env Steps,Itration,Real Det Return,Reward Loss,Real Sto Return,Running Update Time,Running Reverse KL
48.332,0,0,331.85,156.7551727294922,302.59,0,13.5202
49.7359,5000,1,410.88,143.82919311523438,415.89,1,14.2632
48.8022,10000,2,320.31,130.005126953125,334.77,2,15.5281
49.472,15000,3,243.84,128.96669006347656,472.19,3,13.2491
48.3672,20000,4,586.6,191.3040008544922,489.97,4,20.96
47.2291,25000,5,662.69,122.18640899658203,760.53,5,14.4239
48.1495,30000,6,694.09,148.41175842285156,653.96,6,19.1778
48.1085,35000,7,484.27,111.75933837890625,739.75,7,16.9463
47.7207,40000,8,865.61,56.84144973754883,872.06,8,16.8655
47.4121,45000,9,1727.48,81.64857482910156,1689.86,9,21.5506
47.0064,50000,10,966.57,60.18854522705078,1008.42,10,14.3382
46.903,55000,11,856.25,-8.149206161499023,905.08,11,21.7945
47.3234,60000,12,832.17,55.28901672363281,814.94,12,14.5629
47.7058,65000,13,1453.9,19.8341007232666,1377.61,13,27.0528
47.0965,70000,14,1565.55,28.480947494506836,1561.24,14,20.2047
46.3614,75000,15,1677.2,-1.6858726739883423,1316.47,15,14.1484
47.2418,80000,16,1241.83,-45.44696044921875,1148.08,16,18.6254
46.6592,85000,17,1200.15,-57.35768508911133,1404.19,17,15.1655
47.5717,90000,18,1412.75,-23.39950180053711,1487.86,18,16.5805
46.7847,95000,19,1538.58,-70.53006744384766,977.12,19,16.9653
47.378,100000,20,528.33,-33.88542556762695,978.71,20,13.9625
46.8912,105000,21,1179.31,-80.45433044433594,1184.36,21,15.919
46.7158,110000,22,2112.88,-109.92000579833984,1617.62,22,14.595
47.2991,115000,23,1718.31,-143.3814697265625,1317.39,23,15.5204
46.5156,120000,24,1202.81,-147.9370880126953,1166.45,24,15.4924
46.9045,125000,25,2049.81,-129.8560333251953,2033.3,25,15.1406
46.2171,130000,26,1334.75,-123.686279296875,1480.47,26,14.5627
46.1733,135000,27,2543.81,-145.0860595703125,1671.13,27,16.7893
46.5434,140000,28,1270.04,-159.7862548828125,1519.59,28,16.0162
46.456,145000,29,1773.5,-179.7585906982422,1541.06,29,17.0781
46.2818,150000,30,1468.47,-157.18296813964844,1373.16,30,16.2627
46.5153,155000,31,1902.16,-177.812744140625,1446.25,31,16.5224
