Itration,Real Det Return,Running Env Steps,Real Sto Return,Running Reverse KL,Reward Loss,Running Update Time,Running Forward KL
0,290.89,0,282.47,18.1084,300.2088928222656,0,31.4531
1,286.56,5000,288.19,27.8353,106.35659790039062,1,30.6384
2,276.48,10000,282.26,31.2363,55.792808532714844,2,30.8282
3,308.18,15000,308.23,35.4017,3.020081043243408,3,29.8771
4,120.42,20000,309.48,45.2422,-76.07208251953125,4,28.9464
5,459.17,25000,467.47,37.1254,-122.91534423828125,5,25.3964
6,634.87,30000,587.93,31.9352,-120.36717987060547,6,25.7946
7,494.58,35000,473.05,34.4256,-222.14898681640625,7,25.6699
8,503.76,40000,496.08,19.7918,-134.998046875,8,25.0903
9,571.74,45000,585.21,37.7975,-325.2823486328125,9,25.1612
10,802.63,50000,689.19,28.8833,-347.2466735839844,10,24.2887
11,657.53,55000,650.24,25.5242,-406.42596435546875,11,25.0946
12,1721.63,60000,1331.5,21.602,-337.150634765625,12,23.9995
13,819.14,65000,841.14,24.0033,-446.64373779296875,13,24.9849
14,938.28,70000,888.89,23.2595,-462.1912536621094,14,23.543
15,2921.13,75000,2844.29,14.0552,24.861345291137695,15,23.0456
16,2967.72,80000,2811.0,15.0483,-87.00362396240234,16,23.3062
17,2852.61,85000,2870.97,14.8162,-63.26042938232422,17,24.4665
18,2918.8,90000,2577.72,18.2104,-212.07814025878906,18,23.3548
19,2915.8,95000,2638.23,14.5966,-33.98171615600586,19,23.2708
20,858.86,100000,812.3,37.6965,-752.4613647460938,20,24.4497
21,2913.99,105000,1219.08,33.0672,-618.8807373046875,21,23.4288
22,3272.58,110000,1341.41,32.7619,-723.3947143554688,22,22.8724
23,1170.82,115000,982.3,33.6166,-796.7001953125,23,23.8269
24,3231.19,120000,1931.57,21.2657,-380.35711669921875,24,21.6798
25,3195.2,125000,3015.02,15.1385,12.43667221069336,25,22.827
26,3191.64,130000,2880.18,13.1849,1.6282539367675781,26,20.6553
27,3235.28,135000,3124.57,14.6052,45.246482849121094,27,21.382
