Real Det Return,Running Reverse KL,Itration,Running Forward KL,Real Sto Return
434.21,26.1045,0,77.0036,-41.21
412.01,25.7432,1,73.619,-53.84
577.69,27.1929,2,74.5153,-70.75
737.38,25.9861,3,71.6321,13.18
483.32,28.3134,4,72.1959,15.63
783.45,28.9381,5,70.4026,88.03
703.25,29.5205,6,73.4587,108.64
706.89,29.2772,7,70.7841,112.38
797.34,30.7856,8,71.4102,173.39
1023.6,31.4572,9,70.2244,196.18
1017.81,30.5677,10,68.9181,250.4
822.92,31.2417,11,70.9388,182.9
719.08,31.3731,12,69.3019,210.34
818.91,31.0478,13,70.6187,310.62
915.98,30.8448,14,69.2811,245.81
914.79,30.8472,15,70.3061,298.18
910.27,31.0607,16,69.8635,212.53
1022.39,30.4242,17,69.7732,293.36
741.01,31.172,18,69.6004,350.21
1083.68,29.3939,19,67.3182,287.07
792.91,30.8081,20,71.6469,258.7
1281.63,30.1617,21,68.2473,452.2
918.42,30.4865,22,68.8396,336.27
977.04,29.4439,23,68.5861,354.62
1103.56,28.1462,24,65.072,411.43
851.32,30.3739,25,70.2664,354.98
1095.81,29.2693,26,67.6852,563.72
1168.88,29.4721,27,68.1006,552.29
1500.17,29.9705,28,65.4941,801.7
1442.63,29.6364,29,66.4688,539.98
1382.86,28.594,30,67.352,667.74
1623.57,28.7641,31,65.6752,915.87
1210.74,29.0023,32,67.5125,928.2
1456.4,30.3182,33,64.6541,997.08
1758.08,32.9886,34,65.0821,1083.09
2484.44,32.519,35,64.4713,1433.02
1835.55,29.8946,36,66.5379,982.98
1831.61,27.8528,37,65.1607,1182.2
2900.09,33.7393,38,65.8124,1857.94
2113.27,30.4198,39,64.8455,1357.88
2157.45,29.1672,40,65.5293,1570.31
1838.86,33.2264,41,66.7176,1711.46
2867.69,39.5658,42,66.9128,1968.78
1609.88,28.4102,43,67.1029,1195.92
2559.98,36.2065,44,67.4189,2082.62
3133.53,30.7313,45,65.7799,2006.86
2341.4,37.8075,46,66.5351,1405.12
3760.86,47.318,47,71.2256,2715.06
1692.2,34.2098,48,66.306,1515.78
2903.66,44.0492,49,67.877,2773.13
2707.47,47.9619,50,69.0279,2609.69
2740.75,33.3457,51,66.8696,2200.86
3727.59,49.5946,52,72.8963,2790.83
3258.16,41.068,53,68.463,2602.19
1958.34,32.4969,54,66.8586,1627.29
3305.1,38.0306,55,68.1315,2769.16
3790.48,50.2606,56,71.9834,2802.4
4030.09,48.3698,57,70.3383,3343.16
2860.26,37.5771,58,66.3281,2688.9
3545.47,50.6003,59,70.5767,2901.65
3676.18,38.3215,60,66.5199,2119.74
3682.74,50.1866,61,71.4937,3432.29
3510.06,52.4384,62,70.5243,3083.59
3871.94,39.1924,63,67.4223,3157.65
3639.22,47.9411,64,69.8642,3017.87
3607.02,41.7788,65,68.6946,2492.6
4063.64,45.0578,66,69.321,2983.57
3915.15,53.2886,67,71.4484,3580.06
3202.89,40.0877,68,67.8093,1886.83
4441.35,51.5761,69,70.5587,3341.53
4162.78,48.4147,70,69.8408,3782.73
4138.25,53.984,71,72.0928,3603.67
3848.09,53.6201,72,70.8791,3826.18
4331.32,54.2019,73,72.4347,2528.47
3767.13,50.699,74,69.4491,2661.38
4410.22,43.457,75,69.3102,3674.82
3084.78,49.4418,76,69.0931,1864.69
4968.86,51.1988,77,71.4924,3760.32
4167.35,48.4052,78,69.2675,3467.75
4142.14,52.874,79,71.6578,3738.53
4088.62,56.507,80,76.0283,3170.45
3474.25,40.9599,81,67.8174,3783.45
3073.46,43.451,82,68.7971,3239.31
4086.37,64.5416,83,79.9885,4092.48
4061.33,58.8602,84,73.2327,3454.4
4283.53,54.0923,85,70.4165,3656.17
3773.42,46.6317,86,69.372,3817.1
4251.2,63.4142,87,73.0078,3843.4
4259.67,57.6893,88,73.6444,4055.96
3848.64,62.5482,89,75.9163,3253.58
4225.55,59.9179,90,73.177,3636.15
4504.97,48.4639,91,69.2126,3475.85
4246.04,68.0388,92,77.2771,3276.96
4737.64,57.1999,93,71.5993,4335.82
4465.3,62.2504,94,74.1507,4029.1
3569.52,53.6995,95,70.7996,3911.46
4728.24,62.552,96,76.6716,3899.12
4051.85,63.592,97,77.0752,3994.14
4442.89,55.9507,98,72.4744,3762.71
4135.61,52.4423,99,69.537,4514.77
4523.28,58.5314,100,73.0449,3305.45
5030.04,62.6713,101,76.9124,3491.22
4845.44,53.6712,102,71.9469,4000.43
4251.87,55.4106,103,71.7662,3556.93
4128.54,49.0889,104,68.0238,3520.51
4859.18,63.3522,105,73.2156,3859.8
5057.58,54.9732,106,72.0095,4160.3
4720.64,59.7207,107,73.8931,3440.03
4291.51,55.1067,108,73.6105,3771.14
4440.6,47.4286,109,68.7982,4058.7
4734.61,54.7103,110,71.1375,3285.75
3405.21,58.1435,111,70.7484,3372.59
4494.54,59.128,112,72.3568,3028.68
4515.09,66.2477,113,75.4411,4324.88
5038.6,63.1311,114,73.5556,4317.23
4402.33,70.2245,115,81.007,3444.12
4369.3,66.9697,116,76.9189,3926.03
4826.91,59.6951,117,70.2856,4279.23
4310.43,68.4679,118,76.3561,3325.48
4768.42,70.5662,119,78.7301,3993.62
5321.82,65.3937,120,74.5503,4680.93
5002.5,62.4577,121,73.1055,4767.48
4613.18,57.249,122,71.5157,3997.8
5217.15,61.808,123,71.4759,4383.64
4255.73,70.2236,124,76.2265,4436.24
4729.45,59.1717,125,71.0155,4170.58
4540.68,66.953,126,73.2464,4152.1
4974.03,61.4757,127,72.6069,3936.81
4732.13,58.3005,128,70.5412,3952.55
4659.62,59.7511,129,71.7316,3793.05
4876.08,74.8233,130,81.024,4696.86
4695.4,62.737,131,72.2831,3665.82
4808.55,58.4328,132,71.3239,4219.49
4678.83,71.3097,133,75.9656,4706.94
4615.41,56.8415,134,71.4084,3991.42
4615.52,57.3436,135,71.9673,4532.84
4609.21,64.425,136,72.7995,4692.55
4614.71,72.942,137,77.2613,4700.18
4871.16,72.3502,138,76.3615,4268.46
4595.54,69.4825,139,78.3224,4445.21
5102.99,73.616,140,78.861,4773.9
5265.74,64.4334,141,74.2824,4492.34
4577.86,58.8639,142,72.0198,4648.63
5170.49,70.0797,143,78.4311,4470.43
4227.48,59.9028,144,71.7722,4735.39
4976.27,74.3119,145,80.467,4141.7
4872.24,70.5553,146,80.1098,4108.56
5347.55,64.2609,147,73.4672,4798.07
4508.14,63.1035,148,73.9207,4281.55
5068.29,68.2367,149,75.7285,3598.91
4722.81,69.9394,150,77.6458,4573.67
5251.03,56.6395,151,71.4155,3634.63
4685.51,59.2106,152,70.7738,3989.64
5020.16,67.7695,153,77.7875,4754.02
4492.61,67.3093,154,74.9193,4628.16
4939.4,71.9664,155,76.3487,4298.1
5236.41,77.1282,156,79.5898,4882.68
5359.59,63.4335,157,72.5029,4836.22
5174.72,69.7284,158,72.5196,4969.72
5198.23,71.4062,159,74.7164,4530.9
4528.25,74.7391,160,75.7704,4243.61
4463.7,72.408,161,76.1443,3462.31
5327.12,73.7798,162,77.3119,4902.25
5469.0,57.554,163,69.6196,4365.54
5045.44,69.2019,164,74.6073,4313.32
4712.52,61.048,165,71.3372,4781.5
5177.16,66.667,166,75.0741,4530.57
5365.54,64.8981,167,73.1982,4949.29
5472.34,72.3469,168,77.0986,4642.45
4722.04,72.2585,169,78.3858,3166.81
5623.29,73.5979,170,79.223,4732.93
4978.05,62.894,171,71.6392,4222.42
4790.66,77.1928,172,79.4417,3967.74
5646.43,66.2377,173,72.5721,4900.65
5249.05,69.5939,174,74.7717,4223.3
5249.85,58.155,175,71.0555,4415.0
5686.13,66.781,176,72.4757,4337.87
5323.67,66.1849,177,73.1314,4541.21
5082.73,62.2706,178,71.0814,4199.93
5206.04,74.7466,179,78.1114,4507.92
5372.41,75.5913,180,78.0961,4808.66
5263.31,71.3239,181,73.293,5244.25
5164.39,69.8171,182,77.593,4643.96
5198.82,66.5462,183,74.132,4978.25
5465.67,66.6324,184,73.5627,4453.62
5001.99,63.3917,185,72.5744,4286.84
5412.26,71.9018,186,76.4973,5063.16
5688.49,71.0092,187,76.2148,4644.5
5225.51,77.9355,188,79.3203,4200.0
5562.4,75.4703,189,78.4823,4961.16
5111.3,71.6567,190,73.0825,4951.54
5190.17,80.3847,191,80.9674,4644.03
5134.82,73.4579,192,75.5045,4471.75
5096.11,68.3214,193,70.9878,4667.92
5622.97,80.9031,194,79.8257,5226.16
5161.76,69.5063,195,72.7106,4530.37
5474.72,73.5393,196,78.2291,4863.78
5482.15,64.3362,197,72.84,5206.01
5324.81,64.0745,198,71.0011,4890.03
5229.82,71.9726,199,75.0551,4794.93
5366.51,74.7086,200,78.4632,4921.9
5641.7,63.675,201,70.5796,5060.2
5348.39,79.1451,202,80.0697,5353.97
5306.89,77.632,203,78.7177,4756.26
5343.94,79.3666,204,80.2363,4223.12
5004.6,77.446,205,78.646,4960.51
5144.64,82.6783,206,82.3642,4659.88
5655.52,76.3431,207,76.7226,5151.7
5470.49,80.7354,208,79.0189,4933.68
4954.82,83.2634,209,80.1605,4794.51
5626.03,73.0174,210,74.3455,4811.53
5478.14,81.5352,211,80.6269,4873.42
5432.28,74.2261,212,73.7025,4496.46
4853.61,80.7897,213,79.0845,4604.55
4688.49,79.5235,214,75.871,4236.67
5406.63,78.5227,215,80.3311,5120.1
5704.17,72.5493,216,72.8634,5119.42
5154.41,69.6155,217,72.4423,5126.63
5592.62,86.277,218,84.2805,5091.16
5228.5,85.6947,219,83.2869,4921.05
5289.53,73.1141,220,72.6497,4751.04
5545.17,86.6332,221,83.0614,4604.85
5599.44,86.3905,222,81.7516,5409.98
