Running Forward KL,Reward Loss,Running Env Steps,Real Det Return,Real Sto Return,Running Reverse KL,Running Update Time,Itration
21.8712,-843.3323974609375,390000,3259.18,3168.6,12.1063,78,78
23.8442,-749.1688842773438,395000,3482.94,3418.36,14.378,79,79
22.0953,-680.3056030273438,400000,3397.02,3379.83,13.2304,80,80
22.3686,-790.9244384765625,405000,3415.55,3190.56,13.1655,81,81
22.5586,-1063.7889404296875,410000,3449.57,3332.54,14.1106,82,82
23.2647,-766.1541137695312,415000,3469.43,3122.35,14.0886,83,83
21.6327,-1139.216796875,420000,1634.13,2814.35,14.3898,84,84
23.1828,-983.8464965820312,425000,3435.38,3340.73,13.7515,85,85
21.7793,-1066.8397216796875,430000,3336.54,3347.77,12.1363,86,86
22.4504,-952.1364135742188,435000,3422.19,3411.33,13.2139,87,87
23.3629,-1239.924072265625,440000,3382.51,3112.9,18.4695,88,88
21.5082,-1108.81201171875,445000,3424.99,3003.04,22.2715,89,89
23.954,-1748.4007568359375,450000,3473.13,2960.73,27.4026,90,90
22.4261,-1341.49267578125,455000,3462.14,3073.86,16.9846,91,91
22.8536,-1173.869140625,460000,3519.31,3029.77,16.1556,92,92
22.5812,-1121.0369873046875,465000,3470.57,3322.59,13.4619,93,93
22.1798,-1968.879150390625,470000,3165.86,2602.75,27.1505,94,94
23.1499,-1421.99609375,475000,3442.74,2725.8,20.3469,95,95
22.6174,-1306.87109375,480000,3421.86,3229.64,14.875,96,96
21.8816,-948.5096435546875,485000,3544.98,3458.33,13.4517,97,97
21.2868,-694.0194091796875,490000,3549.02,3476.45,14.7467,98,98
22.964,-991.5079956054688,495000,3457.11,3416.55,13.5416,99,99
22.8905,-1175.3470458984375,500000,3443.67,3239.53,13.7839,100,100
21.3148,-803.7007446289062,505000,3506.61,3459.46,13.1425,101,101
20.9623,-818.2681274414062,510000,3539.98,3379.17,12.394,102,102
22.2121,-1358.5830078125,515000,3498.95,3000.55,20.6432,103,103
22.606,-967.8343505859375,520000,3549.4,3362.77,13.4431,104,104
20.1205,-977.4133911132812,525000,3459.53,3156.91,13.2034,105,105
22.2129,-923.88232421875,530000,3503.72,3350.77,13.2914,106,106
18.6088,-728.2347412109375,535000,3453.27,3419.02,11.9062,107,107
21.9863,-936.7059326171875,540000,3449.17,3439.62,13.1127,108,108
22.9529,-2473.0009765625,545000,2519.58,1791.47,42.0934,109,109
20.2863,-941.6822509765625,550000,3555.67,3472.37,12.5033,110,110
20.7749,-911.3141479492188,555000,3572.03,3369.07,12.1647,111,111
20.8997,-1137.8753662109375,560000,3526.41,3371.95,13.0238,112,112
20.4965,-1610.4742431640625,565000,3512.68,3335.87,20.5146,113,113
21.5799,-1223.3719482421875,570000,3490.28,3324.53,15.9463,114,114
20.6784,-852.572021484375,575000,3512.62,3433.62,11.912,115,115
19.045,-1331.373046875,580000,3517.19,2939.67,15.9264,116,116
20.9561,-1018.844482421875,585000,3504.93,3293.17,13.0669,117,117
22.2939,-1860.724609375,590000,3530.76,2906.62,29.2448,118,118
21.6448,-1390.1851806640625,595000,3499.05,3454.79,14.1539,119,119
21.3697,-1078.7435302734375,600000,3503.23,3475.37,12.77,120,120
21.0188,-1240.135009765625,605000,3489.28,3158.03,12.2779,121,121
22.1918,-2516.510986328125,610000,3525.76,2873.66,37.4118,122,122
22.1671,-1278.09423828125,615000,3520.26,3267.05,13.9501,123,123
20.0941,-1201.80419921875,620000,3453.05,3056.41,11.7315,124,124
21.9423,-1994.5516357421875,625000,2363.18,2292.43,23.6221,125,125
21.9409,-1679.7154541015625,630000,3378.74,3016.39,20.8487,126,126
20.1075,-969.5729370117188,635000,3547.59,3162.03,12.9568,127,127
20.1652,-1606.6658935546875,640000,3508.87,3240.22,22.4647,128,128
21.0556,-1379.7596435546875,645000,3532.04,3478.95,13.2965,129,129
19.0841,-689.8311157226562,650000,3497.85,3264.14,11.757,130,130
20.8731,-1920.178466796875,655000,2098.51,2626.42,22.3035,131,131
20.743,-1379.60546875,660000,3512.06,2672.97,12.0724,132,132
22.1452,-1455.2822265625,665000,3574.01,3268.12,13.0391,133,133
21.4529,-2098.98388671875,670000,3195.0,2267.93,17.2588,134,134
19.7292,-1297.696533203125,675000,3478.91,3099.95,10.849,135,135
18.402,-1062.4688720703125,680000,3489.26,3386.5,11.7777,136,136
20.8368,-1462.332275390625,685000,2785.8,2746.82,15.9677,137,137
20.9499,-1475.3175048828125,690000,3535.17,3087.22,12.2419,138,138
