Reward Loss,Running Update Time,Running Env Steps,Itration,Real Det Return,Real Sto Return,Running Forward KL,Running Reverse KL
2117.122802734375,0,0,0,-12.85,-209.65,158.5942,11.7642
1466.4202880859375,1,5000,1,-7.6,-119.7,158.3956,17.1808
1646.358154296875,2,10000,2,23.47,-22.73,158.2359,11.6565
1658.4482421875,3,15000,3,517.34,63.01,158.2423,11.832
1568.3101806640625,4,20000,4,636.95,172.12,158.3036,12.5375
1212.0526123046875,5,25000,5,720.91,282.16,158.4461,13.0801
1143.13671875,6,30000,6,762.04,448.76,158.3265,13.6362
1009.486572265625,7,35000,7,1059.56,560.39,158.1162,13.8983
858.693115234375,8,40000,8,1130.99,694.44,157.7907,14.2612
562.0491943359375,9,45000,9,1247.96,832.7,158.2327,15.1454
519.18212890625,10,50000,10,1287.52,871.04,157.8535,15.3647
295.5421447753906,11,55000,11,1427.71,1018.24,157.9632,16.0564
164.26571655273438,12,60000,12,1488.54,1123.99,157.7536,16.3524
-18.186126708984375,13,65000,13,1572.86,1148.04,158.1732,16.6233
-240.40089416503906,14,70000,14,1635.32,1196.48,157.8474,16.9139
-436.51593017578125,15,75000,15,1692.99,1230.9,157.8955,16.6687
-643.4595336914062,16,80000,16,1704.93,1275.57,157.7801,16.5607
-848.5340576171875,17,85000,17,1778.32,1325.24,157.9214,16.6973
-1104.96240234375,18,90000,18,1789.8,1329.1,157.7861,16.7865
-1265.78955078125,19,95000,19,1813.25,1387.27,157.7056,17.0387
-1502.2918701171875,20,100000,20,1863.59,1429.1,157.6478,16.458
-1792.123779296875,21,105000,21,1780.07,1421.24,157.7404,16.4772
-2015.06787109375,22,110000,22,1872.76,1465.62,157.7411,16.5529
-2277.56494140625,23,115000,23,1877.84,1472.04,157.7222,16.68
-2466.633544921875,24,120000,24,1883.57,1487.49,157.6141,16.758
-2691.796142578125,25,125000,25,1921.13,1542.29,157.5464,16.501
-2869.373779296875,26,130000,26,1951.41,1551.0,157.6556,16.6593
-3109.89990234375,27,135000,27,1911.44,1564.31,157.849,16.6324
-3342.091552734375,28,140000,28,1926.11,1547.42,157.3037,16.2589
