Running Reverse KL,Real Sto Return,Running Env Steps,Running Forward KL,Reward Loss,Itration,Running Update Time,Real Det Return
16.3709,238.72,0,31.0659,40.29030990600586,0,0,225.95
59.9799,282.88,5000,30.7785,67.64408111572266,1,1,285.14
30.1329,361.88,10000,29.7391,40.485286712646484,2,2,372.2
35.2466,339.14,15000,29.6197,133.58628845214844,3,3,342.33
44.9109,645.1,20000,25.3514,53.79963684082031,4,4,726.3
22.1392,312.28,25000,31.2192,-21.975114822387695,5,5,283.07
37.6065,846.17,30000,25.7592,39.04379653930664,6,6,1912.83
17.5715,1177.73,35000,23.8427,-16.056678771972656,7,7,1293.59
15.6645,990.61,40000,22.7093,-7.876981258392334,8,8,940.28
59.145,551.46,45000,24.3573,-32.68288803100586,9,9,1015.46
23.5899,904.48,50000,24.922,-16.994882583618164,10,10,883.73
18.9032,1363.75,55000,22.8916,-35.27180480957031,11,11,1559.22
16.9928,1707.66,60000,22.5113,-37.61602020263672,12,12,2243.83
20.728,1117.17,65000,23.2345,-57.5115966796875,13,13,1106.36
17.5617,937.86,70000,24.4595,-26.59157371520996,14,14,1267.81
15.914,1148.55,75000,24.1342,-47.98564910888672,15,15,1108.9
27.4318,1017.87,80000,23.9278,-45.35994338989258,16,16,943.97
31.0974,1373.04,85000,23.1444,-38.90290832519531,17,17,1347.05
20.402,1610.11,90000,22.003,-44.20309829711914,18,18,1083.85
38.4482,1813.19,95000,23.3989,-48.22764587402344,19,19,2055.97
29.8209,1214.64,100000,24.6462,-72.02559661865234,20,20,1084.44
12.1613,1228.54,105000,23.0975,-52.75959396362305,21,21,1527.49
44.9014,1732.03,110000,21.4631,-41.22698211669922,22,22,1385.76
42.3869,1776.52,115000,21.6965,-47.18645095825195,23,23,1151.64
12.0459,2447.76,120000,22.3435,-62.50973892211914,24,24,2626.16
23.7294,1555.85,125000,21.2092,-38.02267837524414,25,25,2114.4
13.399,1461.36,130000,21.2532,-96.4317626953125,26,26,1527.94
17.4973,1807.13,135000,22.5474,-104.10124206542969,27,27,2284.92
17.6227,1572.0,140000,20.6845,-96.05473327636719,28,28,1313.69
